Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
UKEN,UKEN wins the tipoff!,Tipoff,0,0,0,148
UKEN,Thomas Wurstner 2-point jumper...Missed!       Rebounded by Edward Hussain.,Missed,0,0,1,148
WISC,Michael Stout 2-point jumper...Missed!       Rebounded by Ralph Long.,Missed,0,0,2,148
UKEN,Jeramy Booth 2-point jumper...Missed!       Rebounded by Douglas Dupuis.,Score,0,0,3,148
WISC,Daryl Scott 2-point jumper...Score!,Score,2,0,4,148
WISC,WISC: Offensive foul on Roy Barnes.,Turnover,2,0,5,148
UKEN,"John Searcy Inside shot...Score! Fouled, and one!       Assisted by: Thomas Grimes",Score,4,0,6,148
WISC,Free throw coming up... good!,FreeThrow,5,0,6,148
UKEN,William Sun Inside shot...Missed!       Rebounded by Cyrus Rice.,Score,5,0,7,148
UKEN,Ian Mccall steals the ball for WISC!,Turnover,5,0,8,148
UKEN,Daryl Scott steals the ball for UKEN!,Turnover,5,0,9,148
WISC,Cyrus Rice Inside shot...Score!,Score,7,0,10,148
UKEN,Ralph Long 2-point jumper...Missed!       Rebounded by Edward Hussain.,Score,7,0,11,148
UKEN,Harry Shaffer 2-point jumper...Missed!       Rebounded by Michael Stout.,Missed,7,0,12,148
WISC,Gerard Chaisson Inside shot...Score!       Assisted by: Joshua Colfer,Score,9,0,13,148
WISC,Craig Mitchell 3-point attempt...Missed!       Rebounded by Ian Mccall.,Score,9,0,14,148
WISC,Craig Mitchell 3-point attempt...Missed!       Rebounded by Ian Mccall.,Score,9,0,15,148
UKEN,Armando Pope 3-point attempt...Score!       Assisted by: Ralph Long,Score,9,3,16,148
WISC,Joshua Colfer Inside shot...Score!       Assisted by: Joshua Colfer,Score,11,3,17,148
WISC,Craig Mitchell lost the ball out of bounds.,Turnover,11,3,18,148
WISC,Cyrus Rice 3-point attempt...Score!       Assisted by: Michael Stout,Score,14,3,19,148
UKEN,Kevin Wells Inside shot...Score!       Assisted by: Ian Mccall,Score,14,5,20,148
UKEN,Edward Hussain lost the ball out of bounds.,Out of Bounds,14,5,21,148
WISC,Andrew Jones lost the ball out of bounds.,Turnover,14,5,22,148
WISC,Thomas Wurstner 3-point attempt...Missed!       Rebounded by Jeramy Booth.,Miss,14,5,23,148
UKEN,Ian Mccall 3-point attempt...Missed!Rebounded by John Searcy.,Score,14,5,24,148
WISC,Cyrus Rice 2-point jumper...Missed!       Rebounded by Ian Mccall.,Missed,14,5,25,148
WISC,"Ian Mccall Inside shot...Missed, but fouled on the play.",Fouled,14,5,26,148
UKEN,Edward Hussain Inside shot...Missed!       Rebounded by Lawrence Bennett.,Score,14,5,27,148
WISC,Cyrus Rice Inside shot...Score!,Score,16,5,28,148
UKEN,Roy Barnes 3-point attempt...BLOCKED by Michael Stout.       Rebounded by Cyrus Rice.,Turnover,16,5,29,148
UKEN,"Edward Hussain Inside shot...Missed, but fouled on the play.",Fouled,16,5,30,148
UKEN,Free throw coming up... rattled out.,FreeThrow,16,5,30,148
WISC,Free throw coming up... good!,FreeThrow,17,5,30,148
WISC,Amos Quinn lost the ball out of bounds.,Turnover,17,5,31,148
UKEN,"Douglas Dupuis Inside shot...Missed, but fouled on the play.",Fouled,17,5,32,148
UKEN,Free throw coming up... rattled out.,FreeThrow,17,5,32,148
WISC,Free throw coming up... good!,FreeThrow,18,5,32,148
UKEN,Andrew Jones 3-point attempt...Score!       Assisted by: Amos Quinn,Score,18,8,33,148
UKEN,Michael Stout lost the ball out of bounds.,Out of Bounds,18,8,34,148
UKEN,Douglas Dupuis steals the ball for UKEN!,Turnover,18,8,35,148
WISC,Harry Shaffer 2-point jumper...Missed!       Rebounded by Jeramy Booth.,Missed,18,8,36,148
WISC,"Ralph Long Inside shot...Missed, but fouled on the play.",Fouled,18,8,37,148
UKEN,"Michael Stout Inside shot...Score! Fouled, and one!",Score,20,8,38,148
WISC,Free throw coming up... rattled out.       Rebounded by Ian Mccall.,FreeThrow,20,8,38,148
UKEN,Amos Quinn Inside shot...Score!       Assisted by: Ian Mccall,Score,20,10,39,148
WISC,Edward Hussain Inside shot...Score!,Score,22,10,40,148
UKEN,Jeramy Booth Inside shot...Score!       Assisted by: Nicholas Mitchell,Score,22,12,41,148
WISC,Michael Stout 2-point jumper...Missed!       Rebounded by Jeramy Booth.,Missed,22,12,42,148
UKEN,Ralph Long 2-point jumper...Missed!       Rebounded by John Searcy.,Score,22,12,43,148
WISC,Cyrus Rice 3-point attempt...Score!       Assisted by: Daryl Scott,Score,25,12,44,148
UKEN,Gerald James Inside shot...Score!       Assisted by: Gerald James,Score,25,14,45,148
WISC,Lawrence Bennett 3-point attempt...Missed!       Rebounded by Nicholas Mitchell.,Miss,25,14,46,148
UKEN,Jeramy Booth 3-point attempt...Missed!Rebounded by Harry Shaffer.,Score,25,14,47,148
UKEN,UKEN: Offensive foul on Gerard Chaisson.,Foul,25,14,48,148
WISC,"Armando Pope Inside shot...Score! Fouled, and one!",Score,25,16,49,148
WISC,"Armando Pope Inside shot...Score! Fouled, and one!",FreeThrow,25,16,49,148
WISC,Gerald James lost the ball out of bounds.,Turnover,25,16,50,148
WISC,Harry Shaffer Inside shot...Score!,Score,27,16,52,148
WISC,Ian Mccall lost the ball out of bounds.,Turnover,27,16,53,148
WISC,Gerard Chaisson 2-point jumper...Score!,Score,29,16,54,148
WISC,"Jeramy Booth 3-point attempt...Missed, but fouled on the play.",Fouled,29,16,55,148
WISC,       Free throw coming up... good!,FreeThrow,29,17,55,148
WISC,"Jeramy Booth 3-point attempt...Missed, but fouled on the play.",FreeThrow,29,17,55,148
UKEN,       Free throw coming up... good!,FreeThrow,29,18,55,148
WISC,Edward Hussain 2-point jumper...Missed!       Rebounded by Armando Pope.,Missed,29,18,56,148
UKEN,William Sun Inside shot...Score!       Assisted by: Nicholas Mitchell,Score,29,20,57,148
UKEN,UKEN: Offensive foul on Harry Shaffer.,Foul,29,20,58,148
UKEN,Jeramy Booth 3-point attempt...Score!       Assisted by: Jeramy Booth,Score,29,23,59,148
WISC,Lawrence Bennett 2-point jumper...Missed!       Rebounded by Jeramy Booth.,Missed,29,23,60,148
UKEN,Amos Quinn 3-point attempt...Score!       Assisted by: Roy Barnes,Score,29,26,61,148
WISC,Lawrence Bennett 2-point jumper...Score!,Score,31,26,62,148
UKEN,Jeramy Booth 2-point jumper...Missed!       Rebounded by Thomas Wurstner.,Score,31,26,63,148
