Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
MIAF,MIAF wins the tipoff!,Tipoff,0,0,0,141
ECU,Richard Beck 3-point attempt...Score!       Assisted by: Jeffrey Luedtke,Score,0,3,1,141
MIAF,Charles Miller Inside shot...Score!,Score,2,3,2,141
MIAF,Wade Zheng 2-point jumper...Missed!       Rebounded by Benjamin Fritts.,Score,2,3,3,141
ECU,Richard Beck 3-point attempt...Missed!Rebounded by Mark Wenzel.,Score,2,3,4,141
MIAF,James Green Inside shot...Score!,Score,4,3,5,141
ECU,Randy Oneill Inside shot...Score!,Score,4,5,6,141
ECU,Mark Wenzel 2-point jumper...Missed!       Rebounded by Brian Bruce.,Missed,4,5,7,141
MIAF,Mark Wenzel Inside shot...Score!,Score,6,5,8,141
ECU,Ryan Dudley steals the ball for ECU!,Turnover,6,5,9,141
ECU,"Patrick Carter Inside shot...Missed, but fouled on the play.",Fouled,6,5,10,141
ECU,Free throw coming up... rattled out.,FreeThrow,6,5,10,141
MIAF,Free throw coming up... rattled out.       Rebounded by Benjamin Fritts.,FreeThrow,6,5,10,141
ECU,Minh Pham 3-point attempt...Score!,Score,6,8,11,141
ECU,Douglas Hughes steals the ball for MIAF!,Turnover,6,8,12,141
ECU,Jeffrey Luedtke 3-point attempt...Score!       Assisted by: Daniel Hach,Score,6,11,13,141
ECU,Richard Beck steals the ball for MIAF!,Turnover,6,11,14,141
ECU,Jeffrey Luedtke 3-point attempt...Score!       Assisted by: Benjamin Fritts,Score,6,14,15,141
MIAF,Charles Miller 3-point attempt...Missed!       Rebounded by Craig Fisher.,Miss,6,14,16,141
MIAF,MIAF: Offensive foul on Jeffrey Luedtke.,Turnover,6,14,17,141
ECU,ECU: Offensive foul on Oliver Steadman.,Foul,6,14,19,141
ECU,Joseph Robinson 3-point attempt...Score!       Assisted by: Nathan Francis,Score,6,17,20,141
ECU,Willie Ford lost the ball out of bounds.,Out of Bounds,6,17,21,141
ECU,Douglas Hughes 2-point jumper...Missed!       Rebounded by Charles Miller.,Score,6,17,22,141
MIAF,Oliver Steadman 2-point jumper...Missed!       Rebounded by Nathan Francis.,Missed,6,17,23,141
ECU,James Green steals the ball for ECU!,Turnover,6,17,24,141
MIAF,Albert Tierney 2-point jumper...Score!,Score,8,17,25,141
ECU,Douglas Hughes 3-point attempt...Score!       Assisted by: Craig Fisher,Score,8,20,26,141
ECU,Free throw coming up... good!,FreeThrow,9,20,27,141
ECU,Free throw coming up... rattled out.,FreeThrow,9,20,27,141
MIAF,Free throw coming up... good!,FreeThrow,10,20,27,141
ECU,Douglas Hughes 2-point jumper...Score!,Score,10,22,28,141
ECU,Benjamin Fritts steals the ball for MIAF!,Turnover,10,22,29,141
ECU,Douglas Hughes 2-point jumper...BLOCKED by Mark Wenzel.       Rebounded by Willie Ford.,Turnover,10,22,30,141
ECU,Douglas Hughes steals the ball for MIAF!,Turnover,10,22,31,141
ECU,Benjamin Fritts 2-point jumper...BLOCKED by Ryan Dudley.       Rebounded by James Green.,Turnover,10,22,32,141
MIAF,Mark Wenzel Inside shot...Score!,Score,12,22,33,141
MIAF,Nathan Francis lost the ball out of bounds.,Turnover,12,22,34,141
ECU,ECU: Offensive foul on John Haug.,Foul,12,22,35,141
ECU,Ryan Dudley steals the ball for ECU!,Turnover,12,22,36,141
MIAF,James Green Inside shot...BLOCKED by Daniel Hach.       Rebounded by Nathan Francis.,Turnover,12,22,37,141
ECU,Douglas Hughes 3-point attempt...Missed!Rebounded by Brian Bruce.,Score,12,22,38,141
MIAF,Willie Ford Inside shot...Score!,Score,14,22,40,141
ECU,Benjamin Fritts 2-point jumper...Missed!       Rebounded by Albert Tierney.,Score,14,22,41,141
MIAF,Mark Wenzel Inside shot...Score!       Assisted by: Brian Bruce,Score,16,22,42,141
