Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
TCU,TCU wins the tipoff!,Tipoff,0,0,0,148
TCU,Owen Hawkins steals the ball for SMU!,Turnover,0,0,1,148
TCU,Peter Lewis Inside shot...Score!,Score,0,2,2,148
TCU,Patrick Brooks steals the ball for SMU!,Turnover,0,2,3,148
TCU,Philip Ward 2-point jumper...Missed!       Rebounded by Paul Cottrell.,Score,0,2,4,148
SMU,Lawrence Munoz 2-point jumper...Score!,Score,2,2,5,148
TCU,Elton Peak 3-point attempt...Score!       Assisted by: Anthony Nixon,Score,2,5,6,148
SMU,Rob Oconnor Inside shot...Score!,Score,4,5,7,148
TCU,Jose Valle 2-point jumper...Missed!       Rebounded by James Melton.,Score,4,5,8,148
TCU,Dustin Cook steals the ball for SMU!,Turnover,4,5,9,148
TCU,Patrick Brooks 2-point jumper...Missed!       Rebounded by Sean Anderson.,Score,4,5,10,148
SMU,Edward Furr Inside shot...Score!       Assisted by: Edward Furr,Score,6,5,11,148
SMU,"Elton Peak Inside shot...Missed, but fouled on the play.",Fouled,6,5,12,148
TCU,Free throw coming up... good!,FreeThrow,6,6,12,148
SMU,Man Lee 3-point attempt...Missed!       Rebounded by Jose Valle.,Miss,6,6,13,148
TCU,Owen Hawkins Inside shot...Score!,Score,6,8,14,148
SMU,Lawrence Munoz 3-point attempt...Missed!       Rebounded by Elton Peak.,Miss,6,8,15,148
SMU,Jose Valle 3-point attempt...Missed!       Rebounded by Patrick Brooks.,Score,6,8,16,148
TCU,Paul Cottrell steals the ball for TCU!,Turnover,6,8,17,148
SMU,Edward Furr 2-point jumper...Missed!       Rebounded by Dustin Cook.,Missed,6,8,18,148
TCU,Elton Peak Inside shot...Score!,Score,6,10,19,148
TCU,"Rob Oconnor Inside shot...Missed, but fouled on the play.",Fouled,6,10,20,148
TCU,Free throw coming up... rattled out.,FreeThrow,6,10,20,148
SMU,Free throw coming up... rattled out.       Rebounded by Allen Delgado.,FreeThrow,6,10,20,148
SMU,"Philip Ward Inside shot...Missed, but fouled on the play.",Fouled,6,10,21,148
SMU,Anthony Nixon Inside shot...BLOCKED by Rob Oconnor.       Rebounded by Jose Valle.,Turnover,6,10,22,148
TCU,Owen Hawkins Inside shot...BLOCKED by Edward Furr.       Rebounded by Lawrence Munoz.,Turnover,6,10,23,148
SMU,Edward Furr 3-point attempt...Missed!       Rebounded by Owen Hawkins.,Miss,6,10,24,148
TCU,Dustin Cook Inside shot...Score!       Assisted by: Dustin Cook,Score,6,12,25,148
SMU,Lawrence Munoz Inside shot...Score!       Assisted by: Paul Cottrell,Score,8,12,26,148
TCU,Dustin Cook 3-point attempt...Score!,Score,8,15,27,148
SMU,Lawrence Munoz Inside shot...Score!       Assisted by: James Melton,Score,10,15,28,148
TCU,Patrick Brooks Inside shot...Score!,Score,10,17,29,148
TCU,Edward Furr lost the ball out of bounds.,Out of Bounds,10,17,30,148
TCU,Man Lee steals the ball for TCU!,Turnover,10,17,31,148
SMU,Paul Cottrell Inside shot...Score!       Assisted by: Edward Furr,Score,12,17,32,148
TCU,Jose Valle 3-point attempt...BLOCKED by Lawrence Munoz.       Rebounded by Paul Cottrell.,Turnover,12,17,33,148
SMU,Lawrence Munoz 3-point attempt...Score!       Assisted by: Paul Cottrell,Score,15,17,34,148
SMU,Anthony Nixon lost the ball out of bounds.,Turnover,15,17,35,148
TCU,"Paul Cottrell Inside shot...Missed, but fouled on the play.",Fouled,15,17,36,148
TCU,Free throw coming up... rattled out.,FreeThrow,15,17,36,148
SMU,Free throw coming up... rattled out.       Rebounded by Elton Peak.,FreeThrow,15,17,36,148
TCU,Elton Peak 3-point attempt...Score!,Score,15,20,37,148
SMU,Rob Oconnor Inside shot...Score!       Assisted by: Edward Furr,Score,17,20,38,148
TCU,Peter Lewis Inside shot...Missed!       Rebounded by Paul Cottrell.,Score,17,20,39,148
SMU,Paul Cottrell Inside shot...Score!,Score,19,20,40,148
TCU,Anthony Nixon 3-point attempt...Score!       Assisted by: Allen Delgado,Score,19,23,41,148
TCU,Patrick Brooks steals the ball for SMU!,Turnover,19,23,42,148
SMU,"Elton Peak Inside shot...Missed, but fouled on the play.",Fouled,19,23,43,148
TCU,Sean Anderson 3-point attempt...Missed!       Rebounded by James Melton.,Miss,19,23,44,148
SMU,Lawrence Munoz Inside shot...Score!,Score,21,23,45,148
TCU,Jose Valle 3-point attempt...Missed!Rebounded by James Melton.,Score,21,23,46,148
TCU,James Melton lost the ball out of bounds.,Out of Bounds,21,23,47,148
SMU,"Owen Hawkins Inside shot...Missed, but fouled on the play.",Fouled,21,23,48,148
SMU,Free throw coming up... good!,FreeThrow,21,24,48,148
SMU,Allen Delgado 2-point jumper...Missed!       Rebounded by Owen Hawkins.,Score,21,24,49,148
TCU,Peter Lewis 3-point attempt...Missed!Rebounded by Man Lee.,Score,21,24,50,148
SMU,James Melton 2-point jumper...Missed!       Rebounded by Owen Hawkins.,Missed,21,24,51,148
TCU,Allen Delgado 2-point jumper...Missed!       Rebounded by Ba Daniel.,Score,21,24,52,148
SMU,Man Lee 3-point attempt...Missed!       Rebounded by Jose Valle.,Miss,21,24,53,148
SMU,Anthony Nixon 2-point jumper...Missed!       Rebounded by Jose Valle.,Score,21,24,54,148
TCU,Edward Furr steals the ball for TCU!,Turnover,21,24,55,148
SMU,Man Lee Inside shot...Score!,Score,23,24,56,148
TCU,Jose Valle 3-point attempt...Score!       Assisted by: Dustin Cook,Score,23,27,57,148
SMU,Man Lee Inside shot...Score!       Assisted by: Man Lee,Score,25,27,58,148
SMU,SMU: Offensive foul on Jose Valle.,Turnover,25,27,59,148
SMU,Ba Daniel Inside shot...Missed!       Rebounded by Allen Delgado.,Score,25,27,60,148
SMU,Patrick Brooks lost the ball out of bounds.,Turnover,25,27,61,148
TCU,"Man Lee Inside shot...Missed, but fouled on the play.",Fouled,25,27,62,148
TCU,Free throw coming up... good!,FreeThrow,26,27,62,148
SMU,Free throw coming up... good!,FreeThrow,27,27,62,148
TCU,Elton Peak 2-point jumper...Score!       Assisted by: Dustin Cook,Score,27,29,63,148
SMU,James Melton Inside shot...BLOCKED by Elton Peak.       Rebounded by Patrick Brooks.,Turnover,27,29,64,148
TCU,Patrick Brooks 3-point attempt...Missed!Rebounded by Edward Furr.,Score,27,29,65,148
SMU,Rob Oconnor 2-point jumper...Missed!       Rebounded by Elton Peak.,Missed,27,29,66,148
TCU,Jose Valle Inside shot...Score!,Score,27,31,67,148
TCU,Sean Anderson lost the ball out of bounds.,Out of Bounds,27,31,68,148
TCU,Elton Peak Inside shot...BLOCKED by Ba Daniel.       Rebounded by James Melton.,Turnover,27,31,69,148
TCU,TCU: Offensive foul on Man Lee.,Foul,27,31,70,148
SMU,Owen Hawkins 2-point jumper...Missed!       Rebounded by Anthony Nixon.,Score,27,31,71,148
TCU,Dustin Cook 2-point jumper...Score!,Score,27,33,72,148
SMU,Man Lee 2-point jumper...Score!       Assisted by: Edward Furr,Score,29,33,73,148
TCU,Patrick Brooks Inside shot...Score!       Assisted by: Allen Delgado,Score,29,35,74,148
,"=====HALFTIME!=====
Halftime Score:
SMU: 35
TCU: 29
",HALFTIME,29,35,74,148
SMU,Lawrence Munoz 3-point attempt...Score!       Assisted by: Edward Furr,Score,32,35,75,148
TCU,Jose Valle Inside shot...BLOCKED by Man Lee.       Rebounded by James Melton.,Turnover,32,35,76,148
SMU,Paul Cottrell Inside shot...Missed!       Rebounded by Jose Valle.,Score,32,35,77,148
SMU,"Jose Valle Inside shot...Missed, but fouled on the play.",Fouled,32,35,78,148
TCU,Jose Valle Inside shot...Score!       Assisted by: Anthony Nixon,Score,32,37,79,148
TCU,Edward Furr lost the ball out of bounds.,Out of Bounds,32,37,80,148
TCU,Jose Valle 3-point attempt...Missed!Rebounded by James Melton.,Score,32,37,81,148
SMU,Man Lee 3-point attempt...Score!       Assisted by: James Melton,Score,35,37,82,148
TCU,Jose Valle 3-point attempt...Missed!Rebounded by James Melton.,Score,35,37,83,148
TCU,TCU: Offensive foul on Rob Oconnor.,Foul,35,37,84,148
SMU,Patrick Brooks lost the ball out of bounds.,Turnover,35,37,85,148
TCU,Edward Furr 2-point jumper...Missed!       Rebounded by Lawrence Munoz.,Missed,35,37,86,148
TCU,James Melton 2-point jumper...Missed!       Rebounded by Lawrence Munoz.,Missed,35,37,87,148
SMU,Edward Furr 3-point attempt...Missed!       Rebounded by Allen Delgado.,Miss,35,37,88,148
TCU,Dustin Cook 2-point jumper...Missed!       Rebounded by Man Lee.,Score,35,37,89,148
SMU,Edward Furr 3-point attempt...Missed!       Rebounded by Allen Delgado.,Miss,35,37,90,148
SMU,"Jose Valle Inside shot...Missed, but fouled on the play.",Fouled,35,37,91,148
TCU,Owen Hawkins steals the ball for SMU!,Turnover,35,37,92,148
TCU,Allen Delgado 2-point jumper...Missed!       Rebounded by James Melton.,Score,35,37,93,148
TCU,Patrick Brooks steals the ball for SMU!,Turnover,35,37,94,148
SMU,Peter Lewis Inside shot...BLOCKED by Man Lee.       Rebounded by Jose Valle.,Turnover,35,37,95,148
TCU,Anthony Nixon 2-point jumper...Missed!       Rebounded by Man Lee.,Score,35,37,96,148
SMU,Ba Daniel Inside shot...Missed!       Rebounded by Anthony Nixon.,Score,35,37,97,148
TCU,Allen Delgado 2-point jumper...Score!,Score,35,39,98,148
SMU,James Melton Inside shot...Score!,Score,37,39,99,148
TCU,James Melton steals the ball for TCU!,Turnover,37,39,100,148
TCU,Paul Cottrell 2-point jumper...Missed!       Rebounded by Man Lee.,Missed,37,39,101,148
SMU,Edward Furr Inside shot...Score!       Assisted by: Ba Daniel,Score,39,39,102,148
SMU,"Elton Peak Inside shot...Missed, but fouled on the play.",Fouled,39,39,103,148
SMU,James Melton 3-point attempt...Missed!       Rebounded by Patrick Brooks.,Miss,39,39,104,148
TCU,Jose Valle Inside shot...Missed!       Rebounded by Man Lee.,Score,39,39,105,148
SMU,James Melton Inside shot...Missed!       Rebounded by Elton Peak.,Score,39,39,106,148
TCU,Anthony Nixon 2-point jumper...Missed!       Rebounded by Edward Furr.,Score,39,39,107,148
TCU,Allen Delgado steals the ball for SMU!,Turnover,39,39,108,148
TCU,Dustin Cook 3-point attempt...Score!       Assisted by: Patrick Brooks,Score,39,42,109,148
SMU,Edward Furr Inside shot...Score!,Score,41,42,110,148
TCU,Jose Valle 3-point attempt...Missed!Rebounded by Ba Daniel.,Score,41,42,111,148
TCU,Man Lee lost the ball out of bounds.,Out of Bounds,41,42,112,148
TCU,Peter Lewis 3-point attempt...Missed!Rebounded by Paul Cottrell.,Score,41,42,113,148
SMU,Man Lee 3-point attempt...Score!       Assisted by: Paul Cottrell,Score,44,42,114,148
TCU,Owen Hawkins 2-point jumper...Missed!       Rebounded by Lawrence Munoz.,Score,44,42,115,148
TCU,Man Lee lost the ball out of bounds.,Out of Bounds,44,42,116,148
SMU,SMU: Shot clock violation on Owen Hawkins.,Turnover,44,42,117,148
TCU,"Man Lee Inside shot...Missed, but fouled on the play.",Fouled,44,42,118,148
TCU,Free throw coming up... rattled out.,FreeThrow,44,42,118,148
SMU,Free throw coming up... rattled out.       Rebounded by Elton Peak.,FreeThrow,44,42,118,148
TCU,Jose Valle Inside shot...Score!       Assisted by: Elton Peak,Score,44,44,119,148
SMU,Man Lee Inside shot...Score!,Score,46,44,120,148
TCU,Elton Peak 3-point attempt...Missed!Rebounded by Man Lee.,Score,46,44,121,148
TCU,James Melton lost the ball out of bounds.,Out of Bounds,46,44,122,148
TCU,Patrick Brooks 3-point attempt...Missed!Rebounded by Paul Cottrell.,Score,46,44,123,148
SMU,Lawrence Munoz Inside shot...Score!,Score,48,44,124,148
TCU,Allen Delgado Inside shot...Score!,Score,48,46,125,148
SMU,Rob Oconnor Inside shot...Missed!       Rebounded by Patrick Brooks.,Score,48,46,126,148
TCU,Jose Valle Inside shot...Score!       Assisted by: Elton Peak,Score,48,48,127,148
SMU,Man Lee Inside shot...Score!       Assisted by: Ba Daniel,Score,50,48,128,148
SMU,"Jose Valle Inside shot...Missed, but fouled on the play.",Fouled,50,48,129,148
TCU,Free throw coming up... good!,FreeThrow,50,49,129,148
TCU,TCU: Offensive foul on Man Lee.,Foul,50,49,130,148
TCU,Allen Delgado Inside shot...Score!       Assisted by: Allen Delgado,Score,50,51,131,148
SMU,Lawrence Munoz 2-point jumper...Score!       Assisted by: Edward Furr,Score,52,51,132,148
TCU,Jose Valle Inside shot...Score!       Assisted by: Anthony Nixon,Score,52,53,133,148
SMU,Sean Anderson Inside shot...Score!,Score,54,53,134,148
TCU,Man Lee steals the ball for TCU!,Turnover,54,53,135,148
SMU,Ba Daniel Inside shot...Score!       Assisted by: Lawrence Munoz,Score,56,53,136,148
SMU,"Elton Peak Inside shot...Missed, but fouled on the play.",Fouled,56,53,137,148
TCU,Jose Valle steals the ball for SMU!,Turnover,56,53,138,148
TCU,Anthony Nixon Inside shot...Score!,Score,56,55,139,148
SMU,Rob Oconnor 3-point attempt...Score!       Assisted by: Rob Oconnor,Score,59,55,140,148
TCU,Patrick Brooks Inside shot...Score!       Assisted by: Jose Valle,Score,59,57,141,148
TCU,Paul Cottrell 2-point jumper...Missed!       Rebounded by Sean Anderson.,Missed,59,57,142,148
TCU,James Melton 3-point attempt...Missed!       Rebounded by Edward Furr.,Miss,59,57,143,148
SMU,Man Lee 3-point attempt...Score!       Assisted by: Sean Anderson,Score,62,57,144,148
TCU,Dustin Cook Inside shot...Score!       Assisted by: Allen Delgado,Score,62,59,145,148
TCU,Edward Furr 2-point jumper...Missed!       Rebounded by Ba Daniel.,Missed,62,59,146,148
SMU,Lawrence Munoz 3-point attempt...Score!       Assisted by: Sean Anderson,Score,65,59,147,148
TCU,Allen Delgado 3-point attempt...Missed!Rebounded by James Melton.,Score,65,59,148,148
,Match Complete,FinalScore,65,59,148,148
