HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
USAF,BOIS,64,72,151
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
BOIS,BOIS wins the tipoff!,Tipoff,0,0,0,151
BOIS,William Montoya 2-point jumper...Missed!       Rebounded by USAF Timothy Rogers.,Score,0,0,1,151
USAF,Harry Watson 3-point attempt...Missed!       Rebounded by BOIS Hoang Huq.,Miss,0,0,2,151
BOIS,William Varner Inside shot...Score!,Score,0,2,3,151
USAF,Jeffrey Mcgee Inside shot...Score!       Assisted by: Timothy Rogers,Score,2,2,4,151
BOIS,BOIS William Varner lost the ball out of bounds.,Turnover,2,2,5,151
USAF,USAF: Offensive foul on USAF Juan Phillips.,Foul,2,2,6,151
BOIS,Kevin Carey 2-point jumper...Missed!       Rebounded by USAF Keith Williams.,Score,2,2,8,151
USAF,Juan Phillips 3-point attempt...Score!       Assisted by: Tyler Carpenter,Score,5,2,9,151
BOIS,BOIS Hoang Huq lost the ball out of bounds.,Turnover,5,2,10,151
USAF,Timothy Rogers Inside shot...BLOCKED by BOIS Sean Carr.       Rebounded by BOIS Richard Gibbs.,Turnover,5,2,11,151
BOIS,Michael Horton 3-point attempt...Missed!Rebounded by USAF Tyler Carpenter.,Score,5,2,12,151
BOIS,Adrian Jackson steals the ball for BOIS!,Turnover,5,2,13,151
BOIS,William Wheat Inside shot...Missed!       Rebounded by USAF Keith Williams.,Score,5,2,14,151
USAF,Francis Mcpherson Inside shot...BLOCKED by BOIS William Varner.       Rebounded by USAF Harry Watson.,Turnover,5,2,15,151
USAF,USAF: Shot clock violation on USAF Timothy Rogers.,Shot Clock Violation,5,2,16,151
BOIS,Hoang Huq Inside shot... Missed but with a foul on the play.,Fouled,5,2,17,151
BOIS,Free throw coming up... good!,FreeThrow,5,3,17,151
BOIS,Free throw coming up... good!,FreeThrow,5,4,17,151
USAF,Tyler Carpenter Inside shot...Score!       Assisted by: Douglas Peterson,Score,7,4,18,151
BOIS,BOIS: Offensive foul on BOIS William Montoya.,Turnover,7,4,19,151
USAF,Timothy Rogers 3-point attempt...Score!       Assisted by: Keith Williams,Score,10,4,20,151
BOIS,Douglas Susa 2-point jumper...Missed!       Rebounded by USAF Tyler Carpenter.,Score,10,4,21,151
BOIS,Adrian Jackson steals the ball for BOIS!,Turnover,10,4,22,151
BOIS,Richard Gibbs 2-point jumper...Score!,Score,10,6,23,151
USAF,Keith Williams 3-point attempt...Missed!       Rebounded by USAF Timothy Rogers.,Missed,10,6,24,151
USAF,Keith Williams 2-point jumper...Missed!       Rebounded by BOIS Adrian Jackson.,Missed,10,6,25,151
BOIS,Richard Gibbs 2-point jumper...Missed!       Rebounded by USAF Timothy Rogers.,Score,10,6,26,151
USAF,USAF Keith Williams lost the ball out of bounds.,Out of Bounds,10,6,27,151
BOIS,William Wheat 3-point attempt...Missed!       Rebounded by BOIS Kevin Carey.,Score,10,6,28,151
BOIS,Timothy Lamanna Inside shot...Score!,Score,10,8,29,151
USAF,Keith Williams 3-point attempt...Missed!       Rebounded by USAF Keith Williams.,Missed,10,8,30,151
USAF,Jeffrey Mcgee 3-point attempt...Missed!       Rebounded by BOIS Adrian Jackson.,Miss,10,8,31,151
BOIS,Sean Carr 2-point jumper...Missed!       Rebounded by BOIS Kevin Carey.,Score,10,8,32,151
BOIS,BOIS: Offensive foul on BOIS Adrian Jackson.,Turnover,10,8,33,151
USAF,USAF Keith Williams lost the ball out of bounds.,Out of Bounds,10,8,34,151
BOIS,Sean Carr 2-point jumper...Missed!       Rebounded by USAF Douglas Peterson.,Score,10,8,35,151
USAF,Jeffrey Mcgee 3-point attempt...Score!       Assisted by: Douglas Peterson,Score,13,8,36,151
BOIS,Richard Gibbs Inside shot...Score!       Assisted by: William Varner,Score,13,10,37,151
USAF,Juan Phillips 3-point attempt...Score!       Assisted by: Jeffrey Mcgee,Score,16,10,38,151
