HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
AKRN,BALL,62,66,145
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
BALL,BALL wins the tipoff!,Tipoff,0,0,0,145
BALL,Timothy Fitzpatrick 2-point jumper...Missed!       Rebounded by AKRN Jimmy Moran.,Score,0,0,1,145
BALL,Douglas Woerner steals the ball for BALL!,Turnover,0,0,2,145
AKRN,Carlos Hernandez steals the ball for AKRN!,Turnover,0,0,3,145
AKRN,Mark Lawler 2-point jumper...Score!       Assisted by: Carlos Hernandez,Score,2,0,4,145
BALL,Daniel Sweeney Inside shot...Score! Fouled and we have a free throw folks!,Score,2,2,5,145
BALL,       Free throw coming up... rattled out.       Rebounded by AKRN Brian Parish.,FreeThrow,2,2,5,145
AKRN,AKRN: Shot clock violation on AKRN Carlos Hernandez.,Shot Clock Violation,2,2,6,145
BALL,John Stephens 2-point jumper...Missed!       Rebounded by AKRN Bruce Hajjar.,Score,2,2,7,145
AKRN,AKRN Carlos Hernandez lost the ball out of bounds.,Out of Bounds,2,2,8,145
BALL,Juan Rodriguez Inside shot...Score!,Score,2,4,9,145
AKRN,Jimmy Moran Inside shot...Missed!       Rebounded by AKRN Carlos Hernandez.,Score,2,4,10,145
BALL,Dat Tanglao steals the ball for BALL!,Turnover,2,4,11,145
AKRN,Mark Lawler steals the ball for AKRN!,Turnover,2,4,12,145
AKRN,Brian Parish 3-point attempt...Missed!       Rebounded by AKRN Brian Parish.,Missed,2,4,13,145
AKRN,Bruce Hajjar 2-point jumper...Missed!       Rebounded by BALL Douglas Woerner.,Missed,2,4,14,145
AKRN,Brian Parish steals the ball for AKRN!,Turnover,2,4,15,145
AKRN,Emanuel Adan Inside shot...Score!       Assisted by: Brian Nolting,Score,4,4,16,145
BALL,Timothy Fitzpatrick 3-point attempt...Missed!Rebounded by AKRN Carlos Hernandez.,Score,4,4,17,145
AKRN,Bruce Hajjar 2-point jumper...Missed!       Rebounded by BALL Timothy Fitzpatrick.,Missed,4,4,18,145
BALL,Gregory Foster 2-point jumper...Missed!       Rebounded by AKRN Carlos Hernandez.,Score,4,4,19,145
AKRN,Emanuel Adan Inside shot...Score!       Assisted by: Carlos Hernandez,Score,6,4,20,145
BALL,Timothy Fitzpatrick 2-point jumper... Missed but there is a foul on the play.,Foul,6,4,21,145
BALL,Free throw coming up... good!,FreeThrow,6,5,21,145
BALL,Free throw coming up... rattled out.       Rebounded by AKRN Jerry Han.,Score,6,5,21,145
AKRN,AKRN Carlos Hernandez lost the ball out of bounds.,Out of Bounds,6,5,22,145
BALL,John Stephens Inside shot...Score!,Score,6,7,23,145
AKRN,AKRN: Shot clock violation on AKRN Brian Parish.,Shot Clock Violation,6,7,24,145
BALL,Dat Tanglao Inside shot...Missed!       Rebounded by AKRN Carlos Hernandez.,Score,6,7,25,145
AKRN,Yong Hsu 3-point attempt...Missed!       Rebounded by BALL Andrew Johnston.,Miss,6,7,26,145
BALL,Dat Tanglao 2-point jumper...Missed!       Rebounded by AKRN Jimmy Moran.,Score,6,7,27,145
AKRN,Mark Lawler Inside shot...Missed!       Rebounded by BALL Juan Rodriguez.,Score,6,7,28,145
BALL,BALL: Offensive foul on BALL Douglas King.,Turnover,6,7,29,145
AKRN,Carlos Hernandez 2-point jumper...BLOCKED by BALL Timothy Fitzpatrick.       Rebounded by AKRN Jerry Han.,Turnover,6,7,30,145
AKRN,Brian Parish 2-point jumper...Missed!       Rebounded by BALL Daniel Sweeney.,Missed,6,7,31,145
BALL,Dat Tanglao Inside shot...Score!,Score,6,9,32,145
AKRN,Brian Parish Inside shot... Missed with a foul on the play.,Fouled,6,9,33,145
AKRN,Free throw coming up... good!,FreeThrow,7,9,33,145
AKRN,Free throw coming up... rattled out.       Rebounded by BALL Timothy Fitzpatrick.,FreeThrow,7,9,33,145
BALL,Gregory Foster Inside shot...Score!       Assisted by: Daniel Sweeney,Score,7,11,34,145
BALL,Timothy Fitzpatrick steals the ball for BALL!,Turnover,7,11,35,145
BALL,Dat Tanglao Inside shot... Missed but with a foul on the play.,Fouled,7,11,36,145
BALL,Free throw coming up... good!,FreeThrow,7,12,36,145
BALL,Free throw coming up... good!,FreeThrow,7,13,36,145
AKRN,Jimmy Moran 2-point jumper...Missed!       Rebounded by BALL Gregory Foster.,Missed,7,13,37,145
BALL,Thomas Dudley Inside shot...Missed!       Rebounded by AKRN Jin Orpilla.,Score,7,13,38,145
AKRN,Bruce Hajjar 2-point jumper...Missed!       Rebounded by AKRN Jerry Han.,Missed,7,13,39,145
AKRN,Jimmy Moran 2-point jumper...Score!,Score,9,13,40,145
BALL,Timothy Fitzpatrick 2-point jumper...Score!,Score,9,15,41,145
AKRN,Yong Hsu 2-point jumper...Score!       Assisted by: Jimmy Moran,Score,11,15,42,145
BALL,Timothy Fitzpatrick Inside shot...Score!,Score,11,17,44,145
AKRN,Terrence Eggeman 2-point jumper...Missed!       Rebounded by BALL Daniel Sweeney.,Missed,11,17,45,145
BALL,Douglas Woerner Inside shot...Score!,Score,11,19,46,145
AKRN,AKRN Bruce Hajjar lost the ball out of bounds.,Out of Bounds,11,19,47,145
BALL,Gregory Foster 2-point jumper...Score!,Score,11,21,49,145
BALL,Douglas Woerner steals the ball for BALL!,Turnover,11,21,50,145
BALL,John Stephens Inside shot... Missed but with a foul on the play.,Fouled,11,21,51,145
BALL,Free throw coming up... rattled out.,FreeThrow,11,21,51,145
BALL,Free throw coming up... good!,FreeThrow,11,22,51,145
AKRN,Brian Parish 3-point attempt...Score!,Score,14,22,52,145
BALL,BALL Timothy Fitzpatrick lost the ball out of bounds.,Turnover,14,22,53,145
AKRN,Bruce Hajjar Inside shot...Score!,Score,16,22,54,145
BALL,Gregory Foster Inside shot...Score!       Assisted by: Dat Tanglao,Score,16,24,55,145
AKRN,AKRN Jin Orpilla lost the ball out of bounds.,Out of Bounds,16,24,56,145
BALL,John Stephens Inside shot...Missed!       Rebounded by AKRN Carlos Hernandez.,Score,16,24,57,145
AKRN,Bruce Hajjar Inside shot... Missed with a foul on the play.,Fouled,16,24,58,145
AKRN,Free throw coming up... good!,FreeThrow,17,24,58,145
