HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
APST,GAST,69,61,143
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
APST,APST wins the tipoff!,Tipoff,0,0,0,143
APST,Mohamed Stacy Inside shot...Score!       Assisted by: Alberto Mendoza,Score,2,0,1,143
GAST,GAST: Offensive foul on GAST Nguyen Kim.,Turnover,2,0,2,143
APST,APST Federico Walker lost the ball out of bounds.,Out of Bounds,2,0,3,143
GAST,David Peter Inside shot... Missed but with a foul on the play.,Fouled,2,0,4,143
GAST,Free throw coming up... good!,FreeThrow,2,1,4,143
GAST,Free throw coming up... good!,FreeThrow,2,2,4,143
APST,Randall Howard 2-point jumper...Score!       Assisted by: David Boulay,Score,4,2,5,143
GAST,John Bona 2-point jumper...Missed!       Rebounded by APST Federico Walker.,Score,4,2,6,143
APST,Federico Walker 2-point jumper...Score!,Score,6,2,7,143
GAST,John White 3-point attempt...Missed!       Rebounded by GAST David Peter.,Score,6,2,8,143
GAST,David Peter 3-point attempt...Missed!Rebounded by APST Federico Walker.,Score,6,2,9,143
APST,Alberto Mendoza 3-point attempt...Missed!       Rebounded by APST Mohamed Stacy.,Missed,6,2,10,143
APST,Mark Dotson 2-point jumper...Score!,Score,8,2,11,143
GAST,Curtis Biard 2-point jumper...Missed!       Rebounded by GAST Michael Valerio.,Score,8,2,12,143
GAST,David Peter 3-point attempt...Score!       Assisted by: John Bona,Score,8,5,13,143
APST,William Mclean Inside shot...BLOCKED by GAST David Peter.       Rebounded by GAST Michael Valerio.,Turnover,8,5,14,143
APST,Mohamed Stacy steals the ball for APST!,Turnover,8,5,15,143
APST,Mohamed Stacy Inside shot...Missed!       Rebounded by GAST Matthew Cannon.,Score,8,5,16,143
GAST,Jose Galvan 2-point jumper...Missed!       Rebounded by GAST Jose Galvan.,Score,8,5,17,143
GAST,William Westerberg Inside shot...Score!,Score,8,7,18,143
APST,William Mclean Inside shot...Score!,Score,10,7,19,143
GAST,GAST Jose Galvan lost the ball out of bounds.,Turnover,10,7,20,143
APST,Young Ling 3-point attempt...Missed!       Rebounded by APST James Stanley.,Missed,10,7,21,143
APST,William Mclean Inside shot...Score! Foul on the play and one!,Score,12,7,22,143
APST,Free throw coming up... good!,FreeThrow,13,7,22,143
GAST,Jerry Ferguson Inside shot...Score!       Assisted by: John Bona,Score,13,9,23,143
APST,William Mclean 2-point jumper...Score!,Score,15,9,24,143
GAST,GAST Jose Galvan lost the ball out of bounds.,Turnover,15,9,25,143
APST,Brian Shay Inside shot...Score!,Score,17,9,26,143
GAST,John Bona Inside shot...Missed!       Rebounded by GAST David Peter.,Score,17,9,27,143
APST,Mohamed Stacy steals the ball for APST!,Turnover,17,9,28,143
APST,Randall Howard Inside shot...Score!,Score,19,9,29,143
GAST,Jerry Ferguson 3-point attempt...Score!       Assisted by: John Bona,Score,19,12,30,143
APST,APST Young Ling lost the ball out of bounds.,Out of Bounds,19,12,31,143
GAST,Jerry Ferguson Inside shot...Score!,Score,19,14,32,143
GAST,Michael Valerio steals the ball for GAST!,Turnover,19,14,33,143
GAST,Nguyen Kim 3-point attempt...Score!       Assisted by: Jose Galvan,Score,19,17,34,143
APST,Mohamed Stacy 2-point jumper...Missed!       Rebounded by APST Mohamed Stacy.,Missed,19,17,35,143
APST,Charles Prager 2-point jumper...Missed!       Rebounded by GAST David Peter.,Missed,19,17,36,143
GAST,Jose Galvan Inside shot...BLOCKED by Mohamed Stacy.       Rebounded by APST Randall Howard.,Turnover,19,17,37,143
APST,David Boulay Inside shot...Score!,Score,21,17,38,143
GAST,William Westerberg Inside shot...Score!       Assisted by: Curtis Biard,Score,21,19,39,143
APST,Randall Howard Inside shot...Score!       Assisted by: Alberto Mendoza,Score,23,19,40,143
GAST,GAST: Offensive foul on GAST John White.,Turnover,23,19,41,143
GAST,David Peter steals the ball for GAST!,Turnover,23,19,42,143
GAST,GAST David Peter lost the ball out of bounds.,Turnover,23,19,43,143
APST,Young Ling 2-point jumper...Score!       Assisted by: Brian Shay,Score,25,19,44,143
GAST,John Bona Inside shot...Score! Fouled and we have a free throw folks!       Assisted by: Curtis Biard,Score,25,21,45,143
GAST,Free throw coming up... good!,FreeThrow,25,22,45,143
APST,Mohamed Stacy 2-point jumper...Missed!       Rebounded by APST Charles Prager.,Missed,25,22,46,143
GAST,David Peter steals the ball for GAST!,Turnover,25,22,47,143
GAST,David Peter 2-point jumper...Missed!       Rebounded by APST William Mclean.,Score,25,22,48,143
APST,Randall Howard 3-point attempt...Missed!       Rebounded by GAST Jerry Ferguson.,Miss,25,22,49,143
GAST,David Peter Inside shot...Score!,Score,25,24,50,143
APST,Federico Walker 2-point jumper...Missed!       Rebounded by GAST Michael Valerio.,Missed,25,24,51,143
APST,Federico Walker steals the ball for APST!,Turnover,25,24,52,143
