HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
AZST,ZONA,55,65,144
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
ZONA,ZONA wins the tipoff!,Tipoff,0,0,0,144
ZONA,Kevin Carr Inside shot...BLOCKED by John Chambers.       Rebounded by ZONA Kevin Carr.,Turnover,0,0,1,144
ZONA,Kevin Carr 3-point attempt...Missed!Rebounded by AZST George Turbeville.,Score,0,0,2,144
ZONA,Kristofer Sadler steals the ball for ZONA!,Turnover,0,0,3,144
ZONA,ZONA: Shot clock violation on ZONA Kevin Carr.,Turnover,0,0,4,144
AZST,David Bland 2-point jumper...Missed!       Rebounded by ZONA Kristofer Sadler.,Missed,0,0,5,144
ZONA,ZONA Craig Clark lost the ball out of bounds.,Turnover,0,0,6,144
AZST,Robert Collins 2-point jumper...Score!,Score,2,0,7,144
ZONA,Jaroslaw Oster Inside shot...Score!,Score,2,2,8,144
AZST,Robert Collins 2-point jumper...BLOCKED by ZONA Jaroslaw Oster.       Rebounded by AZST John Chambers.,Turnover,2,2,9,144
AZST,Scott Myers Inside shot...Score!,Score,4,2,10,144
ZONA,Jeff Thomas 2-point jumper...Missed!       Rebounded by ZONA Kristofer Sadler.,Score,4,2,11,144
ZONA,Robert Kylander Inside shot...Score!,Score,4,4,12,144
ZONA,Alex Maranon steals the ball for ZONA!,Turnover,4,4,13,144
ZONA,Jeff Thomas Inside shot...BLOCKED by John Chambers.       Rebounded by ZONA Kristofer Sadler.,Turnover,4,4,14,144
ZONA,Craig Clark 2-point jumper...Missed!       Rebounded by ZONA Craig Clark.,Score,4,4,15,144
ZONA,Jeff Thomas Inside shot...Score!       Assisted by: Kristofer Sadler,Score,4,6,16,144
AZST,David Bland 2-point jumper...Score!,Score,6,6,17,144
ZONA,Ravi Tan 3-point attempt...Missed!Rebounded by AZST George Turbeville.,Score,6,6,18,144
AZST,John Chambers 3-point attempt...Score!       Assisted by: David Bland,Score,9,6,19,144
ZONA,Craig Clark Inside shot...Missed!       Rebounded by AZST George Turbeville.,Score,9,6,20,144
AZST,George Turbeville Inside shot...Score!,Score,11,6,21,144
ZONA,ZONA: Offensive foul on ZONA Jaroslaw Oster.,Turnover,11,6,22,144
AZST,Scott Myers Inside shot...Score! Foul on the play and one!,Score,13,6,23,144
AZST,Free throw coming up... good!,FreeThrow,14,6,23,144
ZONA,Jaroslaw Oster 2-point jumper...Missed!       Rebounded by AZST David Daly.,Score,14,6,25,144
AZST,Thomas Stevens 2-point jumper...Score!       Assisted by: Emmanuel Yancy,Score,16,6,26,144
AZST,Emmanuel Yancy steals the ball for AZST!,Turnover,16,6,27,144
AZST,Emmanuel Yancy 2-point jumper...Missed!       Rebounded by ZONA Ravi Tan.,Missed,16,6,28,144
ZONA,Kristofer Sadler 3-point attempt...Missed!       Rebounded by ZONA Kristofer Sadler.,Score,16,6,29,144
ZONA,Alex Maranon 3-point attempt...Score!       Assisted by: Jaroslaw Oster,Score,16,9,30,144
AZST,Owen Dillon 2-point jumper...Missed!       Rebounded by ZONA Craig Clark.,Missed,16,9,31,144
ZONA,Craig Clark 2-point jumper...Missed!       Rebounded by AZST Kevin Irvin.,Score,16,9,32,144
AZST,David Bland Inside shot...Score!       Assisted by: Scott Myers,Score,18,9,33,144
ZONA,Jeff Thomas 2-point jumper...Missed!       Rebounded by ZONA Kristofer Sadler.,Score,18,9,34,144
ZONA,Parul Patel 3-point attempt...Score!       Assisted by: Jeff Thomas,Score,18,12,35,144
AZST,John Chambers 3-point attempt...Missed!       Rebounded by ZONA Jeff Thomas.,Miss,18,12,36,144
ZONA,Alex Maranon 3-point attempt...Missed!Rebounded by AZST George Turbeville.,Score,18,12,37,144
AZST,Robert Collins Inside shot...Score!       Assisted by: David Daly,Score,20,12,38,144
ZONA,Lloyd Tumlinson 3-point attempt...Missed!       Rebounded by ZONA Jeff Thomas.,Score,20,12,39,144
ZONA,ZONA Lloyd Tumlinson lost the ball out of bounds.,Turnover,20,12,40,144
ZONA,Tony Payne steals the ball for ZONA!,Turnover,20,12,41,144
ZONA,Kevin Carr 2-point jumper...Score!,Score,20,14,42,144
AZST,AZST Robert Collins lost the ball out of bounds.,Out of Bounds,20,14,43,144
ZONA,Kristofer Sadler Inside shot...Score!       Assisted by: Jeff Thomas,Score,20,16,44,144
AZST,David Bland 2-point jumper...Missed!       Rebounded by ZONA William Salem.,Missed,20,16,45,144
ZONA,Lloyd Tumlinson 2-point jumper...Missed!       Rebounded by ZONA Alex Maranon.,Score,20,16,46,144
ZONA,Jeff Thomas Inside shot...Score!,Score,20,18,47,144
AZST,Robert Collins 3-point attempt...Missed!       Rebounded by ZONA Lloyd Tumlinson.,Miss,20,18,48,144
ZONA,Jeff Thomas 2-point jumper...Missed!       Rebounded by AZST George Turbeville.,Score,20,18,49,144
ZONA,Ravi Tan steals the ball for ZONA!,Turnover,20,18,50,144
ZONA,Kristofer Sadler Inside shot... Missed but with a foul on the play.,Fouled,20,18,51,144
ZONA,Free throw coming up... rattled out.,FreeThrow,20,18,51,144
ZONA,Free throw coming up... good!,FreeThrow,20,19,51,144
AZST,David Daly 2-point jumper... Missed with a foul on the play.,Turnover,20,19,52,144
AZST,David Daly 2-point jumper... Missed with a foul on the play.,FreeThrow,21,19,52,144
AZST,David Daly 2-point jumper... Missed with a foul on the play.,FreeThrow,22,19,52,144
ZONA,Jaroslaw Oster Inside shot... Missed but with a foul on the play.,Fouled,22,19,53,144
ZONA,Free throw coming up... good!,FreeThrow,22,20,53,144
ZONA,Free throw coming up... good!,FreeThrow,22,21,53,144
AZST,Chau Khan 3-point attempt...Missed!       Rebounded by ZONA Kristofer Sadler.,Miss,22,21,54,144
ZONA,Kevin Carr 2-point jumper... Missed but there is a foul on the play.,Foul,22,21,55,144
ZONA,Free throw coming up... good!,FreeThrow,22,22,55,144
ZONA,Free throw coming up... rattled out.       Rebounded by ZONA Terence Wilson.,Score,22,22,55,144
ZONA,Kevin Carr Inside shot...Score!       Assisted by: Jaroslaw Oster,Score,22,24,56,144
AZST,George Turbeville 2-point jumper...Score!,Score,24,24,57,144
ZONA,Ravi Tan Inside shot...Score!,Score,24,26,58,144
