HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
ARK,MIZZ,73,62,150
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
ARK,ARK wins the tipoff!,Tipoff,0,0,0,150
ARK,Michael Cochran 2-point jumper...Score!       Assisted by: Freddy Hernandez,Score,2,0,1,150
MIZZ,Brian Benton 2-point jumper...Missed!       Rebounded by ARK Phong Moy.,Score,2,0,2,150
ARK,ARK Donald Clouden lost the ball out of bounds.,Out of Bounds,2,0,3,150
MIZZ,Christopher Miramontes Inside shot...BLOCKED by Kevin Ricci.       Rebounded by ARK Kevin Ricci.,Turnover,2,0,4,150
ARK,Rafael Santillan 3-point attempt...Score!       Assisted by: Jonathan Mcbride,Score,5,0,5,150
MIZZ,MIZZ: Offensive foul on MIZZ Eugene Polanco.,Turnover,5,0,6,150
MIZZ,James Legg steals the ball for MIZZ!,Turnover,5,0,7,150
MIZZ,Tony Ewings 3-point attempt...Missed!Rebounded by ARK Donald Clouden.,Score,5,0,8,150
ARK,Kevin Ricci Inside shot...Score!,Score,7,0,9,150
ARK,Phong Moy steals the ball for ARK!,Turnover,7,0,10,150
ARK,Donald Clouden 3-point attempt...BLOCKED by MIZZ Brian Benton.       Rebounded by ARK Freddy Hernandez.,Score,7,0,11,150
ARK,Jonathan Mcbride 2-point jumper...Missed!       Rebounded by MIZZ James Crespin.,Missed,7,0,12,150
MIZZ,Eugene Polanco Inside shot...BLOCKED by Michael Cochran.       Rebounded by ARK Kevin Ricci.,Turnover,7,0,13,150
ARK,ARK Jonathan Mcbride lost the ball out of bounds.,Out of Bounds,7,0,14,150
ARK,James Staggs steals the ball for ARK!,Turnover,7,0,15,150
MIZZ,Tony Ewings steals the ball for MIZZ!,Turnover,7,0,16,150
ARK,Joseph Seifert steals the ball for ARK!,Turnover,7,0,17,150
ARK,Rafael Santillan Inside shot... Missed with a foul on the play.,Fouled,7,0,18,150
ARK,Free throw coming up... good!,FreeThrow,8,0,18,150
ARK,Free throw coming up... good!,FreeThrow,9,0,18,150
MIZZ,Stephen Ellison 3-point attempt...Score!       Assisted by: Roger Htoo,Score,9,3,19,150
ARK,Kevin Hauer 2-point jumper...Missed!       Rebounded by MIZZ Walter Gagliano.,Missed,9,3,20,150
MIZZ,Kerry White 3-point attempt...Missed!Rebounded by ARK Joseph Seifert.,Score,9,3,21,150
ARK,ARK: Offensive foul on ARK Rafael Santillan.,Foul,9,3,22,150
MIZZ,MIZZ Christopher Miramontes lost the ball out of bounds.,Turnover,9,3,23,150
ARK,Jonathan Mcbride 3-point attempt...Missed!       Rebounded by MIZZ Walter Gagliano.,Miss,9,3,24,150
MIZZ,Laurence Hirst 2-point jumper...Score!       Assisted by: Christopher Miramontes,Score,9,5,25,150
ARK,Joseph Seifert 2-point jumper...Missed!       Rebounded by MIZZ Tony Ewings.,Missed,9,5,26,150
MIZZ,William Mccants Inside shot...Score!       Assisted by: Christopher Miramontes,Score,9,7,27,150
ARK,Donald Clouden Inside shot...Score!       Assisted by: Phong Moy,Score,11,7,28,150
MIZZ,Kerry White Inside shot...BLOCKED by Kevin Ricci.       Rebounded by ARK Phong Moy.,Turnover,11,7,29,150
ARK,Donald Clouden 2-point jumper...Missed!       Rebounded by MIZZ Roger Htoo.,Missed,11,7,30,150
MIZZ,Eugene Polanco 3-point attempt...Score!,Score,11,10,31,150
ARK,Donald Clouden 3-point attempt...Score!       Assisted by: Phong Moy,Score,14,10,32,150
MIZZ,Kerry White Inside shot...Score!,Score,14,12,33,150
ARK,Freddy Hernandez 2-point jumper...Missed!       Rebounded by MIZZ Cedric Neal.,Missed,14,12,34,150
MIZZ,Eugene Polanco Inside shot...Score!,Score,14,14,35,150
ARK,Kevin Ricci 3-point attempt...Missed!       Rebounded by MIZZ Cedric Neal.,Miss,14,14,36,150
MIZZ,Kerry White 2-point jumper...Missed!       Rebounded by MIZZ Roger Htoo.,Score,14,14,37,150
MIZZ,Christopher Miramontes Inside shot...Score!,Score,14,16,38,150
ARK,Freddy Hernandez Inside shot...Score!       Assisted by: Charles Joseph,Score,16,16,39,150
MIZZ,James Crespin 3-point attempt...Missed!Rebounded by ARK Charles Le.,Score,16,16,40,150
ARK,Rafael Santillan Inside shot...BLOCKED by MIZZ Eugene Polanco.       Rebounded by ARK Freddy Hernandez.,Turnover,16,16,41,150
ARK,Kevin Ricci Inside shot... Missed with a foul on the play.,Fouled,16,16,42,150
ARK,Free throw coming up... good!,FreeThrow,17,16,42,150
ARK,Free throw coming up... good!,FreeThrow,18,16,42,150
MIZZ,Christopher Miramontes 2-point jumper...Missed!       Rebounded by ARK Freddy Hernandez.,Score,18,16,43,150
ARK,Donald Clouden 2-point jumper...Missed!       Rebounded by MIZZ Christopher Miramontes.,Missed,18,16,44,150
MIZZ,Brian Benton 2-point jumper...Missed!       Rebounded by MIZZ Brian Benton.,Score,18,16,45,150
MIZZ,Stephen Ellison 2-point jumper...Score!,Score,18,18,46,150
ARK,Donald Clouden 3-point attempt...Missed!       Rebounded by MIZZ Tony Ewings.,Miss,18,18,47,150
ARK,Phong Moy steals the ball for ARK!,Turnover,18,18,48,150
ARK,Rafael Santillan Inside shot...Score!,Score,20,18,49,150
MIZZ,Eugene Polanco 2-point jumper...Missed!       Rebounded by ARK Jonathan Mcbride.,Score,20,18,50,150
ARK,Phong Moy Inside shot...Score!,Score,22,18,51,150
MIZZ,Brian Benton Inside shot... Missed but with a foul on the play.,Fouled,22,18,52,150
MIZZ,Free throw coming up... good!,FreeThrow,22,19,52,150
MIZZ,Free throw coming up... good!,FreeThrow,22,20,52,150
ARK,Joseph Seifert 2-point jumper...Score!       Assisted by: Donald Clouden,Score,24,20,53,150
MIZZ,MIZZ: Offensive foul on MIZZ Cedric Neal.,Turnover,24,20,54,150
ARK,Jonathan Mcbride Inside shot...Score!,Score,26,20,55,150
MIZZ,Laurence Hirst Inside shot...Score!,Score,26,22,56,150
ARK,Charles Le 3-point attempt...Score!,Score,29,22,58,150
MIZZ,Brian Benton 2-point jumper...Score!       Assisted by: Eugene Polanco,Score,29,24,59,150
ARK,Donald Clouden Inside shot...Score!       Assisted by: Charles Le,Score,31,24,60,150
ARK,Charles Le steals the ball for ARK!,Turnover,31,24,61,150
MIZZ,Eugene Polanco steals the ball for MIZZ!,Turnover,31,24,62,150
MIZZ,Brian Benton 2-point jumper...Score!       Assisted by: Christopher Miramontes,Score,31,26,63,150
ARK,Donald Clouden 3-point attempt...Score!       Assisted by: Charles Beals,Score,34,26,64,150
ARK,Kevin Ricci steals the ball for ARK!,Turnover,34,26,65,150
ARK,Phong Moy 2-point jumper...Missed!       Rebounded by ARK Rafael Santillan.,Missed,34,26,66,150
ARK,Freddy Hernandez Inside shot...Score!,Score,36,26,67,150
MIZZ,Christopher Miramontes 2-point jumper...Score!,Score,36,28,69,150
ARK,Donald Clouden Inside shot... Missed with a foul on the play.,Fouled,36,28,70,150
ARK,Free throw coming up... good!,FreeThrow,37,28,70,150
ARK,Free throw coming up... good!,FreeThrow,38,28,70,150
MIZZ,Christopher Miramontes Inside shot...Score!,Score,38,30,71,150
MIZZ,Christopher Miramontes steals the ball for MIZZ!,Turnover,38,30,72,150
MIZZ,Kerry White 3-point attempt...Missed!Rebounded by ARK Freddy Hernandez.,Score,38,30,73,150
ARK,Freddy Hernandez Inside shot...BLOCKED by MIZZ Brian Benton.       Rebounded by MIZZ Kerry White.,Turnover,38,30,74,150
MIZZ,Brian Benton 3-point attempt...Missed!       Rebounded by MIZZ William Mccants.,Score,38,30,75,150
,,HALFTIME,38,30,75,150
MIZZ,Eugene Polanco Inside shot... Missed but with a foul on the play.,Fouled,38,30,76,150
MIZZ,Free throw coming up... good!,FreeThrow,38,31,76,150
MIZZ,Free throw coming up... good!,FreeThrow,38,32,76,150
ARK,Joseph Seifert 2-point jumper...Score!,Score,40,32,77,150
MIZZ,Kerry White 2-point jumper...Score!       Assisted by: Eugene Polanco,Score,40,34,78,150
ARK,Donald Clouden 2-point jumper...Missed!       Rebounded by MIZZ Kerry White.,Missed,40,34,79,150
MIZZ,Tony Ewings Inside shot...Score!       Assisted by: James Crespin,Score,40,36,80,150
ARK,James Staggs Inside shot...Score!,Score,42,36,82,150
MIZZ,Kerry White 2-point jumper...Missed!       Rebounded by ARK Freddy Hernandez.,Score,42,36,83,150
ARK,Phong Moy 2-point jumper...Missed!       Rebounded by MIZZ Kerry White.,Missed,42,36,84,150
MIZZ,James Legg Inside shot... Missed but with a foul on the play.,Fouled,42,36,85,150
MIZZ,Free throw coming up... rattled out.,FreeThrow,42,36,85,150
MIZZ,Free throw coming up... rattled out.       Rebounded by ARK Joseph Seifert.,FreeThrow,42,36,85,150
ARK,Rafael Santillan 3-point attempt...Missed!       Rebounded by ARK Kevin Ricci.,Missed,42,36,86,150
ARK,Joseph Seifert 2-point jumper...Score!,Score,44,36,87,150
ARK,Phong Moy steals the ball for ARK!,Turnover,44,36,88,150
MIZZ,Kerry White steals the ball for MIZZ!,Turnover,44,36,89,150
MIZZ,Eugene Polanco Inside shot...Score!,Score,44,38,90,150
ARK,James Staggs Inside shot... Missed with a foul on the play.,Fouled,44,38,91,150
ARK,Free throw coming up... good!,FreeThrow,45,38,91,150
ARK,Free throw coming up... good!,FreeThrow,46,38,91,150
MIZZ,Brian Benton Inside shot...Score!,Score,46,40,92,150
ARK,Kevin Ricci 3-point attempt...Score!       Assisted by: Rafael Santillan,Score,49,40,93,150
MIZZ,Walter Gagliano Inside shot...Score!,Score,49,42,94,150
ARK,Freddy Hernandez 2-point jumper...Missed!       Rebounded by ARK Jonathan Mcbride.,Missed,49,42,95,150
ARK,Rafael Santillan Inside shot...Score!,Score,51,42,96,150
MIZZ,Tony Ewings 2-point jumper...Missed!       Rebounded by ARK Jonathan Mcbride.,Score,51,42,97,150
ARK,Kevin Ricci 2-point jumper...Score!       Assisted by: Freddy Hernandez,Score,53,42,98,150
MIZZ,Kerry White Inside shot...Score!,Score,53,44,99,150
ARK,Donald Clouden 2-point jumper...Score!       Assisted by: Charles Beals,Score,55,44,100,150
MIZZ,James Legg 2-point jumper...Missed!       Rebounded by ARK Freddy Hernandez.,Score,55,44,101,150
ARK,Freddy Hernandez 3-point attempt...Missed!       Rebounded by MIZZ Tony Ewings.,Miss,55,44,102,150
MIZZ,Tony Ewings Inside shot... Missed but with a foul on the play.,Fouled,55,44,103,150
MIZZ,Free throw coming up... good!,FreeThrow,55,45,103,150
MIZZ,Free throw coming up... good!,FreeThrow,55,46,103,150
ARK,Charles Le 2-point jumper...Missed!       Rebounded by MIZZ Kerry White.,Missed,55,46,104,150
MIZZ,Walter Gagliano 2-point jumper...Missed!       Rebounded by MIZZ Laurence Hirst.,Score,55,46,105,150
MIZZ,Tony Ewings 3-point attempt...Missed!Rebounded by ARK Jonathan Mcbride.,Score,55,46,106,150
ARK,ARK Donald Clouden lost the ball out of bounds.,Out of Bounds,55,46,107,150
MIZZ,Christopher Miramontes 3-point attempt...Score!       Assisted by: Roger Htoo,Score,55,49,108,150
MIZZ,Christopher Miramontes steals the ball for MIZZ!,Turnover,55,49,109,150
MIZZ,Walter Gagliano 2-point jumper...Missed!       Rebounded by ARK Joseph Seifert.,Score,55,49,110,150
ARK,Jonathan Mcbride 2-point jumper...Missed!       Rebounded by ARK Jonathan Mcbride.,Missed,55,49,111,150
ARK,Charles Le 2-point jumper...Missed!       Rebounded by MIZZ Brian Benton.,Missed,55,49,112,150
MIZZ,MIZZ Roger Htoo lost the ball out of bounds.,Turnover,55,49,113,150
ARK,Jonathan Mcbride Inside shot...Score!,Score,57,49,114,150
MIZZ,Laurence Hirst 2-point jumper...Missed!       Rebounded by ARK Jonathan Mcbride.,Score,57,49,115,150
ARK,Kevin Ricci 2-point jumper...Missed!       Rebounded by MIZZ Walter Gagliano.,Missed,57,49,116,150
MIZZ,Eugene Polanco 3-point attempt...Missed!Rebounded by ARK Rafael Santillan.,Score,57,49,117,150
MIZZ,Walter Gagliano steals the ball for MIZZ!,Turnover,57,49,118,150
MIZZ,James Crespin Inside shot... Missed but with a foul on the play.,Fouled,57,49,119,150
MIZZ,Free throw coming up... good!,FreeThrow,57,50,119,150
MIZZ,Free throw coming up... rattled out.       Rebounded by ARK Joseph Seifert.,FreeThrow,57,50,119,150
ARK,ARK Phong Moy lost the ball out of bounds.,Out of Bounds,57,50,120,150
MIZZ,MIZZ Kerry White lost the ball out of bounds.,Turnover,57,50,121,150
ARK,Freddy Hernandez Inside shot... Missed with a foul on the play.,Fouled,57,50,122,150
ARK,Free throw coming up... good!,FreeThrow,58,50,122,150
ARK,Free throw coming up... good!,FreeThrow,59,50,122,150
MIZZ,Eugene Polanco 2-point jumper...Missed!       Rebounded by ARK Charles Joseph.,Score,59,50,123,150
ARK,Donald Clouden Inside shot...Score!,Score,61,50,124,150
MIZZ,Stephen Ellison Inside shot...Score!       Assisted by: Christopher Miramontes,Score,61,52,125,150
MIZZ,Roger Htoo steals the ball for MIZZ!,Turnover,61,52,126,150
MIZZ,Tony Ewings Inside shot...Score!,Score,61,54,127,150
ARK,Rafael Santillan 2-point jumper...Missed!       Rebounded by ARK Joseph Seifert.,Missed,61,54,128,150
ARK,Jonathan Mcbride 2-point jumper...Missed!       Rebounded by MIZZ Walter Gagliano.,Missed,61,54,129,150
MIZZ,Brian Benton Inside shot... Missed but with a foul on the play.,Fouled,61,54,131,150
MIZZ,Free throw coming up... good!,FreeThrow,61,55,131,150
MIZZ,Free throw coming up... good!,FreeThrow,61,56,131,150
MIZZ,Kerry White steals the ball for MIZZ!,Turnover,61,56,132,150
MIZZ,Roger Htoo 2-point jumper...Missed!       Rebounded by ARK Donald Clouden.,Score,61,56,133,150
ARK,Jonathan Mcbride Inside shot...Score! Foul on the play and one!,Score,63,56,134,150
ARK,Free throw coming up... good!,FreeThrow,64,56,134,150
MIZZ,Roger Htoo 3-point attempt...Missed!Rebounded by ARK Rafael Santillan.,Score,64,56,135,150
ARK,Donald Clouden 2-point jumper...Missed!       Rebounded by MIZZ Roger Htoo.,Missed,64,56,136,150
MIZZ,Brian Benton Inside shot... Missed but with a foul on the play.,Fouled,64,56,137,150
MIZZ,Free throw coming up... good!,FreeThrow,64,57,137,150
MIZZ,Free throw coming up... good!,FreeThrow,64,58,137,150
ARK,Phong Moy 3-point attempt...Score! Fouled on the play... and one!       Assisted by: Charles Joseph,Score,67,58,138,150
ARK,Free throw coming up... good!,FreeThrow,68,58,138,150
MIZZ,Kerry White Inside shot...Score!       Assisted by: Walter Gagliano,Score,68,60,139,150
ARK,James Staggs Inside shot...Missed!       Rebounded by ARK Kevin Ricci.,Score,68,60,140,150
ARK,Donald Clouden 2-point jumper...Missed!       Rebounded by ARK Freddy Hernandez.,Missed,68,60,141,150
ARK,Kevin Ricci 3-point attempt...Missed!       Rebounded by MIZZ Walter Gagliano.,Miss,68,60,142,150
MIZZ,Kerry White 2-point jumper...BLOCKED by Rafael Santillan.       Rebounded by ARK Rafael Santillan.,Turnover,68,60,143,150
ARK,Joseph Seifert 2-point jumper...Missed!       Rebounded by MIZZ Eugene Polanco.,Missed,68,60,144,150
MIZZ,Christopher Miramontes 2-point jumper...Missed!       Rebounded by MIZZ Christopher Miramontes.,Score,68,60,145,150
MIZZ,Walter Gagliano 2-point jumper...Missed!       Rebounded by ARK Joseph Seifert.,Score,68,60,146,150
ARK,Phong Moy Inside shot...Score!,Score,70,60,147,150
MIZZ,Kerry White 3-point attempt...Missed!Rebounded by ARK Donald Clouden.,Score,70,60,148,150
ARK,Rafael Santillan 3-point attempt...Score!       Assisted by: Donald Clouden,Score,73,60,149,150
MIZZ,James Crespin Inside shot...Score!       Assisted by: Stephen Ellison,Score,73,62,150,150
ARK,Donald Clouden Inside shot...BLOCKED by MIZZ Roger Htoo.       Rebounded by ARK Freddy Hernandez.,Turnover,73,62,151,150
,Match Complete,FinalScore,73,62,151,150
