HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
ARST,ULL,76,54,145
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
ARST,ARST wins the tipoff!,Tipoff,0,0,0,145
ARST,William Kuenstler 2-point jumper...Missed!       Rebounded by ULL Rolando Martinez.,Missed,0,0,1,145
ULL,Richard Bates Inside shot...Score!       Assisted by: Jeffrey Rogan,Score,0,2,2,145
ARST,ARST Matthew Cajigas lost the ball out of bounds.,Out of Bounds,0,2,3,145
ULL,Nicolae Betts 3-point attempt...Missed!       Rebounded by ULL Shawn Carlson.,Score,0,2,4,145
ARST,Matthew Cajigas steals the ball for ARST!,Turnover,0,2,5,145
ARST,Steven Kurtz 2-point jumper...Missed!       Rebounded by ULL Richard Dutrow.,Missed,0,2,6,145
ARST,Ronald Snook steals the ball for ARST!,Turnover,0,2,7,145
ARST,ARST Barry Mccorkle lost the ball out of bounds.,Out of Bounds,0,2,8,145
ULL,David Yap 3-point attempt...Missed!Rebounded by ARST David Pine.,Score,0,2,9,145
ARST,Jimmy Schmoke Inside shot...Score!,Score,2,2,10,145
ULL,Rolando Martinez Inside shot...BLOCKED by Roger Evans.       Rebounded by ULL David Yap.,Turnover,2,2,11,145
ULL,Daniel Capman 2-point jumper...Score!       Assisted by: Kyle Parker,Score,2,4,12,145
ARST,Barry Mccorkle 2-point jumper...Score!,Score,4,4,13,145
ULL,Daniel Capman Inside shot... Missed but with a foul on the play.,Fouled,4,4,14,145
ULL,Free throw coming up... rattled out.,FreeThrow,4,4,14,145
ULL,Free throw coming up... good!,FreeThrow,4,5,14,145
ULL,Kyle Parker steals the ball for ULL!,Turnover,4,5,15,145
ULL,ULL: Offensive foul on ULL Shawn Carlson.,Turnover,4,5,16,145
ARST,Paul Scott 2-point jumper...Missed!       Rebounded by ARST Barry Mccorkle.,Missed,4,5,17,145
ARST,Peter Mallari Inside shot...Score!,Score,6,5,18,145
ULL,Rolando Martinez Inside shot... Missed but with a foul on the play.,Fouled,6,5,19,145
ULL,Free throw coming up... good!,FreeThrow,6,6,19,145
ULL,Free throw coming up... good!,FreeThrow,6,7,19,145
ARST,Peter Mallari 3-point attempt...Missed!       Rebounded by ULL David Yap.,Miss,6,7,20,145
ULL,ULL David Yap lost the ball out of bounds.,Turnover,6,7,21,145
ARST,Paul Scott Inside shot...Score!       Assisted by: Ronald Snook,Score,8,7,22,145
ULL,Rolando Martinez Inside shot...Score!       Assisted by: Kyle Parker,Score,8,9,23,145
ARST,Roger Evans 2-point jumper...BLOCKED by ULL Rolando Martinez.       Rebounded by ULL Jeffrey Rogan.,Turnover,8,9,24,145
ULL,Shawn Carlson 2-point jumper...Score!,Score,8,11,25,145
ARST,David Pine 2-point jumper...Score!       Assisted by: Barry Mccorkle,Score,10,11,26,145
ULL,David Yap 2-point jumper...Missed!       Rebounded by ARST Scott Haygood.,Score,10,11,27,145
ARST,Barry Mccorkle Inside shot... Missed with a foul on the play.,Fouled,10,11,28,145
ARST,Free throw coming up... good!,FreeThrow,11,11,28,145
ARST,Free throw coming up... good!,FreeThrow,12,11,28,145
ULL,Richard Bates Inside shot...Score!,Score,12,13,29,145
ARST,Barry Mccorkle 3-point attempt...Missed!       Rebounded by ARST Matthew Cajigas.,Missed,12,13,30,145
ARST,Paul Scott 3-point attempt...Score!       Assisted by: Ronald Snook,Score,15,13,31,145
ULL,David Yap 2-point jumper...Score!       Assisted by: Kyle Parker,Score,15,15,32,145
ARST,Barry Mccorkle Inside shot...Score!,Score,17,15,33,145
ULL,ULL Rolando Martinez lost the ball out of bounds.,Turnover,17,15,34,145
ARST,Peter Mallari 3-point attempt...Missed!       Rebounded by ARST Roger Evans.,Missed,17,15,35,145
