HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
ARMY,UCF,65,56,144
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
UCF,UCF wins the tipoff!,Tipoff,0,0,0,144
ARMY,Jack Beckmann steals the ball for ARMY!,Turnover,0,0,1,144
ARMY,Adam Snodgrass 2-point jumper...Missed!       Rebounded by ARMY Adam Snodgrass.,Missed,0,0,2,144
UCF,Ramin Scott steals the ball for UCF!,Turnover,0,0,3,144
UCF,Lincoln Syed 2-point jumper...Missed!       Rebounded by ARMY John Schall.,Score,0,0,4,144
ARMY,Brent Toney 2-point jumper...Score!,Score,2,0,5,144
UCF,UCF Juan Dwyer lost the ball out of bounds.,Turnover,2,0,6,144
ARMY,Michael Copper 2-point jumper...Score!,Score,4,0,7,144
UCF,Nicholas Lyons 2-point jumper...Missed!       Rebounded by ARMY Jack Beckmann.,Score,4,0,8,144
ARMY,Rakesh Sarkar 2-point jumper...Score!,Score,6,0,9,144
UCF,Minh Bernas Inside shot...Score!,Score,6,2,10,144
ARMY,ARMY Reginald Gray lost the ball out of bounds.,Out of Bounds,6,2,11,144
UCF,Lincoln Syed Inside shot...Score!,Score,6,4,12,144
ARMY,ARMY: Offensive foul on ARMY Jack Beckmann.,Foul,6,4,13,144
UCF,UCF Jim Morgan lost the ball out of bounds.,Turnover,6,4,14,144
ARMY,Rakesh Sarkar Inside shot...Missed!       Rebounded by UCF William Morro.,Score,6,4,15,144
ARMY,Rakesh Sarkar steals the ball for ARMY!,Turnover,6,4,16,144
ARMY,Adam Snodgrass 3-point attempt...Missed!       Rebounded by ARMY Michael Copper.,Missed,6,4,17,144
ARMY,Jack Beckmann 2-point jumper...Score!       Assisted by: Rakesh Sarkar,Score,8,4,18,144
UCF,Minh Bernas 2-point jumper...Missed!       Rebounded by ARMY John Schall.,Score,8,4,19,144
ARMY,Jack Beckmann 2-point jumper...Score!       Assisted by: Michael Copper,Score,10,4,20,144
UCF,Nicholas Lyons Inside shot...Missed!       Rebounded by ARMY John Chastek.,Score,10,4,21,144
ARMY,Adam Snodgrass 3-point attempt...Score!       Assisted by: Michael Copper,Score,13,4,22,144
UCF,Joe Haynes Inside shot...Score!,Score,13,6,23,144
ARMY,Joseph Jones Inside shot...Score!       Assisted by: Jack Beckmann,Score,15,6,24,144
UCF,Rex Olney Inside shot...BLOCKED by Brent Toney.       Rebounded by UCF Ramin Scott.,Turnover,15,6,25,144
UCF,Ramin Scott 3-point attempt...Missed!Rebounded by ARMY Rakesh Sarkar.,Score,15,6,26,144
ARMY,ARMY: Offensive foul on ARMY Jack Beckmann.,Foul,15,6,27,144
UCF,Nicholas Lyons Inside shot...Score!,Score,15,8,28,144
ARMY,Reginald Gray Inside shot...BLOCKED by UCF Nicholas Lyons.       Rebounded by UCF Jim Morgan.,Turnover,15,8,29,144
UCF,Lincoln Syed Inside shot... Missed but with a foul on the play.,Fouled,15,8,30,144
UCF,Free throw coming up... good!,FreeThrow,15,9,30,144
UCF,Free throw coming up... good!,FreeThrow,15,10,30,144
ARMY,Rakesh Sarkar Inside shot... Missed with a foul on the play.,Fouled,15,10,31,144
ARMY,Free throw coming up... good!,FreeThrow,16,10,31,144
ARMY,Free throw coming up... good!,FreeThrow,17,10,31,144
UCF,Nicholas Lyons 3-point attempt...Missed!Rebounded by ARMY John Schall.,Score,17,10,32,144
ARMY,Rakesh Sarkar 2-point jumper...Missed!       Rebounded by ARMY Michael Copper.,Missed,17,10,33,144
ARMY,Rakesh Sarkar Inside shot...Score!,Score,19,10,34,144
UCF,Joe Haynes 2-point jumper...Missed!       Rebounded by ARMY Adam Snodgrass.,Score,19,10,35,144
ARMY,Rakesh Sarkar 2-point jumper...Missed!       Rebounded by ARMY Reginald Gray.,Missed,19,10,36,144
ARMY,Brent Toney 2-point jumper...Missed!       Rebounded by UCF Nicholas Lyons.,Missed,19,10,37,144
ARMY,Brent Toney steals the ball for ARMY!,Turnover,19,10,38,144
ARMY,Edward Washington 2-point jumper...Score!,Score,21,10,39,144
UCF,Leon Williams 2-point jumper...Missed!       Rebounded by ARMY Adam Snodgrass.,Score,21,10,40,144
ARMY,Rakesh Sarkar Inside shot...Score!       Assisted by: John Schall,Score,23,10,41,144
ARMY,Larry Hoy steals the ball for ARMY!,Turnover,23,10,42,144
ARMY,Reginald Gray 2-point jumper...Missed!       Rebounded by ARMY Adam Snodgrass.,Missed,23,10,43,144
ARMY,John Schall Inside shot... Missed with a foul on the play.,Fouled,23,10,44,144
ARMY,Free throw coming up... good!,FreeThrow,24,10,44,144
ARMY,Free throw coming up... good!,FreeThrow,25,10,44,144
ARMY,Jack Beckmann steals the ball for ARMY!,Turnover,25,10,45,144
ARMY,Adam Snodgrass Inside shot...Score!,Score,27,10,46,144
UCF,UCF: Shot clock violation on UCF Nicholas Lyons.,Turnover,27,10,47,144
