HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
AUB,LSU,46,61,146
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
LSU,LSU wins the tipoff!,Tipoff,0,0,0,146
LSU,LSU: Offensive foul on LSU Christopher Herrera.,Turnover,0,0,1,146
AUB,John Mason 2-point jumper...Missed!       Rebounded by LSU Christopher Herrera.,Missed,0,0,2,146
LSU,Matthew Gullett 2-point jumper...Score!       Assisted by: Christopher Herrera,Score,0,2,3,146
AUB,David Gurry Inside shot...Score!       Assisted by: Richard Angelle,Score,2,2,4,146
LSU,Christopher Brock Inside shot...Score!,Score,2,4,5,146
AUB,Antoine Kasey Inside shot... Missed with a foul on the play.,Fouled,2,4,6,146
AUB,Free throw coming up... good!,FreeThrow,3,4,6,146
AUB,Free throw coming up... good!,FreeThrow,4,4,6,146
LSU,Kevin Thomas Inside shot... Missed but with a foul on the play.,Fouled,4,4,7,146
LSU,Free throw coming up... rattled out.,FreeThrow,4,4,7,146
LSU,Free throw coming up... rattled out.       Rebounded by AUB Antoine Kasey.,FreeThrow,4,4,7,146
AUB,Michael Jackson Inside shot...BLOCKED by LSU Jeffrey Gannon.       Rebounded by AUB Douglas Kimmes.,Turnover,4,4,8,146
AUB,Antoine Kasey 2-point jumper...Missed!       Rebounded by AUB Nickolas Kilian.,Missed,4,4,9,146
AUB,Jose Harrell Inside shot...BLOCKED by LSU Matthew Gullett.       Rebounded by LSU Christopher Brock.,Turnover,4,4,10,146
AUB,Douglas Kimmes steals the ball for AUB!,Turnover,4,4,11,146
LSU,Matthew Gullett steals the ball for LSU!,Turnover,4,4,13,146
LSU,Jules Basham 2-point jumper...Missed!       Rebounded by AUB Douglas Kimmes.,Score,4,4,14,146
AUB,Jose Harrell Inside shot...Score!,Score,6,4,15,146
LSU,Jeffrey Gannon Inside shot...Missed!       Rebounded by AUB Jose Harrell.,Score,6,4,16,146
AUB,David Gurry 2-point jumper...BLOCKED by LSU Hugo Eakins.       Rebounded by AUB Douglas Kimmes.,Turnover,6,4,17,146
AUB,Antoine Kasey 2-point jumper...Score!,Score,8,4,18,146
LSU,William Woodard 3-point attempt...Score!       Assisted by: Matthew Gullett,Score,8,7,19,146
AUB,Jose Harrell Inside shot...Score! Foul on the play and one!       Assisted by: Nickolas Kilian,Score,10,7,20,146
AUB,Free throw coming up... good!,FreeThrow,11,7,20,146
LSU,Christopher Herrera Inside shot...Score!       Assisted by: Jeffrey Gannon,Score,11,9,21,146
LSU,William Woodard steals the ball for LSU!,Turnover,11,9,22,146
LSU,Matthew Gullett Inside shot... Missed but with a foul on the play.,Fouled,11,9,23,146
LSU,Free throw coming up... good!,FreeThrow,11,10,23,146
LSU,Free throw coming up... good!,FreeThrow,11,11,23,146
AUB,Anthony Goldberg 3-point attempt...Missed!       Rebounded by LSU Matthew Gullett.,Miss,11,11,24,146
LSU,Matthew Gullett Inside shot...Missed!       Rebounded by LSU Kevin Thomas.,Score,11,11,25,146
LSU,Jeffrey Gannon 3-point attempt...Missed!Rebounded by AUB David Gurry.,Score,11,11,26,146
