HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
BAYL,TTU,69,63,151
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
BAYL,BAYL wins the tipoff!,Tipoff,0,0,0,151
BAYL,Michael Simchak 3-point attempt...Missed!       Rebounded by TTU Brent Loudermilk.,Miss,0,0,1,151
TTU,Igor Benitez Inside shot...Score!,Score,0,2,2,151
TTU,Vladimir Dvorak steals the ball for TTU!,Turnover,0,2,3,151
BAYL,Jesse Brown steals the ball for BAYL!,Turnover,0,2,4,151
BAYL,Bobby Powers Inside shot...Score!       Assisted by: Thomas Mcdonald,Score,2,2,5,151
TTU,Igor Benitez Inside shot... Missed but with a foul on the play.,Fouled,2,2,6,151
TTU,Free throw coming up... good!,FreeThrow,2,3,6,151
TTU,Free throw coming up... good!,FreeThrow,2,4,6,151
TTU,Shawn Garcia steals the ball for TTU!,Turnover,2,4,7,151
TTU,Brandon Duckett 2-point jumper...Missed!       Rebounded by BAYL Willie Flowers.,Score,2,4,8,151
BAYL,Bobby Powers Inside shot...Score!       Assisted by: Mark Ralston,Score,4,4,9,151
TTU,Charles Wooten 2-point jumper...Score!       Assisted by: Todd Szmurlo,Score,4,6,10,151
BAYL,Jesse Brown Inside shot... Missed with a foul on the play.,Fouled,4,6,11,151
BAYL,Free throw coming up... good!,FreeThrow,5,6,11,151
TTU,Igor Benitez Inside shot...BLOCKED by Jesse Brown.       Rebounded by TTU Todd Szmurlo.,Turnover,5,6,12,151
TTU,Todd Szmurlo 2-point jumper...Score!,Score,5,8,13,151
BAYL,Willie Flowers Inside shot...Missed!       Rebounded by TTU Darwin Puckett.,Score,5,8,14,151
TTU,Brent Loudermilk 2-point jumper...Score!,Score,5,10,15,151
BAYL,Michael Simchak 2-point jumper...Score!,Score,7,10,16,151
TTU,Todd Szmurlo Inside shot...Score!,Score,7,12,17,151
BAYL,Mark Ralston Inside shot...Score!       Assisted by: Thomas Mcdonald,Score,9,12,18,151
BAYL,Mark Ralston steals the ball for BAYL!,Turnover,9,12,19,151
BAYL,Michael Simchak 2-point jumper...Missed!       Rebounded by TTU Todd Szmurlo.,Missed,9,12,20,151
TTU,Mark Ligas Inside shot...Score!       Assisted by: Brent Loudermilk,Score,9,14,21,151
BAYL,Michael Simchak Inside shot...Score!,Score,11,14,22,151
TTU,Brent Loudermilk 3-point attempt...Missed!Rebounded by BAYL Thomas Mcdonald.,Score,11,14,23,151
BAYL,Mark Ralston 2-point jumper...Missed!       Rebounded by TTU Brent Loudermilk.,Missed,11,14,24,151
TTU,Brent Loudermilk Inside shot...Score! Fouled and we have a free throw folks!,Score,11,16,25,151
TTU,Free throw coming up... good!,FreeThrow,11,17,25,151
BAYL,Jorge Gomez Inside shot...Score!       Assisted by: Bobby Powers,Score,13,17,26,151
TTU,TTU: Offensive foul on TTU Todd Szmurlo.,Turnover,13,17,27,151
TTU,Shawn Garcia steals the ball for TTU!,Turnover,13,17,28,151
TTU,James Demski 2-point jumper...Score!,Score,13,19,29,151
BAYL,Thomas Mcdonald Inside shot...Score!,Score,15,19,30,151
TTU,Mack Andrews 2-point jumper...Missed!       Rebounded by BAYL Michael Simchak.,Score,15,19,31,151
BAYL,Jesse Brown Inside shot...Score!       Assisted by: Mark Ralston,Score,17,19,32,151
TTU,TTU: Offensive foul on TTU Todd Szmurlo.,Turnover,17,19,33,151
BAYL,Jorge Gomez Inside shot...Score!       Assisted by: Thomas Mcdonald,Score,19,19,34,151
TTU,Todd Szmurlo 3-point attempt...Missed!       Rebounded by TTU Brent Loudermilk.,Score,19,19,35,151
TTU,Eugene Hamilton Inside shot...Score!,Score,19,21,36,151
TTU,Igor Benitez steals the ball for TTU!,Turnover,19,21,37,151
TTU,Brandon Duckett 2-point jumper...Missed!       Rebounded by BAYL Jorge Gomez.,Score,19,21,38,151
BAYL,Thomas Mcdonald 2-point jumper...Score!,Score,21,21,39,151
TTU,Charles Wooten 2-point jumper...Missed!       Rebounded by BAYL Michael Simchak.,Score,21,21,40,151
BAYL,Willie Flowers Inside shot...BLOCKED by TTU Darwin Puckett.       Rebounded by BAYL Bobby Powers.,Turnover,21,21,41,151
BAYL,Jesse Brown Inside shot...Score!       Assisted by: Bobby Powers,Score,23,21,42,151
TTU,Brent Loudermilk 2-point jumper...Missed!       Rebounded by TTU Eugene Hamilton.,Score,23,21,43,151
TTU,Brent Loudermilk 3-point attempt...Missed!Rebounded by BAYL Michael Simchak.,Score,23,21,44,151
BAYL,BAYL Mark Ralston lost the ball out of bounds.,Out of Bounds,23,21,45,151
TTU,TTU Todd Szmurlo lost the ball out of bounds.,Turnover,23,21,46,151
BAYL,Willie Flowers 2-point jumper...Missed!       Rebounded by BAYL Bobby Powers.,Missed,23,21,47,151
TTU,Todd Szmurlo steals the ball for TTU!,Turnover,23,21,48,151
TTU,Ronald Alansari Inside shot...Score!,Score,23,23,49,151
BAYL,Willie Flowers Inside shot...Score! Foul on the play and one!       Assisted by: Bobby Powers,Score,25,23,50,151
BAYL,Free throw coming up... good!,FreeThrow,26,23,50,151
TTU,Ronald Alansari Inside shot...Score!,Score,26,25,51,151
BAYL,BAYL: Offensive foul on BAYL Willie Flowers.,Foul,26,25,52,151
TTU,Brent Loudermilk 2-point jumper...Missed!       Rebounded by BAYL Michael Simchak.,Score,26,25,53,151
BAYL,Thomas Mcdonald Inside shot...Score!       Assisted by: Willie Flowers,Score,28,25,54,151
TTU,Brent Loudermilk 2-point jumper...BLOCKED by Michael Simchak.       Rebounded by BAYL Jorge Gomez.,Turnover,28,25,55,151
TTU,Brent Loudermilk steals the ball for TTU!,Turnover,28,25,56,151
TTU,Shawn Garcia 3-point attempt...Missed!       Rebounded by TTU Vladimir Dvorak.,Score,28,25,57,151
TTU,Brandon Duckett Inside shot...Missed!       Rebounded by BAYL Bobby Powers.,Score,28,25,58,151
BAYL,Jesse Brown Inside shot...Score!       Assisted by: Thomas Mcdonald,Score,30,25,59,151
TTU,Brent Loudermilk Inside shot...Score! Fouled and we have a free throw folks!       Assisted by: Brandon Duckett,Score,30,27,60,151
TTU,Free throw coming up... good!,FreeThrow,30,28,60,151
BAYL,Willie Flowers 3-point attempt...Missed!       Rebounded by TTU Vladimir Dvorak.,Miss,30,28,61,151
TTU,Brent Loudermilk 3-point attempt...Missed!Rebounded by BAYL Mark Ralston.,Score,30,28,62,151
BAYL,Willie Flowers 2-point jumper...Missed!       Rebounded by BAYL Jesse Brown.,Missed,30,28,63,151
BAYL,Mark Ralston Inside shot... Missed with a foul on the play.,Fouled,30,28,64,151
BAYL,Free throw coming up... good!,FreeThrow,31,28,64,151
