HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
BGSU,MIAO,88,53,148
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
BGSU,BGSU wins the tipoff!,Tipoff,0,0,0,148
BGSU,John Roby Inside shot...Score!       Assisted by: Jason Harvey,Score,2,0,1,148
MIAO,Frank Villegas Inside shot...Score!       Assisted by: Brian Hilf,Score,2,2,2,148
BGSU,Victor Ramirez Inside shot...Missed!       Rebounded by MIAO Roger Kimbro.,Score,2,2,3,148
MIAO,Frank Villegas Inside shot... Missed but with a foul on the play.,Fouled,2,2,4,148
MIAO,Free throw coming up... good!,FreeThrow,2,3,4,148
MIAO,Free throw coming up... good!,FreeThrow,2,4,4,148
BGSU,Donald Deel Inside shot... Missed with a foul on the play.,Fouled,2,4,5,148
BGSU,Free throw coming up... rattled out.       Rebounded by MIAO Roger Kimbro.,FreeThrow,2,4,5,148
MIAO,Hasmik Jones 3-point attempt...Missed!       Rebounded by MIAO James Merry.,Score,2,4,6,148
MIAO,Brian Hilf 3-point attempt...Missed!Rebounded by BGSU Christopher Nettnin.,Score,2,4,7,148
BGSU,BGSU: Offensive foul on BGSU Christopher Nettnin.,Foul,2,4,8,148
MIAO,James Merry Inside shot...Score!       Assisted by: Roger Kimbro,Score,2,6,9,148
BGSU,BGSU: Offensive foul on BGSU Christopher Nettnin.,Foul,2,6,10,148
MIAO,James Weir 2-point jumper...Missed!       Rebounded by BGSU Donald Deel.,Score,2,6,11,148
BGSU,Donald Deel Inside shot...Score!       Assisted by: William Edgemon,Score,4,6,12,148
BGSU,Victor Ramirez steals the ball for BGSU!,Turnover,4,6,13,148
BGSU,James Gray 2-point jumper...Score!,Score,6,6,14,148
MIAO,Michael Rosenfeld 3-point attempt...Missed!Rebounded by BGSU Jason Harvey.,Score,6,6,15,148
BGSU,Victor Ramirez 2-point jumper...BLOCKED by MIAO Frank Villegas.       Rebounded by MIAO James Merry.,Turnover,6,6,16,148
MIAO,James Weir 2-point jumper...Score!       Assisted by: Thomas Bowers,Score,6,8,17,148
BGSU,Jason Harvey 3-point attempt...Score!,Score,9,8,18,148
BGSU,William Edgemon steals the ball for BGSU!,Turnover,9,8,19,148
BGSU,Victor Ramirez Inside shot...Score!,Score,11,8,20,148
MIAO,David Belleau 3-point attempt...Missed!Rebounded by BGSU Christopher Nettnin.,Score,11,8,21,148
BGSU,Curtis Boccella Inside shot...Score!,Score,13,8,22,148
MIAO,Roger Kimbro 2-point jumper...Missed!       Rebounded by BGSU Donald Deel.,Score,13,8,23,148
BGSU,Victor Ramirez 2-point jumper...Score!,Score,15,8,24,148
MIAO,Steven Cox 3-point attempt...Missed!Rebounded by BGSU John Roby.,Score,15,8,25,148
BGSU,Jason Harvey Inside shot...Score!       Assisted by: John Roby,Score,17,8,26,148
MIAO,Steven Cox 2-point jumper...BLOCKED by Curtis Boccella.       Rebounded by MIAO Roger Kimbro.,Turnover,17,8,27,148
MIAO,MIAO: Offensive foul on MIAO Steven Cox.,Turnover,17,8,28,148
BGSU,Jason Harvey Inside shot...Score!       Assisted by: Donald Deel,Score,19,8,29,148
MIAO,Steven Cox Inside shot...Missed!       Rebounded by BGSU Christopher Nettnin.,Score,19,8,30,148
BGSU,BGSU James Gray lost the ball out of bounds.,Out of Bounds,19,8,31,148
MIAO,Frank Villegas 2-point jumper...Missed!       Rebounded by BGSU Jason Harvey.,Score,19,8,32,148
BGSU,Christopher Nettnin 2-point jumper...Missed!       Rebounded by MIAO Herman Navarro.,Missed,19,8,33,148
MIAO,Michael Rosenfeld 2-point jumper...Missed!       Rebounded by BGSU Christopher Nettnin.,Score,19,8,34,148
