HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
BUFF,NIU,57,63,145
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
NIU,NIU wins the tipoff!,Tipoff,0,0,0,145
NIU,NIU Ronald Faircloth lost the ball out of bounds.,Turnover,0,0,1,145
BUFF,Richard Allen Inside shot...Score!,Score,2,0,2,145
NIU,NIU: Offensive foul on NIU Gerald Northcraft.,Turnover,2,0,3,145
BUFF,Dalton Redman 3-point attempt...Score!       Assisted by: Clifton Sligh,Score,5,0,4,145
NIU,David Cowie 2-point jumper...Missed!       Rebounded by BUFF Paul Orr.,Score,5,0,5,145
BUFF,Dalton Redman Inside shot...Score!       Assisted by: Paul Orr,Score,7,0,6,145
NIU,James William Inside shot... Missed but with a foul on the play.,Fouled,7,0,7,145
NIU,Free throw coming up... good!,FreeThrow,7,1,7,145
NIU,Free throw coming up... good!,FreeThrow,7,2,7,145
BUFF,Christopher Lovell Inside shot...BLOCKED by NIU Fernando Hernandez.       Rebounded by BUFF Christopher Lovell.,Turnover,7,2,8,145
NIU,Ronald Faircloth steals the ball for NIU!,Turnover,7,2,9,145
NIU,Paul Comstock 3-point attempt...Missed!Rebounded by BUFF Richard Allen.,Score,7,2,10,145
BUFF,Stephen Kelley Inside shot...Score!       Assisted by: William Yang,Score,9,2,11,145
NIU,NIU Robert Hobensack lost the ball out of bounds.,Turnover,9,2,12,145
BUFF,Clifton Sligh 2-point jumper...Score!,Score,11,2,13,145
NIU,Stephen Jacob Inside shot...Score!,Score,11,4,14,145
BUFF,Stephen Kelley 2-point jumper...Missed!       Rebounded by NIU Stephen Jacob.,Missed,11,4,15,145
NIU,Stephen Jacob 3-point attempt...Missed!       Rebounded by NIU Daniel Schauer.,Score,11,4,16,145
NIU,Derrick Barge 2-point jumper...Missed!       Rebounded by BUFF Richard Allen.,Score,11,4,17,145
NIU,James William steals the ball for NIU!,Turnover,11,4,18,145
NIU,Keith Ramnarine 2-point jumper...Missed!       Rebounded by NIU Stephen Jacob.,Score,11,4,19,145
NIU,Daniel Schauer 2-point jumper...Score!,Score,11,6,20,145
BUFF,Dalton Redman 2-point jumper...Missed!       Rebounded by NIU James William.,Missed,11,6,21,145
NIU,Paul Comstock 2-point jumper...BLOCKED by Richard Allen.       Rebounded by NIU David Cowie.,Turnover,11,6,22,145
