HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
BUT,EVAN,67,52,149
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
BUT,BUT wins the tipoff!,Tipoff,0,0,0,149
BUT,Robert Wright Inside shot...BLOCKED by EVAN John Mizutani.       Rebounded by EVAN Mark Serafin.,Turnover,0,0,1,149
EVAN,EVAN Joseph Singh lost the ball out of bounds.,Turnover,0,0,2,149
BUT,Christopher Christopher Inside shot...Score!       Assisted by: Robert Wright,Score,2,0,3,149
EVAN,John Moore Inside shot... Missed but with a foul on the play.,Fouled,2,0,4,149
EVAN,Free throw coming up... good!,FreeThrow,2,1,4,149
EVAN,Free throw coming up... good!,FreeThrow,2,2,4,149
BUT,James Farrell Inside shot...Missed!       Rebounded by EVAN Joseph Singh.,Score,2,2,5,149
EVAN,Solomon Souverain Inside shot...Score!,Score,2,4,6,149
BUT,Josh Kuerzi 2-point jumper...Missed!       Rebounded by BUT Robert Wright.,Missed,2,4,7,149
BUT,James Farrell 2-point jumper...Missed!       Rebounded by EVAN Eric Kimura.,Missed,2,4,8,149
EVAN,Eric Kimura Inside shot...Missed!       Rebounded by BUT Jimmy Burnett.,Score,2,4,9,149
BUT,James Farrell 2-point jumper...Missed!       Rebounded by EVAN Michael Cosio.,Missed,2,4,10,149
EVAN,Charles Dixon Inside shot...Score!,Score,2,6,11,149
BUT,Robert Wright 2-point jumper...Score!,Score,4,6,12,149
EVAN,John Moore Inside shot...Score!,Score,4,8,13,149
BUT,Jimmy Burnett Inside shot...Score!,Score,6,8,14,149
EVAN,Alan Laude 3-point attempt...Missed!Rebounded by BUT William Raval.,Score,6,8,15,149
EVAN,John Mizutani steals the ball for EVAN!,Turnover,6,8,16,149
EVAN,John Mizutani Inside shot...BLOCKED by William Raval.       Rebounded by BUT James Farrell.,Turnover,6,8,17,149
BUT,Jimmy Burnett Inside shot...Score!,Score,8,8,18,149
EVAN,John Moore 3-point attempt...Score!,Score,8,11,19,149
BUT,Jimmy Burnett Inside shot...BLOCKED by EVAN John Mizutani.       Rebounded by BUT James Farrell.,Turnover,8,11,20,149
EVAN,John Mizutani steals the ball for EVAN!,Turnover,8,11,21,149
EVAN,John Moore Inside shot...Score! Fouled and we have a free throw folks!       Assisted by: Alan Laude,Score,8,13,22,149
EVAN,Free throw coming up... good!,FreeThrow,8,14,22,149
BUT,William Raval 2-point jumper...BLOCKED by EVAN Alan Laude.       Rebounded by EVAN Eric Kimura.,Turnover,8,14,23,149
EVAN,Eric Kimura 3-point attempt...Missed!Rebounded by BUT William Raval.,Score,8,14,24,149
BUT,Jimmy Burnett Inside shot...BLOCKED by EVAN Alan Laude.       Rebounded by BUT James Farrell.,Turnover,8,14,25,149
BUT,BUT James Farrell lost the ball out of bounds.,Out of Bounds,8,14,26,149
EVAN,Alan Khurshid 3-point attempt...Missed!       Rebounded by EVAN Joseph Singh.,Score,8,14,27,149
EVAN,Stephen Brown 2-point jumper...BLOCKED by Christopher Christopher.       Rebounded by EVAN John Mizutani.,Turnover,8,14,28,149
EVAN,Scott Gillam Inside shot...Score!,Score,8,16,29,149
BUT,Christopher Christopher Inside shot...Score!,Score,10,16,30,149
EVAN,John Moore 2-point jumper...Missed!       Rebounded by BUT William Raval.,Score,10,16,31,149
BUT,Christopher Christopher 2-point jumper...Score!       Assisted by: James Farrell,Score,12,16,32,149
EVAN,John Moore 2-point jumper...Missed!       Rebounded by BUT William Raval.,Score,12,16,33,149
BUT,Steven Moore Inside shot...Score!,Score,14,16,34,149
EVAN,Alan Laude Inside shot...Score!,Score,14,18,35,149
BUT,Steven Moore 2-point jumper...Score!       Assisted by: Robert Wright,Score,16,18,36,149
EVAN,Eric Kimura Inside shot...Score!,Score,16,20,37,149
BUT,Christopher Christopher 2-point jumper...Score!,Score,18,20,38,149
EVAN,Eric Kimura 2-point jumper...Missed!       Rebounded by EVAN Michael Cosio.,Score,18,20,39,149
EVAN,Joseph Singh 2-point jumper...Missed!       Rebounded by BUT Jimmy Burnett.,Score,18,20,40,149
BUT,Christopher Christopher Inside shot...Score!,Score,20,20,41,149
EVAN,John Moore 3-point attempt...Missed!Rebounded by BUT James Farrell.,Score,20,20,42,149
BUT,Christopher Christopher Inside shot...Score!       Assisted by: William Raval,Score,22,20,43,149
EVAN,Alan Laude Inside shot...Score!,Score,22,22,44,149
BUT,BUT: Offensive foul on BUT Jimmy Burnett.,Foul,22,22,45,149
EVAN,Scott Gillam 3-point attempt...Missed!Rebounded by BUT Robert Wright.,Score,22,22,46,149
BUT,BUT: Offensive foul on BUT Steven Moore.,Foul,22,22,47,149
EVAN,EVAN John Moore lost the ball out of bounds.,Turnover,22,22,48,149
BUT,Christopher Christopher Inside shot...BLOCKED by EVAN Scott Gillam.       Rebounded by EVAN Michael Cosio.,Turnover,22,22,49,149
EVAN,Stephen Brown 2-point jumper...Missed!       Rebounded by BUT James Farrell.,Score,22,22,50,149
EVAN,Alan Khurshid steals the ball for EVAN!,Turnover,22,22,51,149
EVAN,EVAN Mark Serafin lost the ball out of bounds.,Turnover,22,22,52,149
EVAN,John Mizutani steals the ball for EVAN!,Turnover,22,22,53,149
EVAN,Joseph Singh 2-point jumper...Missed!       Rebounded by BUT Sean Jordan.,Score,22,22,54,149
BUT,Josh Kuerzi Inside shot...BLOCKED by EVAN Alan Khurshid.       Rebounded by EVAN Solomon Souverain.,Turnover,22,22,55,149
EVAN,Eric Kimura 2-point jumper...Missed!       Rebounded by EVAN Joseph Singh.,Score,22,22,56,149
EVAN,John Moore Inside shot...Score!,Score,22,24,57,149
BUT,Robert Wright 3-point attempt...Missed!       Rebounded by BUT Sean Jordan.,Missed,22,24,58,149
BUT,Christopher Christopher 3-point attempt...Missed!       Rebounded by EVAN Eric Kimura.,Miss,22,24,59,149
EVAN,Michael Cosio Inside shot...Score!,Score,22,26,60,149
BUT,Robert Wright Inside shot...Score!       Assisted by: William Raval,Score,24,26,61,149
EVAN,Alan Laude 3-point attempt...Missed!Rebounded by BUT James Farrell.,Score,24,26,62,149
BUT,Christopher Christopher Inside shot...Score!,Score,26,26,63,149
EVAN,John Mizutani Inside shot...Missed!       Rebounded by BUT Josh Kuerzi.,Score,26,26,64,149
BUT,William Raval Inside shot...Score!,Score,28,26,65,149
EVAN,Charles Dixon 2-point jumper...Score!,Score,28,28,66,149
BUT,Christopher Christopher Inside shot...Score!,Score,30,28,67,149
EVAN,John Moore 2-point jumper...Missed!       Rebounded by BUT James Farrell.,Score,30,28,68,149
BUT,James Farrell 3-point attempt...Score!       Assisted by: Jimmy Burnett,Score,33,28,69,149
EVAN,Scott Gillam 3-point attempt...Missed!Rebounded by BUT Robert Wright.,Score,33,28,70,149
BUT,Christopher Christopher 3-point attempt...Missed!       Rebounded by EVAN John Mizutani.,Miss,33,28,71,149
BUT,James Farrell steals the ball for BUT!,Turnover,33,28,72,149
BUT,William Raval 2-point jumper...Score!,Score,35,28,73,149
EVAN,EVAN: Offensive foul on EVAN Eric Kimura.,Turnover,35,28,74,149
,,HALFTIME,35,28,74,149
BUT,Jimmy Burnett 2-point jumper...Missed!       Rebounded by EVAN Eric Kimura.,Missed,35,28,75,149
EVAN,John Moore 3-point attempt...Missed!Rebounded by BUT Robert Wright.,Score,35,28,76,149
BUT,Robert Wright 2-point jumper...Score!       Assisted by: Christopher Christopher,Score,37,28,77,149
EVAN,John Mizutani 2-point jumper...Missed!       Rebounded by EVAN Eric Kimura.,Score,37,28,78,149
EVAN,John Moore 2-point jumper...Missed!       Rebounded by BUT James Farrell.,Score,37,28,79,149
BUT,Christopher Christopher Inside shot...BLOCKED by EVAN Joseph Singh.       Rebounded by EVAN John Mizutani.,Turnover,37,28,80,149
