HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
BYU,LMU,65,57,145
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
BYU,BYU wins the tipoff!,Tipoff,0,0,0,145
BYU,Andrew Brettin Inside shot...Score!,Score,2,0,1,145
LMU,LMU Joseph Chambliss lost the ball out of bounds.,Turnover,2,0,2,145
LMU,Joseph Chambliss steals the ball for LMU!,Turnover,2,0,3,145
BYU,Michael Golden steals the ball for BYU!,Turnover,2,0,4,145
BYU,Michael Golden 2-point jumper...Missed!       Rebounded by LMU Alexandru Simmet.,Missed,2,0,5,145
LMU,Bobby Holt Inside shot...Score!,Score,2,2,6,145
BYU,Todd Bailey Inside shot...Score!,Score,4,2,7,145
LMU,John Branigan 3-point attempt...Score!       Assisted by: Dustin Sears,Score,4,5,8,145
BYU,Joseph Bragdon 2-point jumper...Missed!       Rebounded by LMU Eduard Simpson.,Missed,4,5,9,145
LMU,Bobby Holt 2-point jumper...BLOCKED by Michael Golden.       Rebounded by BYU Jamie Witt.,Turnover,4,5,10,145
LMU,Edward White steals the ball for LMU!,Turnover,4,5,11,145
LMU,Bobby Holt 2-point jumper...Missed!       Rebounded by LMU Edward White.,Score,4,5,12,145
LMU,John Branigan Inside shot...Missed!       Rebounded by BYU Joseph Bragdon.,Score,4,5,13,145
BYU,Jamie Witt 2-point jumper...Missed!       Rebounded by LMU Joseph Chambliss.,Missed,4,5,14,145
LMU,Bobby Holt 3-point attempt...Missed!Rebounded by BYU Randall Yoder.,Score,4,5,15,145
BYU,Shu Patel 3-point attempt...Missed!       Rebounded by LMU Dustin Sears.,Miss,4,5,16,145
LMU,Edward White Inside shot...Score!,Score,4,7,17,145
BYU,BYU Joseph Bragdon lost the ball out of bounds.,Out of Bounds,4,7,18,145
LMU,Dustin Sears 2-point jumper...Missed!       Rebounded by BYU Andrew Brettin.,Score,4,7,19,145
BYU,Daniel Morrell Inside shot...Score! Foul on the play and one!       Assisted by: Todd Bailey,Score,6,7,20,145
BYU,Free throw coming up... rattled out.       Rebounded by LMU Alexandru Simmet.,FreeThrow,6,7,20,145
LMU,Edward White Inside shot...Score!       Assisted by: Bobby Holt,Score,6,9,21,145
LMU,Eduard Simpson steals the ball for LMU!,Turnover,6,9,22,145
LMU,August Knight Inside shot...Score!,Score,6,11,23,145
BYU,Todd Bailey 2-point jumper...Score!,Score,8,11,24,145
LMU,Dustin Sears 2-point jumper...Missed!       Rebounded by BYU Harold Davey.,Score,8,11,25,145
BYU,Shu Patel 2-point jumper...Missed!       Rebounded by LMU Bobby Holt.,Missed,8,11,26,145
LMU,Eduard Simpson Inside shot...BLOCKED by Michael Golden.       Rebounded by LMU August Knight.,Turnover,8,11,27,145
LMU,Joseph Chambliss 2-point jumper...Missed!       Rebounded by LMU Bobby Holt.,Score,8,11,28,145
LMU,Joseph Chambliss Inside shot...Score!       Assisted by: Edward White,Score,8,13,29,145
BYU,Joseph Bragdon 2-point jumper...Score!,Score,10,13,30,145
BYU,Andrew Brettin steals the ball for BYU!,Turnover,10,13,31,145
BYU,Alexander Marulanda Inside shot... Missed with a foul on the play.,Fouled,10,13,33,145
BYU,Free throw coming up... good!,FreeThrow,11,13,33,145
BYU,Free throw coming up... good!,FreeThrow,12,13,33,145
LMU,Edward White 2-point jumper...Score!       Assisted by: Joseph Chambliss,Score,12,15,34,145
BYU,Shu Patel 2-point jumper...Missed!       Rebounded by LMU Jeffery Meyers.,Missed,12,15,35,145
LMU,LMU Bobby Holt lost the ball out of bounds.,Turnover,12,15,36,145
BYU,Michael Golden 2-point jumper...Score!,Score,14,15,37,145
LMU,Jeffery Meyers Inside shot... Missed but with a foul on the play.,Fouled,14,15,38,145
LMU,Free throw coming up... good!,FreeThrow,14,16,38,145
LMU,Free throw coming up... good!,FreeThrow,14,17,38,145
BYU,Jamie Witt Inside shot...Score!       Assisted by: Shu Patel,Score,16,17,39,145
LMU,Joseph Chambliss Inside shot...Score!       Assisted by: Dustin Sears,Score,16,19,40,145
BYU,Jamie Witt Inside shot...Score!       Assisted by: Daniel Morrell,Score,18,19,41,145
LMU,Joseph Chambliss Inside shot...Score!,Score,18,21,42,145
BYU,Alexander Marulanda 3-point attempt...Missed!       Rebounded by BYU Joseph Bragdon.,Missed,18,21,43,145
BYU,Todd Bailey Inside shot... Missed with a foul on the play.,Fouled,18,21,44,145
BYU,Free throw coming up... good!,FreeThrow,19,21,44,145
BYU,Free throw coming up... good!,FreeThrow,20,21,44,145
LMU,LMU: Offensive foul on LMU Edward White.,Turnover,20,21,45,145
BYU,Joseph Bragdon 2-point jumper...Missed!       Rebounded by BYU Michael Golden.,Missed,20,21,46,145
BYU,BYU Harold Davey lost the ball out of bounds.,Out of Bounds,20,21,47,145
LMU,Alexandru Simmet 3-point attempt...Missed!Rebounded by BYU Todd Bailey.,Score,20,21,48,145
BYU,Joseph Bragdon 3-point attempt...Missed!       Rebounded by LMU Edward White.,Miss,20,21,49,145
LMU,Bobby Holt 2-point jumper...Missed!       Rebounded by LMU Eduard Simpson.,Score,20,21,51,145
LMU,Bobby Holt Inside shot... Missed but with a foul on the play.,Fouled,20,21,52,145
LMU,Free throw coming up... good!,FreeThrow,20,22,52,145
LMU,Free throw coming up... good!,FreeThrow,20,23,52,145
BYU,Todd Bailey Inside shot...Score!,Score,22,23,53,145
LMU,Joseph Chambliss 3-point attempt...Missed!Rebounded by BYU Daniel Morrell.,Score,22,23,54,145
BYU,BYU Michael Golden lost the ball out of bounds.,Out of Bounds,22,23,55,145
BYU,Randall Yoder steals the ball for BYU!,Turnover,22,23,56,145
BYU,Michael Golden Inside shot...Missed!       Rebounded by LMU Bobby Holt.,Score,22,23,57,145
LMU,Edward White Inside shot...Score!,Score,22,25,58,145
BYU,Andrew Brettin 2-point jumper...Missed!       Rebounded by LMU Dustin Sears.,Missed,22,25,59,145
LMU,Eduard Simpson 2-point jumper...BLOCKED by Michael Golden.       Rebounded by BYU Michael Golden.,Turnover,22,25,60,145
LMU,Jeffery Meyers steals the ball for LMU!,Turnover,22,25,61,145
LMU,LMU: Offensive foul on LMU Eduard Simpson.,Turnover,22,25,62,145
BYU,Todd Bailey Inside shot...Score! Foul on the play and one!       Assisted by: Jason Pressley,Score,24,25,63,145
BYU,Free throw coming up... good!,FreeThrow,25,25,63,145
LMU,Joseph Chambliss 3-point attempt...Score!       Assisted by: Bobby Holt,Score,25,28,64,145
BYU,BYU Jamie Witt lost the ball out of bounds.,Out of Bounds,25,28,65,145
LMU,Alexandru Simmet 3-point attempt...Score!       Assisted by: Joseph Chambliss,Score,25,31,66,145
BYU,Daniel Morrell 2-point jumper...Missed!       Rebounded by LMU Bobby Holt.,Missed,25,31,67,145
LMU,Alexandru Simmet 2-point jumper...Missed!       Rebounded by BYU Todd Bailey.,Score,25,31,68,145
BYU,Todd Bailey Inside shot...Score!,Score,27,31,69,145
BYU,Andrew Brettin steals the ball for BYU!,Turnover,27,31,70,145
BYU,Jason Pressley Inside shot...Score!,Score,29,31,71,145
LMU,John Branigan 2-point jumper...Score!       Assisted by: Edward White,Score,29,33,72,145
,,HALFTIME,29,33,72,145
BYU,Josiah Matthews Inside shot...Missed!       Rebounded by BYU Harold Davey.,Score,29,33,74,145
BYU,Todd Bailey 2-point jumper...Score!,Score,31,33,75,145
LMU,Joseph Chambliss 2-point jumper...Score!       Assisted by: August Knight,Score,31,35,76,145
BYU,Alexander Marulanda Inside shot...Score!,Score,33,35,77,145
LMU,Joseph Chambliss 2-point jumper...Missed!       Rebounded by BYU Michael Golden.,Score,33,35,78,145
BYU,Todd Bailey 3-point attempt...Score!       Assisted by: Andrew Brettin,Score,36,35,79,145
LMU,Alexandru Simmet Inside shot...Missed!       Rebounded by BYU Joseph Bragdon.,Score,36,35,80,145
BYU,Josiah Matthews Inside shot...Score!,Score,38,35,81,145
LMU,Edward White Inside shot...Score!       Assisted by: August Knight,Score,38,37,82,145
BYU,Joseph Bragdon 3-point attempt...Missed!       Rebounded by BYU Joseph Bragdon.,Missed,38,37,83,145
BYU,Andrew Brettin Inside shot...Score!,Score,40,37,84,145
LMU,LMU: Offensive foul on LMU Bobby Holt.,Turnover,40,37,85,145
BYU,Shu Patel 2-point jumper...Missed!       Rebounded by LMU Alexandru Simmet.,Missed,40,37,86,145
LMU,Joseph Chambliss 2-point jumper...Missed!       Rebounded by BYU Todd Bailey.,Score,40,37,87,145
BYU,Andrew Brettin 2-point jumper...Score!,Score,42,37,88,145
LMU,Elvin Justin Inside shot...Missed!       Rebounded by BYU Jamie Witt.,Score,42,37,89,145
BYU,Andrew Brettin 3-point attempt...Missed!       Rebounded by LMU Edward White.,Miss,42,37,90,145
LMU,John Branigan Inside shot...Score!       Assisted by: Elvin Justin,Score,42,39,91,145
BYU,BYU Joseph Bragdon lost the ball out of bounds.,Out of Bounds,42,39,92,145
LMU,Bobby Holt 2-point jumper...Missed!       Rebounded by BYU Harold Davey.,Score,42,39,93,145
BYU,Jason Pressley Inside shot...Score!,Score,44,39,94,145
LMU,Eduard Simpson 2-point jumper...Missed!       Rebounded by BYU Randall Yoder.,Score,44,39,95,145
BYU,Jason Pressley 2-point jumper...Score!       Assisted by: Todd Bailey,Score,46,39,96,145
LMU,Edward White 2-point jumper...Missed!       Rebounded by LMU Dustin Sears.,Score,46,39,97,145
LMU,Bobby Holt Inside shot...Score!,Score,46,41,98,145
BYU,Michael Golden 2-point jumper...Missed!       Rebounded by LMU Edward White.,Missed,46,41,99,145
LMU,Elvin Justin 2-point jumper...Missed!       Rebounded by LMU Joseph Chambliss.,Score,46,41,100,145
LMU,Bobby Holt 3-point attempt...Missed!Rebounded by BYU Andrew Brettin.,Score,46,41,101,145
BYU,BYU Joseph Bragdon lost the ball out of bounds.,Out of Bounds,46,41,102,145
LMU,Alexandru Simmet 3-point attempt...Missed!Rebounded by BYU Alexander Marulanda.,Score,46,41,103,145
BYU,Joseph Bragdon 2-point jumper...Missed!       Rebounded by LMU Alexandru Simmet.,Missed,46,41,104,145
LMU,Dung Huey 2-point jumper...Missed!       Rebounded by BYU Shu Patel.,Score,46,41,105,145
BYU,BYU Andrew Brettin lost the ball out of bounds.,Out of Bounds,46,41,106,145
LMU,Joseph Chambliss Inside shot...BLOCKED by Michael Golden.       Rebounded by BYU Josiah Matthews.,Turnover,46,41,107,145
BYU,Andrew Brettin 3-point attempt...BLOCKED by LMU Joseph Chambliss.       Rebounded by LMU Joseph Chambliss.,Score,46,41,108,145
LMU,Bobby Holt Inside shot...Score!       Assisted by: Edward White,Score,46,43,109,145
BYU,BYU Jamie Witt lost the ball out of bounds.,Out of Bounds,46,43,110,145
BYU,Michael Golden steals the ball for BYU!,Turnover,46,43,111,145
BYU,Daniel Morrell Inside shot...Score!,Score,48,43,112,145
LMU,Bobby Holt 3-point attempt...Score!       Assisted by: John Branigan,Score,48,46,113,145
BYU,Daniel Morrell 2-point jumper...Missed!       Rebounded by LMU Joseph Chambliss.,Missed,48,46,114,145
LMU,Eduard Simpson 2-point jumper...Missed!       Rebounded by BYU Joseph Bragdon.,Score,48,46,115,145
BYU,Alexander Marulanda Inside shot...Score!,Score,50,46,116,145
LMU,LMU: Offensive foul on LMU Joseph Chambliss.,Turnover,50,46,117,145
BYU,Jamie Witt Inside shot...Score!,Score,52,46,118,145
LMU,Jerry Legagneur 2-point jumper...Score!,Score,52,48,119,145
BYU,Jamie Witt 2-point jumper...Missed!       Rebounded by BYU Jamie Witt.,Missed,52,48,120,145
BYU,Jamie Witt 2-point jumper...Missed!       Rebounded by BYU Joseph Bragdon.,Missed,52,48,121,145
BYU,Jamie Witt Inside shot...BLOCKED by LMU Eduard Simpson.       Rebounded by LMU Dustin Sears.,Turnover,52,48,122,145
LMU,Bobby Holt Inside shot... Missed but with a foul on the play.,Fouled,52,48,123,145
LMU,Free throw coming up... rattled out.,FreeThrow,52,48,123,145
LMU,Free throw coming up... good!,FreeThrow,52,49,123,145
LMU,Eduard Simpson steals the ball for LMU!,Turnover,52,49,124,145
LMU,Elvin Justin 2-point jumper...Score!,Score,52,51,125,145
BYU,Andrew Brettin 2-point jumper...Score!       Assisted by: Joseph Bragdon,Score,54,51,126,145
LMU,John Branigan 2-point jumper...Missed!       Rebounded by BYU Joseph Bragdon.,Score,54,51,127,145
BYU,BYU: Offensive foul on BYU Brendan Wright.,Foul,54,51,128,145
LMU,LMU Dustin Sears lost the ball out of bounds.,Turnover,54,51,129,145
BYU,Brendan Wright 2-point jumper...Score!,Score,56,51,130,145
BYU,Alexander Marulanda steals the ball for BYU!,Turnover,56,51,131,145
BYU,Michael Golden Inside shot...Missed!       Rebounded by LMU Bobby Holt.,Score,56,51,132,145
BYU,Joseph Bragdon steals the ball for BYU!,Turnover,56,51,133,145
BYU,Shu Patel Inside shot...Score!       Assisted by: Daniel Morrell,Score,58,51,134,145
LMU,Frederick Owens 2-point jumper...BLOCKED by Jamie Witt.       Rebounded by BYU Michael Golden.,Turnover,58,51,135,145
BYU,Alexander Marulanda 2-point jumper...Missed!       Rebounded by LMU Alexandru Simmet.,Missed,58,51,136,145
LMU,Eduard Simpson Inside shot...Score!,Score,58,53,137,145
BYU,Alexander Marulanda 2-point jumper...Missed!       Rebounded by LMU John Branigan.,Missed,58,53,138,145
LMU,Eduard Simpson Inside shot...Score!       Assisted by: Alexandru Simmet,Score,58,55,139,145
LMU,Bobby Holt steals the ball for LMU!,Turnover,58,55,140,145
LMU,John Branigan Inside shot...Missed!       Rebounded by BYU Randall Yoder.,Score,58,55,141,145
BYU,Michael Golden 2-point jumper...Score!,Score,60,55,142,145
