HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
CAL,OREG,73,78,150
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
CAL,CAL wins the tipoff!,Tipoff,0,0,0,150
CAL,Juan Hernandez Inside shot...Score!       Assisted by: Ryan Oneill,Score,2,0,1,150
OREG,Jose Green 2-point jumper...Missed!       Rebounded by OREG Donald Buford.,Score,2,0,2,150
OREG,Daniel Witherspoon 3-point attempt...Missed!Rebounded by CAL Jon Delgado.,Score,2,0,3,150
CAL,Keith Fowler 2-point jumper...Missed!       Rebounded by OREG Donald Buford.,Missed,2,0,4,150
OREG,Randy Kelley Inside shot...Score!       Assisted by: Marlon Thompson,Score,2,2,5,150
CAL,An Patel Inside shot...Score!,Score,4,2,6,150
OREG,Jospeh Adcock 2-point jumper...Missed!       Rebounded by OREG Donald Buford.,Score,4,2,7,150
OREG,Jospeh Adcock 2-point jumper...Score!,Score,4,4,8,150
CAL,Jeremy Wright 2-point jumper...Missed!       Rebounded by CAL Mickey Overby.,Missed,4,4,9,150
CAL,Ryan Oneill Inside shot... Missed with a foul on the play.,Fouled,4,4,10,150
CAL,Free throw coming up... good!,FreeThrow,5,4,10,150
CAL,Free throw coming up... good!,FreeThrow,6,4,10,150
OREG,Steven Finn Inside shot...Score!       Assisted by: Randy Kelley,Score,6,6,11,150
CAL,Jason Torres Inside shot...Score!,Score,8,6,12,150
OREG,Marlon Thompson Inside shot...Score!,Score,8,8,13,150
CAL,CAL: Offensive foul on CAL Mickey Overby.,Foul,8,8,14,150
OREG,Marlon Thompson Inside shot...Score!       Assisted by: Steven Finn,Score,8,10,15,150
CAL,CAL: Offensive foul on CAL Keith Fowler.,Foul,8,10,16,150
OREG,OREG: Offensive foul on OREG Donald Buford.,Turnover,8,10,17,150
CAL,Charles Griffin 2-point jumper...Score!,Score,10,10,18,150
OREG,Marlon Thompson Inside shot...BLOCKED by Jeremy Wright.       Rebounded by CAL Matthew Austin.,Turnover,10,10,19,150
CAL,Charles Griffin 3-point attempt...Missed!       Rebounded by OREG Donald Buford.,Miss,10,10,20,150
OREG,Randy Kelley Inside shot...Score! Fouled and we have a free throw folks!,Score,10,12,21,150
OREG,Free throw coming up... good!,FreeThrow,10,13,21,150
CAL,Jon Delgado 3-point attempt...Missed!       Rebounded by OREG Bobby Powell.,Miss,10,13,22,150
OREG,OREG: Offensive foul on OREG Donald Buford.,Turnover,10,13,23,150
CAL,Matthew Austin 2-point jumper...Score!,Score,12,13,24,150
OREG,Donald Buford Inside shot...Score!,Score,12,15,25,150
CAL,CAL: Shot clock violation on CAL Charles Griffin.,Shot Clock Violation,12,15,26,150
OREG,Heriberto Ashford 2-point jumper...Missed!       Rebounded by OREG Heriberto Ashford.,Score,12,15,27,150
OREG,Scott Montney 3-point attempt...Missed!Rebounded by CAL Charles Griffin.,Score,12,15,28,150
CAL,Matthew Austin Inside shot...Score!       Assisted by: An Patel,Score,14,15,29,150
OREG,Daniel Witherspoon 2-point jumper...Score!       Assisted by: Jospeh Adcock,Score,14,17,30,150
CAL,Jeremy Wright 3-point attempt...Missed!       Rebounded by CAL Matthew Austin.,Missed,14,17,31,150
CAL,Ryan Oneill 2-point jumper...Missed!       Rebounded by OREG Jospeh Adcock.,Missed,14,17,32,150
OREG,Randy Kelley 2-point jumper...Score!,Score,14,19,33,150
CAL,Jon Delgado Inside shot...Missed!       Rebounded by OREG Randy Kelley.,Score,14,19,34,150
OREG,Bobby Powell 2-point jumper...Missed!       Rebounded by CAL Charles Griffin.,Score,14,19,35,150
CAL,Matthew Austin 2-point jumper...Score!,Score,16,19,36,150
OREG,Randy Kelley 3-point attempt...Missed!       Rebounded by OREG Jospeh Adcock.,Score,16,19,37,150
OREG,Heriberto Ashford Inside shot...Score!,Score,16,21,38,150
CAL,Charles Griffin 2-point jumper...Score!       Assisted by: Matthew Austin,Score,18,21,39,150
OREG,Jospeh Adcock Inside shot...Score!,Score,18,23,40,150
CAL,Jeremy Wright Inside shot...Score!,Score,20,23,41,150
OREG,Donald Buford Inside shot...Score! Fouled and we have a free throw folks!,Score,20,25,42,150
OREG,Free throw coming up... good!,FreeThrow,20,26,42,150
CAL,Ryan Oneill 2-point jumper...Missed!       Rebounded by CAL Jeremy Wright.,Missed,20,26,43,150
CAL,Matthew Austin 2-point jumper...Score!,Score,22,26,44,150
CAL,Jeremy Wright steals the ball for CAL!,Turnover,22,26,46,150
CAL,Ryan Oneill 2-point jumper...Score!,Score,24,26,47,150
CAL,Matthew Austin steals the ball for CAL!,Turnover,24,26,48,150
CAL,Mickey Overby Inside shot...Score!,Score,26,26,49,150
OREG,Marlon Thompson Inside shot... Missed but with a foul on the play.,Fouled,26,26,50,150
OREG,Free throw coming up... good!,FreeThrow,26,27,50,150
OREG,Free throw coming up... good!,FreeThrow,26,28,50,150
OREG,Steven Finn steals the ball for OREG!,Turnover,26,28,51,150
OREG,Steven Finn 2-point jumper...Missed!       Rebounded by CAL Mickey Overby.,Score,26,28,52,150
