HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
CSU,HAWI,70,81,149
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
HAWI,HAWI wins the tipoff!,Tipoff,0,0,0,149
HAWI,Martin Young Inside shot... Missed but with a foul on the play.,Fouled,0,0,1,149
HAWI,Free throw coming up... good!,FreeThrow,0,1,1,149
HAWI,Free throw coming up... good!,FreeThrow,0,2,1,149
CSU,Steven Howard 3-point attempt...Score!       Assisted by: Dino Moye,Score,3,2,2,149
HAWI,Alberto Berganza Inside shot...BLOCKED by Charley Timm.       Rebounded by HAWI Jesus Rodriguez.,Turnover,3,2,3,149
HAWI,Eugene Courtney 3-point attempt...Score!       Assisted by: Michael Phillips,Score,3,5,4,149
CSU,Timothy Marquis 3-point attempt...Missed!       Rebounded by CSU Santo Eng.,Missed,3,5,5,149
CSU,Steven Howard Inside shot...Score!       Assisted by: Santo Eng,Score,5,5,6,149
HAWI,Richard Clark Inside shot...Score!       Assisted by: Michael Phillips,Score,5,7,7,149
CSU,Dino Moye Inside shot... Missed with a foul on the play.,Fouled,5,7,8,149
CSU,Free throw coming up... good!,FreeThrow,6,7,8,149
CSU,Free throw coming up... good!,FreeThrow,7,7,8,149
CSU,Santo Eng steals the ball for CSU!,Turnover,7,7,9,149
CSU,Abdul Eagler Inside shot...Score!,Score,9,7,10,149
HAWI,Daniel Wedmore 2-point jumper...Missed!       Rebounded by CSU Abdul Eagler.,Score,9,7,11,149
CSU,Steven Howard 2-point jumper...Missed!       Rebounded by HAWI Martin Young.,Missed,9,7,12,149
HAWI,Charles Eble Inside shot...Score!,Score,9,9,13,149
CSU,Charley Timm 3-point attempt...Score!       Assisted by: Steven Howard,Score,12,9,14,149
CSU,Errol Schoolfield steals the ball for CSU!,Turnover,12,9,15,149
CSU,Andre Mann Inside shot...Score!,Score,14,9,16,149
HAWI,Michael Phillips Inside shot...Score!,Score,14,11,17,149
CSU,CSU Andre Mann lost the ball out of bounds.,Out of Bounds,14,11,18,149
HAWI,Charles Eble 3-point attempt...Missed!       Rebounded by HAWI Daniel Wedmore.,Score,14,11,19,149
HAWI,Eugene Courtney 3-point attempt...Score!       Assisted by: Charles Eble,Score,14,14,20,149
CSU,Andre Mann 2-point jumper...Missed!       Rebounded by HAWI Daniel Wedmore.,Missed,14,14,21,149
