HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
DAY,VCU,59,41,147
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
DAY,DAY wins the tipoff!,Tipoff,0,0,0,147
DAY,Stephen Linton Inside shot...Score!,Score,2,0,1,147
VCU,George Felkins 3-point attempt...Missed!Rebounded by DAY James Mcclusky.,Score,2,0,2,147
VCU,Philip Washington steals the ball for VCU!,Turnover,2,0,3,147
VCU,Roy Delay 2-point jumper...BLOCKED by Brian Hartmann.       Rebounded by DAY Brandon Proudfit.,Turnover,2,0,4,147
DAY,Aaron Sally 3-point attempt...Score!       Assisted by: Jelena Weems,Score,5,0,5,147
VCU,Roy Delay 2-point jumper...Score! Foul on the play and we go to a free throw!       Assisted by: Samuel Evans,Score,5,2,6,147
VCU,Free throw coming up... rattled out.       Rebounded by DAY Brian Hartmann.,FreeThrow,5,2,6,147
DAY,Aaron Sally 2-point jumper...Missed!       Rebounded by DAY Frank Rivera.,Missed,5,2,7,147
DAY,Brian Hartmann 2-point jumper...Score!,Score,7,2,8,147
VCU,Matthew Scott Inside shot...Missed!       Rebounded by DAY Brandon Proudfit.,Score,7,2,9,147
DAY,Rosalio Rivas 2-point jumper...Missed!       Rebounded by DAY James Mcclusky.,Missed,7,2,10,147
DAY,Jelena Weems 2-point jumper...Score!,Score,9,2,11,147
VCU,Samuel Evans 2-point jumper...Score!,Score,9,4,12,147
DAY,Rosalio Rivas Inside shot...Score!,Score,11,4,13,147
VCU,Matthew Scott 2-point jumper...Missed!       Rebounded by DAY Brian Hartmann.,Score,11,4,14,147
DAY,Brandon Proudfit Inside shot...Score!,Score,13,4,15,147
VCU,Sean Roberts 2-point jumper...Missed!       Rebounded by DAY James Mcclusky.,Score,13,4,16,147
DAY,James Mcclusky Inside shot...Score!       Assisted by: Brian Hartmann,Score,15,4,17,147
VCU,Sean Roberts 3-point attempt...Missed!       Rebounded by VCU Matthew Scott.,Score,15,4,18,147
VCU,VCU: Shot clock violation on VCU George Felkins.,Turnover,15,4,19,147
