HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
DUKE,CUSE,69,68,145
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
CUSE,CUSE wins the tipoff!,Tipoff,0,0,0,145
CUSE,Stephen Liao 2-point jumper...Missed!       Rebounded by CUSE Jose Cardona.,Score,0,0,1,145
CUSE,Stephen Liao Inside shot...Score!,Score,0,2,2,145
DUKE,Edward Mack Inside shot...Score!       Assisted by: Jerry Boyle,Score,2,2,3,145
CUSE,Malgorzata Sikkink 3-point attempt...Missed!       Rebounded by CUSE Lawrence Sawyer.,Score,2,2,4,145
CUSE,Lawrence Sawyer Inside shot...Score! Fouled and we have a free throw folks!       Assisted by: Jess Urbanovsky,Score,2,4,5,145
CUSE,Free throw coming up... good!,FreeThrow,2,5,5,145
DUKE,Edward Mack Inside shot...Missed!       Rebounded by CUSE Jose Guadian.,Score,2,5,7,145
CUSE,Ken Walker 2-point jumper...Missed!       Rebounded by DUKE John Rooks.,Score,2,5,8,145
DUKE,Chris Griggs 3-point attempt...Score!       Assisted by: Jerry Boyle,Score,5,5,9,145
CUSE,Stefan Etherton 2-point jumper...Score!       Assisted by: Jose Cardona,Score,5,7,10,145
DUKE,Pablo Lopez Inside shot...Score!,Score,7,7,11,145
CUSE,Jess Urbanovsky 2-point jumper...Score!,Score,7,9,12,145
DUKE,Edward Mack Inside shot...Score!,Score,9,9,13,145
DUKE,Antonio Scott steals the ball for DUKE!,Turnover,9,9,14,145
DUKE,Erik Forth 2-point jumper...Missed!       Rebounded by DUKE Erik Forth.,Missed,9,9,15,145
DUKE,Edward Mack Inside shot...Score!,Score,11,9,16,145
CUSE,Oscar Button Inside shot...Score!,Score,11,11,17,145
DUKE,Antonio Scott Inside shot...Score!,Score,13,11,18,145
CUSE,Ken Walker 3-point attempt...Score!       Assisted by: Malgorzata Sikkink,Score,13,14,19,145
DUKE,Erik Forth 3-point attempt...Score!       Assisted by: Edward Mack,Score,16,14,20,145
CUSE,Stephen Liao 2-point jumper...Score!       Assisted by: Michael Williams,Score,16,16,21,145
DUKE,Edward Mack Inside shot...Score!       Assisted by: Jerry Boyle,Score,18,16,22,145
DUKE,Pablo Lopez steals the ball for DUKE!,Turnover,18,16,23,145
DUKE,DUKE Jerry Boyle lost the ball out of bounds.,Out of Bounds,18,16,24,145
CUSE,Jose Guadian 2-point jumper...Missed!       Rebounded by DUKE Jerry Boyle.,Score,18,16,26,145
DUKE,Erik Forth 2-point jumper...BLOCKED by CUSE Ken Walker.       Rebounded by CUSE Jose Guadian.,Turnover,18,16,27,145
CUSE,CUSE Stephen Liao lost the ball out of bounds.,Turnover,18,16,28,145
DUKE,John Rooks Inside shot...Score!       Assisted by: Jerry Boyle,Score,20,16,29,145
CUSE,Jess Urbanovsky 2-point jumper...BLOCKED by Erik Forth.       Rebounded by CUSE Stephen Liao.,Turnover,20,16,30,145
CUSE,Malgorzata Sikkink Inside shot...Score!       Assisted by: Ken Walker,Score,20,18,31,145
DUKE,Jerry Boyle 2-point jumper...Missed!       Rebounded by CUSE Jose Cardona.,Missed,20,18,32,145
CUSE,Jose Guadian 2-point jumper...Score!,Score,20,20,33,145
DUKE,John Rooks 3-point attempt...Score!       Assisted by: Antonio Scott,Score,23,20,34,145
CUSE,Ken Walker 3-point attempt...Score!       Assisted by: Malgorzata Sikkink,Score,23,23,35,145
CUSE,Stephen Liao steals the ball for CUSE!,Turnover,23,23,36,145
DUKE,Pablo Lopez steals the ball for DUKE!,Turnover,23,23,37,145
DUKE,Edward Mack Inside shot... Missed with a foul on the play.,Fouled,23,23,38,145
DUKE,Free throw coming up... good!,FreeThrow,24,23,38,145
DUKE,Free throw coming up... good!,FreeThrow,25,23,38,145
CUSE,Jose Cardona Inside shot...Score!,Score,25,25,39,145
DUKE,DUKE: Offensive foul on DUKE Antonio Scott.,Foul,25,25,40,145
CUSE,Ken Walker 2-point jumper...Score!       Assisted by: Michael Gulley,Score,25,27,41,145
CUSE,Michael Gulley steals the ball for CUSE!,Turnover,25,27,42,145
CUSE,Ken Walker 3-point attempt...Missed!Rebounded by DUKE Pablo Lopez.,Score,25,27,43,145
DUKE,Erik Forth 3-point attempt...Score!       Assisted by: Pablo Lopez,Score,28,27,44,145
CUSE,CUSE Stephen Liao lost the ball out of bounds.,Turnover,28,27,45,145
DUKE,Chris Griggs Inside shot...Score!,Score,30,27,46,145
CUSE,Lawrence Sawyer Inside shot...Score!,Score,30,29,47,145
DUKE,Bradley Yeargin 2-point jumper...BLOCKED by CUSE Stephen Liao.       Rebounded by CUSE Lawrence Sawyer.,Turnover,30,29,48,145
CUSE,Jess Urbanovsky 3-point attempt...Missed!Rebounded by DUKE John Rooks.,Score,30,29,49,145
DUKE,Pablo Lopez 2-point jumper...Missed!       Rebounded by CUSE Stephen Liao.,Missed,30,29,50,145
CUSE,Jess Urbanovsky 2-point jumper...Missed!       Rebounded by DUKE Martin Baca.,Score,30,29,51,145
DUKE,David Christian 2-point jumper...Missed!       Rebounded by CUSE Malgorzata Sikkink.,Missed,30,29,52,145
CUSE,Stephen Liao 3-point attempt...Score!,Score,30,32,53,145
DUKE,DUKE: Offensive foul on DUKE Pablo Lopez.,Foul,30,32,54,145
CUSE,Stefan Etherton Inside shot...Missed!       Rebounded by CUSE Jose Guadian.,Score,30,32,55,145
CUSE,Jose Cardona Inside shot...Score!       Assisted by: Ken Walker,Score,30,34,56,145
CUSE,Jess Urbanovsky steals the ball for CUSE!,Turnover,30,34,57,145
CUSE,Jess Urbanovsky Inside shot...Score!,Score,30,36,58,145
DUKE,Antonio Scott Inside shot...Score!,Score,32,36,59,145
CUSE,CUSE: Offensive foul on CUSE Oscar Button.,Turnover,32,36,60,145
DUKE,Pablo Lopez 2-point jumper...Missed!       Rebounded by DUKE Martin Baca.,Missed,32,36,61,145
CUSE,Ken Walker steals the ball for CUSE!,Turnover,32,36,62,145
