HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
FSU,WAKE,83,84,150
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
FSU,FSU wins the tipoff!,Tipoff,0,0,0,150
FSU,Brian Moore Inside shot...Score!,Score,2,0,1,150
WAKE,Marcos Veliz Inside shot...Score!,Score,2,2,2,150
FSU,Brian Moore Inside shot...Score!,Score,4,2,3,150
WAKE,Louis Awad 3-point attempt... Missed with a foul on the play.,Fouled,4,2,4,150
WAKE,       Free throw coming up... good!,FreeThrow,4,3,4,150
WAKE,       Free throw coming up... good!,FreeThrow,4,4,4,150
WAKE,       Free throw coming up... good!,FreeThrow,4,5,4,150
FSU,Lincoln Neals 2-point jumper...Score!,Score,6,5,5,150
FSU,David Wang steals the ball for FSU!,Turnover,6,5,6,150
FSU,David Wang Inside shot...Score!       Assisted by: Bethanne Florio,Score,8,5,7,150
WAKE,Raul Uzhca Inside shot...BLOCKED by Paul Decarvalho.       Rebounded by WAKE David Dunham.,Turnover,8,5,8,150
FSU,Bethanne Florio steals the ball for FSU!,Turnover,8,5,9,150
WAKE,Allan Dunlap steals the ball for WAKE!,Turnover,8,5,10,150
WAKE,WAKE Phu Zhang lost the ball out of bounds.,Turnover,8,5,11,150
FSU,Free throw coming up... good!,FreeThrow,9,5,12,150
FSU,Free throw coming up... rattled out.,FreeThrow,9,5,12,150
FSU,Free throw coming up... good!,FreeThrow,10,5,12,150
WAKE,Phu Zhang Inside shot...Score! Fouled and we have a free throw folks!       Assisted by: Marcos Veliz,Score,10,7,13,150
WAKE,Free throw coming up... good!,FreeThrow,10,8,13,150
FSU,Bethanne Florio Inside shot...Score! Foul on the play and one!,Score,12,8,14,150
FSU,Free throw coming up... good!,FreeThrow,13,8,14,150
WAKE,Viktor Raulerson 2-point jumper...Missed!       Rebounded by FSU Lincoln Neals.,Score,13,8,15,150
FSU,Angus Sorenson 3-point attempt...Score!       Assisted by: Brian Moore,Score,16,8,16,150
WAKE,Cody Peterson 2-point jumper...Score!,Score,16,10,17,150
FSU,FSU: Offensive foul on FSU David Wang.,Foul,16,10,19,150
WAKE,Raul Uzhca 3-point attempt...Missed!Rebounded by FSU Roy Mcclure.,Score,16,10,20,150
WAKE,Cody Peterson steals the ball for WAKE!,Turnover,16,10,21,150
WAKE,Douglas Broussard 2-point jumper...Missed!       Rebounded by FSU Angus Sorenson.,Score,16,10,22,150
FSU,Roy Mcclure 3-point attempt...Score!       Assisted by: Richard Hastings,Score,19,10,23,150
WAKE,Viktor Raulerson 3-point attempt...Missed!Rebounded by FSU Paul Decarvalho.,Score,19,10,24,150
FSU,Angus Sorenson 3-point attempt...Score!       Assisted by: Bethanne Florio,Score,22,10,25,150
WAKE,Timothy Brown 2-point jumper...Missed!       Rebounded by FSU Angus Sorenson.,Score,22,10,26,150
FSU,Paul Decarvalho 3-point attempt...Score!,Score,25,10,27,150
WAKE,Ricky Cottrell Inside shot...BLOCKED by Lincoln Neals.       Rebounded by WAKE Viktor Raulerson.,Turnover,25,10,28,150
WAKE,Douglas Broussard 2-point jumper...Missed!       Rebounded by FSU Paul Decarvalho.,Score,25,10,29,150
FSU,FSU: Offensive foul on FSU Lincoln Neals.,Foul,25,10,30,150
FSU,Bill Duncan steals the ball for FSU!,Turnover,25,10,31,150
FSU,David Wang 2-point jumper...Missed!       Rebounded by WAKE Marcos Veliz.,Missed,25,10,32,150
WAKE,Viktor Raulerson Inside shot...Score!       Assisted by: Marcos Veliz,Score,25,12,33,150
FSU,Willie Fortune Inside shot...Score!,Score,27,12,34,150
WAKE,David Dunham 2-point jumper...Missed!       Rebounded by FSU Paul Decarvalho.,Score,27,12,35,150
FSU,Bethanne Florio 3-point attempt...Score!       Assisted by: Brian Moore,Score,30,12,36,150
WAKE,Douglas Broussard 3-point attempt...Missed!       Rebounded by WAKE Ricky Cottrell.,Score,30,12,37,150
WAKE,Gregory Kirik Inside shot... Missed but with a foul on the play.,Fouled,30,12,38,150
WAKE,Free throw coming up... good!,FreeThrow,30,13,38,150
WAKE,Free throw coming up... good!,FreeThrow,30,14,38,150
