HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
FRES,UNLV,48,64,142
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
UNLV,UNLV wins the tipoff!,Tipoff,0,0,0,142
UNLV,Richard Mejia 2-point jumper...BLOCKED by Enrique Diaz.       Rebounded by UNLV Vladimir Underhill.,Turnover,0,0,1,142
UNLV,Clay Chally 3-point attempt...Score!       Assisted by: Christopher White,Score,0,3,2,142
FRES,Dennis Ferdinand 2-point jumper...Missed!       Rebounded by FRES Robert Noonan.,Missed,0,3,3,142
UNLV,Gonzalo Cervantes steals the ball for UNLV!,Turnover,0,3,4,142
FRES,Andrew Kramer steals the ball for FRES!,Turnover,0,3,5,142
FRES,Enrique Diaz Inside shot...Score!,Score,2,3,6,142
UNLV,Barry Stewart Inside shot...Score!,Score,2,5,7,142
UNLV,Barry Stewart steals the ball for UNLV!,Turnover,2,5,8,142
UNLV,Gonzalo Cervantes 3-point attempt...Score!       Assisted by: Karl Cheers,Score,2,8,9,142
FRES,Dennis Ferdinand Inside shot... Missed with a foul on the play.,Fouled,2,8,10,142
FRES,Free throw coming up... good!,FreeThrow,3,8,10,142
FRES,Free throw coming up... good!,FreeThrow,4,8,10,142
UNLV,Barry Stewart 2-point jumper...Score!,Score,4,10,12,142
FRES,Andrew Kramer 3-point attempt...Missed!       Rebounded by FRES Andrew Kramer.,Missed,4,10,13,142
FRES,Adam Turner 2-point jumper...Missed!       Rebounded by UNLV Brian Ewart.,Missed,4,10,14,142
UNLV,Karl Cheers 2-point jumper...Score!,Score,4,12,15,142
FRES,Adam Turner 2-point jumper...Missed!       Rebounded by UNLV Christopher White.,Missed,4,12,16,142
UNLV,Clay Chally 2-point jumper...Missed!       Rebounded by FRES Enrique Diaz.,Score,4,12,17,142
FRES,Robert Noonan 2-point jumper...Missed!       Rebounded by UNLV Mikhail Wolff.,Missed,4,12,18,142
UNLV,Richard Mejia 2-point jumper...Missed!       Rebounded by FRES David Hackett.,Score,4,12,19,142
FRES,FRES Robert Noonan lost the ball out of bounds.,Out of Bounds,4,12,20,142
UNLV,UNLV Christopher White lost the ball out of bounds.,Turnover,4,12,21,142
FRES,Dennis Ferdinand Inside shot...Score!,Score,6,12,22,142
UNLV,Karl Cheers 3-point attempt...Missed!Rebounded by FRES Kenneth Jenkins.,Score,6,12,23,142
FRES,FRES: Offensive foul on FRES Lawrence Jones.,Foul,6,12,24,142
UNLV,Brian Ewart 2-point jumper...Missed!       Rebounded by FRES Robert Noonan.,Score,6,12,25,142
FRES,FRES Lawrence Jones lost the ball out of bounds.,Out of Bounds,6,12,26,142
UNLV,UNLV Richard Mejia lost the ball out of bounds.,Turnover,6,12,27,142
FRES,Dennis Ferdinand 3-point attempt...Missed!       Rebounded by UNLV Vladimir Underhill.,Miss,6,12,28,142
UNLV,Mikhail Wolff 3-point attempt...Missed!Rebounded by FRES Andrew Kramer.,Score,6,12,29,142
FRES,Adam Turner Inside shot...Missed!       Rebounded by UNLV Brian Ewart.,Score,6,12,30,142
UNLV,Mikhail Wolff 2-point jumper...Missed!       Rebounded by UNLV Mikhail Wolff.,Score,6,12,31,142
UNLV,Barry Stewart Inside shot...Score!,Score,6,14,32,142
FRES,FRES Enrique Diaz lost the ball out of bounds.,Out of Bounds,6,14,33,142
UNLV,Barry Stewart Inside shot...Score!,Score,6,16,34,142
FRES,Dennis Ferdinand 3-point attempt...Missed!       Rebounded by UNLV Karl Cheers.,Miss,6,16,35,142
UNLV,Mikhail Wolff 2-point jumper...Missed!       Rebounded by UNLV Karl Cheers.,Score,6,16,36,142
UNLV,Mikhail Wolff 3-point attempt...Score!       Assisted by: Karl Cheers,Score,6,19,37,142
FRES,Lawrence Jones Inside shot...Score!,Score,8,19,38,142
UNLV,Ted Trybus Inside shot...Score!,Score,8,21,39,142
FRES,Robert Noonan Inside shot...Score!       Assisted by: Dennis Ferdinand,Score,10,21,40,142
UNLV,Karl Cheers 2-point jumper...Missed!       Rebounded by FRES David Glavan.,Score,10,21,41,142
FRES,Jason Witucki Inside shot...BLOCKED by UNLV Richard Mejia.       Rebounded by UNLV Richard Mejia.,Turnover,10,21,42,142
UNLV,Barry Stewart Inside shot...Score!,Score,10,23,43,142
FRES,Robert Noonan 2-point jumper...Missed!       Rebounded by FRES Adam Turner.,Missed,10,23,44,142
FRES,Lawrence Jones Inside shot...Score! Foul on the play and one!,Score,12,23,45,142
FRES,Free throw coming up... good!,FreeThrow,13,23,45,142
UNLV,Barry Stewart 2-point jumper...Score!,Score,13,25,46,142
FRES,Robert Maguire 3-point attempt...Missed!       Rebounded by UNLV Richard Mejia.,Miss,13,25,47,142
UNLV,Vladimir Underhill Inside shot...Score!,Score,13,27,48,142
FRES,Robert Noonan 3-point attempt...Score!       Assisted by: Lawrence Jones,Score,16,27,49,142
UNLV,Brian Ewart 3-point attempt...Missed!       Rebounded by UNLV Richard Mejia.,Score,16,27,50,142
UNLV,Richard Mejia 2-point jumper...Missed!       Rebounded by FRES Dennis Ferdinand.,Score,16,27,51,142
FRES,Robert Noonan Inside shot...Missed!       Rebounded by FRES Wende Hoover.,Score,16,27,52,142
FRES,Wende Hoover 3-point attempt...Missed!       Rebounded by UNLV Karl Cheers.,Miss,16,27,53,142
UNLV,Mikhail Wolff Inside shot...Score!,Score,16,29,54,142
FRES,Andrew Kramer 3-point attempt...Score!       Assisted by: Robert Noonan,Score,19,29,55,142
UNLV,Vladimir Underhill Inside shot...Score!       Assisted by: Barry Stewart,Score,19,31,56,142
FRES,Dennis Ferdinand 3-point attempt...Missed!       Rebounded by FRES Enrique Diaz.,Missed,19,31,57,142
FRES,FRES Lawrence Jones lost the ball out of bounds.,Out of Bounds,19,31,58,142
UNLV,Mikhail Wolff Inside shot... Missed but with a foul on the play.,Fouled,19,31,59,142
UNLV,Free throw coming up... good!,FreeThrow,19,32,59,142
UNLV,Free throw coming up... rattled out.       Rebounded by FRES Robert Noonan.,FreeThrow,19,32,59,142
FRES,Adam Turner 2-point jumper...Score!,Score,21,32,60,142
UNLV,Christopher White 2-point jumper...Missed!       Rebounded by UNLV Karl Cheers.,Score,21,32,61,142
UNLV,Barry Stewart Inside shot...Score!       Assisted by: Christopher White,Score,21,34,62,142
UNLV,Barry Stewart steals the ball for UNLV!,Turnover,21,34,63,142
FRES,Lawrence Jones steals the ball for FRES!,Turnover,21,34,64,142
FRES,Enrique Diaz 2-point jumper...Score!       Assisted by: Lawrence Jones,Score,23,34,65,142
UNLV,Vladimir Underhill 2-point jumper...Missed!       Rebounded by UNLV Barry Stewart.,Score,23,34,67,142
UNLV,Richard Mejia Inside shot...Score!,Score,23,36,68,142
FRES,FRES Lawrence Jones lost the ball out of bounds.,Out of Bounds,23,36,69,142
UNLV,Vladimir Underhill 2-point jumper...Score!,Score,23,38,70,142
FRES,Enrique Diaz Inside shot...Score!,Score,25,38,71,142
,,HALFTIME,25,38,71,142
UNLV,Barry Stewart 2-point jumper...Missed!       Rebounded by FRES Andrew Kramer.,Score,25,38,72,142
FRES,Lawrence Jones 2-point jumper...Score!,Score,27,38,73,142
UNLV,Christopher White Inside shot...Score!,Score,27,40,74,142
FRES,Jason Witucki 2-point jumper...Missed!       Rebounded by FRES Robert Noonan.,Missed,27,40,75,142
FRES,FRES: Offensive foul on FRES Dennis Ferdinand.,Foul,27,40,76,142
UNLV,Brian Ewart Inside shot... Missed but with a foul on the play.,Fouled,27,40,77,142
UNLV,Free throw coming up... good!,FreeThrow,27,41,77,142
UNLV,Free throw coming up... good!,FreeThrow,27,42,77,142
FRES,Enrique Diaz 2-point jumper...Score!       Assisted by: Jason Witucki,Score,29,42,78,142
FRES,Adam Turner steals the ball for FRES!,Turnover,29,42,79,142
FRES,Enrique Diaz 3-point attempt...Missed!       Rebounded by UNLV Mikhail Wolff.,Miss,29,42,80,142
FRES,Enrique Diaz steals the ball for FRES!,Turnover,29,42,81,142
FRES,Robert Noonan Inside shot...Score!       Assisted by: Andrew Kramer,Score,31,42,82,142
UNLV,Barry Stewart 2-point jumper...Missed!       Rebounded by UNLV Richard Mejia.,Score,31,42,83,142
UNLV,Richard Mejia 3-point attempt...Missed!Rebounded by FRES Robert Noonan.,Score,31,42,84,142
FRES,FRES Robert Maguire lost the ball out of bounds.,Out of Bounds,31,42,85,142
UNLV,UNLV: Offensive foul on UNLV Vladimir Underhill.,Turnover,31,42,86,142
FRES,FRES: Offensive foul on FRES Lawrence Jones.,Foul,31,42,87,142
UNLV,Barry Stewart 2-point jumper...Missed!       Rebounded by FRES Adam Turner.,Score,31,42,89,142
FRES,Robert Noonan 2-point jumper...Missed!       Rebounded by FRES Jason Witucki.,Missed,31,42,90,142
FRES,Enrique Diaz 2-point jumper...Missed!       Rebounded by UNLV Richard Mejia.,Missed,31,42,91,142
UNLV,Christopher White 2-point jumper...Missed!       Rebounded by UNLV Mikhail Wolff.,Score,31,42,92,142
UNLV,Mikhail Wolff Inside shot...Score!,Score,31,44,93,142
FRES,David Hackett Inside shot... Missed with a foul on the play.,Fouled,31,44,94,142
FRES,Free throw coming up... good!,FreeThrow,32,44,94,142
FRES,Free throw coming up... good!,FreeThrow,33,44,94,142
UNLV,Vladimir Underhill 2-point jumper...Missed!       Rebounded by FRES Dennis Ferdinand.,Score,33,44,95,142
FRES,Dennis Ferdinand 3-point attempt...Score!       Assisted by: David Hackett,Score,36,44,96,142
UNLV,UNLV Gonzalo Cervantes lost the ball out of bounds.,Turnover,36,44,97,142
FRES,Adam Turner 3-point attempt...Missed!       Rebounded by UNLV Vladimir Underhill.,Miss,36,44,98,142
FRES,Andrew Kramer steals the ball for FRES!,Turnover,36,44,100,142
FRES,Lawrence Jones 2-point jumper...Missed!       Rebounded by UNLV Gonzalo Cervantes.,Missed,36,44,101,142
