HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
GASO,FGCU,77,71,143
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
FGCU,FGCU wins the tipoff!,Tipoff,0,0,0,143
FGCU,Frances Daly 2-point jumper...Missed!       Rebounded by GASO Danny Lemaster.,Score,0,0,1,143
GASO,GASO: Offensive foul on GASO Randall Bingenheimer.,Foul,0,0,2,143
FGCU,Humberto Taber Inside shot...Score!,Score,0,2,3,143
GASO,Brian Kilpatrick Inside shot...Score!,Score,2,2,4,143
FGCU,Rusty Tobias Inside shot...Score!       Assisted by: Daniel Currie,Score,2,4,5,143
GASO,Lloyd Williams Inside shot...Score! Foul on the play and one!,Score,4,4,6,143
GASO,Free throw coming up... good!,FreeThrow,5,4,6,143
FGCU,Marlin Richard Inside shot...Score!,Score,5,6,7,143
GASO,Clarence Buckley Inside shot...Score!       Assisted by: Eugene Schlueter,Score,7,6,8,143
FGCU,Daniel Currie 3-point attempt...Missed!Rebounded by GASO Randall Bingenheimer.,Score,7,6,9,143
FGCU,Brian Pye steals the ball for FGCU!,Turnover,7,6,10,143
FGCU,Jason Anderson 2-point jumper...Missed!       Rebounded by GASO Eugene Schlueter.,Score,7,6,11,143
GASO,Brian Kilpatrick Inside shot...Score!,Score,9,6,12,143
FGCU,Rusty Tobias Inside shot...Score!,Score,9,8,13,143
GASO,Brian Kilpatrick 3-point attempt...Score!       Assisted by: Danny Lemaster,Score,12,8,14,143
GASO,Lloyd Williams steals the ball for GASO!,Turnover,12,8,15,143
GASO,Randall Bingenheimer Inside shot...Score!,Score,14,8,16,143
FGCU,Humberto Taber Inside shot...Score!       Assisted by: Rusty Tobias,Score,14,10,17,143
GASO,Eric Oliveira 2-point jumper... Missed with a foul on the play.,Turnover,14,10,18,143
GASO,Eric Oliveira 2-point jumper... Missed with a foul on the play.,FreeThrow,15,10,18,143
GASO,       Free throw coming up... rattled out.       Rebounded by FGCU Ollie Garber.,Turnover,15,10,18,143
FGCU,FGCU Daniel Currie lost the ball out of bounds.,Turnover,15,10,19,143
GASO,Danny Lemaster 2-point jumper...Missed!       Rebounded by FGCU Ollie Garber.,Missed,15,10,20,143
GASO,Lloyd Williams steals the ball for GASO!,Turnover,15,10,21,143
GASO,Brian Kilpatrick 2-point jumper...Score!       Assisted by: Eric Oliveira,Score,17,10,22,143
FGCU,Jason Anderson 2-point jumper...Missed!       Rebounded by FGCU Jason Anderson.,Score,17,10,24,143
FGCU,Humberto Taber 3-point attempt...Score!       Assisted by: Jason Anderson,Score,17,13,25,143
GASO,Lloyd Williams 2-point jumper...Missed!       Rebounded by GASO Eugene Schlueter.,Missed,17,13,26,143
GASO,Eugene Schlueter Inside shot...BLOCKED by FGCU Daniel Currie.       Rebounded by GASO Randall Bingenheimer.,Turnover,17,13,27,143
GASO,Henry Blazier 2-point jumper...Missed!       Rebounded by FGCU Jason Anderson.,Missed,17,13,28,143
FGCU,Rusty Tobias 2-point jumper...Missed!       Rebounded by FGCU Ollie Garber.,Score,17,13,29,143
GASO,Eugene Schlueter steals the ball for GASO!,Turnover,17,13,30,143
GASO,GASO: Offensive foul on GASO Lloyd Williams.,Foul,17,13,31,143
FGCU,Humberto Taber 3-point attempt...Score!       Assisted by: Ollie Garber,Score,17,16,32,143
GASO,Danny Lemaster 2-point jumper...Score!,Score,19,16,33,143
FGCU,Jason Anderson 2-point jumper...Missed!       Rebounded by GASO Eugene Schlueter.,Score,19,16,34,143
GASO,Clarence Buckley Inside shot...Score!,Score,21,16,35,143
FGCU,Ollie Garber 2-point jumper...Score!,Score,21,18,36,143
GASO,Randall Bingenheimer Inside shot...Score!       Assisted by: Brian Kilpatrick,Score,23,18,37,143
FGCU,Daniel Currie 3-point attempt...Missed!Rebounded by GASO Austin Erman.,Score,23,18,38,143
GASO,Gary Watkins 2-point jumper...Missed!       Rebounded by FGCU Brian Pye.,Missed,23,18,39,143
FGCU,Jasper Milam Inside shot...BLOCKED by Lloyd Williams.       Rebounded by FGCU Humberto Taber.,Turnover,23,18,40,143
FGCU,Brian Pye Inside shot...Score!,Score,23,20,41,143
GASO,Brian Kilpatrick 3-point attempt...Score!       Assisted by: Randall Bingenheimer,Score,26,20,42,143
FGCU,Willy Overby Inside shot...Score!,Score,26,22,43,143
GASO,Eric Oliveira Inside shot...Score!,Score,28,22,44,143
FGCU,Brian Pye 2-point jumper...Missed!       Rebounded by GASO Clarence Buckley.,Score,28,22,45,143
FGCU,Humberto Taber steals the ball for FGCU!,Turnover,28,22,46,143
FGCU,Daniel Currie Inside shot... Missed but with a foul on the play.,Fouled,28,22,47,143
FGCU,Free throw coming up... good!,FreeThrow,28,23,47,143
FGCU,Free throw coming up... rattled out.       Rebounded by GASO Randall Bingenheimer.,FreeThrow,28,23,47,143
GASO,Brian Kilpatrick Inside shot...Score!       Assisted by: Clarence Buckley,Score,30,23,48,143
FGCU,Jason Anderson Inside shot...Score!,Score,30,25,49,143
GASO,Lloyd Williams 3-point attempt...Missed!       Rebounded by FGCU Rusty Tobias.,Miss,30,25,50,143
FGCU,Daniel Currie 2-point jumper...Missed!       Rebounded by GASO Clarence Buckley.,Score,30,25,52,143
GASO,Brian Kilpatrick 3-point attempt...Missed!       Rebounded by FGCU Brian Pye.,Miss,30,25,53,143
FGCU,Brian Pye Inside shot...Score!,Score,30,27,54,143
