HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
GT,GW,59,76,144
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
GW,GW wins the tipoff!,Tipoff,0,0,0,144
GW,Hanh Lee 2-point jumper...Missed!       Rebounded by GW Steven Oxford.,Score,0,0,1,144
GW,Steven Oxford 2-point jumper...Missed!       Rebounded by GT Jacob Wright.,Score,0,0,2,144
GW,James Major steals the ball for GW!,Turnover,0,0,3,144
GW,Hanh Lee 2-point jumper...Score!       Assisted by: James Major,Score,0,2,4,144
GT,Billy Richardson Inside shot...Missed!       Rebounded by GT Ming Sebastian.,Score,0,2,5,144
GT,Ronald Morgans Inside shot...BLOCKED by GW Carl Foster.       Rebounded by GT David Schroeder.,Turnover,0,2,6,144
GT,Ming Sebastian 2-point jumper...Score!       Assisted by: Chun Wan,Score,2,2,7,144
GW,Hanh Lee Inside shot...Missed!       Rebounded by GT Ming Sebastian.,Score,2,2,8,144
GT,Billy Richardson 2-point jumper...Missed!       Rebounded by GT David Schroeder.,Missed,2,2,9,144
GT,Johnny Tomas Inside shot...Missed!       Rebounded by GW Steven Oxford.,Score,2,2,10,144
GW,Sergio Mares Inside shot...Score! Fouled and we have a free throw folks!       Assisted by: Richard Kennedy,Score,2,4,11,144
GW,Free throw coming up... good!,FreeThrow,2,5,11,144
GT,Billy Richardson Inside shot...Score!,Score,4,5,12,144
GW,Sergio Mares 2-point jumper...Score!,Score,4,7,13,144
GT,Ronald Morgans 3-point attempt...Score!       Assisted by: David Schroeder,Score,7,7,14,144
GW,James Major Inside shot...Score!       Assisted by: Sergio Mares,Score,7,9,15,144
GT,Ronald Morgans 3-point attempt...Score!       Assisted by: Ming Sebastian,Score,10,9,16,144
GW,Jessie Lopez 2-point jumper...Missed!       Rebounded by GT Chun Wan.,Score,10,9,17,144
GT,Richard Almeida 2-point jumper...Score!,Score,12,9,18,144
GW,Michael Mccrea Inside shot...Score! Fouled and we have a free throw folks!       Assisted by: James Major,Score,12,11,19,144
GW,Free throw coming up... good!,FreeThrow,12,12,19,144
GT,Ronald Morgans 2-point jumper...Missed!       Rebounded by GW Steven Oxford.,Missed,12,12,20,144
GW,Richard Kennedy 3-point attempt...Score!,Score,12,15,21,144
GT,GT John Larock lost the ball out of bounds.,Out of Bounds,12,15,22,144
GW,Hanh Lee Inside shot...Score!,Score,12,17,23,144
GT,Richard Almeida 2-point jumper...Missed!       Rebounded by GW Steven Oxford.,Missed,12,17,24,144
GW,Ralph Ramos Inside shot...Score!,Score,12,19,25,144
GT,Ronald Morgans Inside shot...Score!,Score,14,19,26,144
GW,Carl Foster Inside shot...Score!,Score,14,21,27,144
GT,Chun Wan Inside shot...Missed!       Rebounded by GW Steven Oxford.,Score,14,21,28,144
GT,Chun Wan steals the ball for GT!,Turnover,14,21,29,144
GT,GT Richard Almeida lost the ball out of bounds.,Out of Bounds,14,21,30,144
GW,Stephen Minichino Inside shot... Missed but with a foul on the play.,Fouled,14,21,31,144
GW,Free throw coming up... rattled out.,FreeThrow,14,21,31,144
GW,Free throw coming up... good!,FreeThrow,14,22,31,144
GT,Ronald Morgans 2-point jumper...Missed!       Rebounded by GW Michael Mccrea.,Missed,14,22,32,144
GW,Hanh Lee 2-point jumper...Missed!       Rebounded by GT Billy Richardson.,Score,14,22,33,144
GT,Chun Wan 3-point attempt...Missed!       Rebounded by GW Michael Mccrea.,Miss,14,22,34,144
GW,Steven Oxford Inside shot...Score! Fouled and we have a free throw folks!,Score,14,24,35,144
GW,Free throw coming up... good!,FreeThrow,14,25,35,144
GT,Robert Corbin 2-point jumper...Missed!       Rebounded by GW Steven Oxford.,Missed,14,25,36,144
GW,James Major Inside shot... Missed but with a foul on the play.,Fouled,14,25,37,144
GW,Free throw coming up... rattled out.,FreeThrow,14,25,37,144
GW,Free throw coming up... good!,FreeThrow,14,26,37,144
GT,Billy Richardson 3-point attempt...Missed!       Rebounded by GW Steven Oxford.,Miss,14,26,38,144
GW,Hanh Lee Inside shot...Score!       Assisted by: Richard Kennedy,Score,14,28,39,144
GT,GT: Offensive foul on GT David Schroeder.,Foul,14,28,40,144
GW,Michael Mccrea Inside shot...Score!       Assisted by: Carl Foster,Score,14,30,41,144
GT,Richard Almeida 3-point attempt...Score!       Assisted by: Andrew Alster,Score,17,30,42,144
GW,Richard Kennedy Inside shot...Score!       Assisted by: Sergio Mares,Score,17,32,43,144
GT,Billy Richardson Inside shot...Score!,Score,19,32,44,144
GW,Kent Kinstler Inside shot...Score!       Assisted by: Hanh Lee,Score,19,34,45,144
GT,GT Johnny Tomas lost the ball out of bounds.,Out of Bounds,19,34,46,144
GW,Kent Kinstler 2-point jumper...Missed!       Rebounded by GT John Larock.,Score,19,34,47,144
GT,Billy Richardson Inside shot... Missed with a foul on the play.,Fouled,19,34,48,144
GT,Free throw coming up... good!,FreeThrow,20,34,48,144
GW,James Major Inside shot...Score!,Score,20,36,49,144
GT,Matthew Copley 2-point jumper...BLOCKED by GW Steven Oxford.       Rebounded by GW Michael Mccrea.,Turnover,20,36,50,144
GW,Richard Kennedy Inside shot...Score!       Assisted by: Darryl Vance,Score,20,38,51,144
GT,Billy Richardson 3-point attempt...Score!       Assisted by: Richard Almeida,Score,23,38,52,144
GT,John Larock steals the ball for GT!,Turnover,23,38,53,144
GT,Richard Almeida Inside shot...Missed!       Rebounded by GW Michael Mccrea.,Score,23,38,54,144
GW,Sergio Mares Inside shot... Missed but with a foul on the play.,Fouled,23,38,55,144
GW,Free throw coming up... good!,FreeThrow,23,39,55,144
GW,Free throw coming up... good!,FreeThrow,23,40,55,144
GT,Chun Wan 3-point attempt...Score!       Assisted by: Ronald Morgans,Score,26,40,56,144
GT,Chun Wan steals the ball for GT!,Turnover,26,40,57,144
GT,David Schroeder Inside shot...Score!       Assisted by: Aaron Felix,Score,28,40,58,144
GW,Hanh Lee Inside shot...Score!       Assisted by: Carl Foster,Score,28,42,59,144
GT,Aaron Felix 3-point attempt...Missed!       Rebounded by GT Ming Sebastian.,Missed,28,42,60,144
GT,Ming Sebastian 2-point jumper...Score!,Score,30,42,61,144
GW,Carl Foster 2-point jumper...Score!,Score,30,44,62,144
GT,Billy Richardson Inside shot...Score!       Assisted by: Chun Wan,Score,32,44,63,144
GW,Sergio Mares 2-point jumper...Missed!       Rebounded by GT Billy Richardson.,Score,32,44,64,144
GT,Jacob Wright Inside shot...BLOCKED by GW Michael Mccrea.       Rebounded by GW Stephen Minichino.,Turnover,32,44,65,144
GW,Michael Mccrea Inside shot...BLOCKED by Chun Wan.       Rebounded by GW Steven Oxford.,Turnover,32,44,66,144
GW,GW: Shot clock violation on GW Michael Mccrea.,Turnover,32,44,67,144
GW,Steven Oxford steals the ball for GW!,Turnover,32,44,68,144
GW,Sergio Mares 2-point jumper...Missed!       Rebounded by GT Billy Richardson.,Score,32,44,69,144
GT,GT: Offensive foul on GT Ronald Morgans.,Foul,32,44,70,144
GW,Hanh Lee 2-point jumper...Missed!       Rebounded by GT Ronald Morgans.,Score,32,44,71,144
GT,Ronald Morgans Inside shot...Score! Foul on the play and one!,Score,34,44,72,144
GT,Free throw coming up... good!,FreeThrow,35,44,72,144
,,HALFTIME,35,44,72,144
GW,Sergio Mares 2-point jumper...Score!       Assisted by: James Major,Score,35,46,73,144
GT,GT Richard Almeida lost the ball out of bounds.,Out of Bounds,35,46,74,144
GW,GW Michael Mccrea lost the ball out of bounds.,Turnover,35,46,75,144
GT,Ronald Morgans 3-point attempt...Missed!       Rebounded by GW Steven Oxford.,Miss,35,46,76,144
GW,Michael Mccrea 2-point jumper...Missed!       Rebounded by GW Michael Mccrea.,Score,35,46,77,144
GW,Sergio Mares 2-point jumper...Missed!       Rebounded by GT Ronald Morgans.,Score,35,46,78,144
GT,Richard Almeida Inside shot...Missed!       Rebounded by GT Ronald Morgans.,Score,35,46,79,144
GT,Richard Almeida 3-point attempt...Missed!       Rebounded by GW Harry Kuranda.,Miss,35,46,80,144
GW,Steven Oxford 2-point jumper...Missed!       Rebounded by GT Billy Richardson.,Score,35,46,81,144
GT,Chun Wan 3-point attempt...Score!       Assisted by: Richard Almeida,Score,38,46,82,144
GW,Harry Kuranda Inside shot...Score!       Assisted by: Sergio Mares,Score,38,48,83,144
GT,Matthew Copley Inside shot...Missed!       Rebounded by GW Hanh Lee.,Score,38,48,84,144
GW,Michael Mccrea 2-point jumper...Missed!       Rebounded by GT Billy Richardson.,Score,38,48,85,144
GT,GT Ronald Morgans lost the ball out of bounds.,Out of Bounds,38,48,86,144
GW,Michael Mccrea Inside shot... Missed but with a foul on the play.,Fouled,38,48,87,144
GW,Free throw coming up... rattled out.,FreeThrow,38,48,87,144
GW,Free throw coming up... good!,FreeThrow,38,49,87,144
GT,David Schroeder 3-point attempt...Missed!       Rebounded by GT David Schroeder.,Missed,38,49,88,144
GT,GT: Offensive foul on GT Robert Corbin.,Foul,38,49,89,144
GW,Richard Kennedy 2-point jumper...Missed!       Rebounded by GT Ming Sebastian.,Score,38,49,90,144
GT,Matthew Copley 3-point attempt...Missed!       Rebounded by GW Michael Mccrea.,Miss,38,49,91,144
GW,Michael Mccrea Inside shot...BLOCKED by Ming Sebastian.       Rebounded by GW Stephen Minichino.,Turnover,38,49,92,144
GW,Richard Kennedy Inside shot...Score!,Score,38,51,93,144
GT,Chun Wan 2-point jumper...Score!,Score,40,51,94,144
GW,James Major Inside shot...Score! Fouled and we have a free throw folks!,Score,40,53,95,144
GW,Free throw coming up... good!,FreeThrow,40,54,95,144
GT,Aaron Felix Inside shot...BLOCKED by GW Sergio Mares.       Rebounded by GT Ming Sebastian.,Turnover,40,54,96,144
GT,Matthew Copley 2-point jumper... Missed with a foul on the play.,Turnover,40,54,98,144
GT,Matthew Copley 2-point jumper... Missed with a foul on the play.,FreeThrow,41,54,98,144
GT,       Free throw coming up... rattled out.       Rebounded by GW James Major.,Turnover,41,54,98,144
GW,Carl Foster Inside shot...Score!       Assisted by: Sergio Mares,Score,41,56,99,144
GT,Ronald Morgans Inside shot...Score!,Score,43,56,100,144
GT,John Larock steals the ball for GT!,Turnover,43,56,101,144
GT,Aaron Felix Inside shot...Score!       Assisted by: Richard Almeida,Score,45,56,102,144
GW,Jessie Lopez Inside shot...Score!,Score,45,58,103,144
GT,John Larock Inside shot...Score!,Score,47,58,104,144
GW,GW: Offensive foul on GW Sergio Mares.,Turnover,47,58,105,144
GT,David Schroeder Inside shot...Score!,Score,49,58,106,144
GW,Kent Kinstler Inside shot...Score!       Assisted by: Sergio Mares,Score,49,60,107,144
GW,Steven Oxford steals the ball for GW!,Turnover,49,60,108,144
GW,Sergio Mares 2-point jumper...Missed!       Rebounded by GT David Schroeder.,Score,49,60,109,144
GT,John Larock 3-point attempt...Missed!       Rebounded by GW Kent Kinstler.,Miss,49,60,110,144
GT,Ming Sebastian steals the ball for GT!,Turnover,49,60,111,144
GW,Ralph Ramos steals the ball for GW!,Turnover,49,60,112,144
GW,Michael Mccrea Inside shot...Score!,Score,49,62,113,144
GT,John Larock 2-point jumper...Score!,Score,51,62,114,144
GW,GW James Major lost the ball out of bounds.,Turnover,51,62,115,144
GT,Jacob Wright 3-point attempt...Missed!       Rebounded by GT Billy Richardson.,Missed,51,62,116,144
GW,Steven Oxford steals the ball for GW!,Turnover,51,62,117,144
GW,Ralph Ramos Inside shot...Score!,Score,51,64,118,144
GT,Billy Richardson Inside shot...Score!       Assisted by: Richard Almeida,Score,53,64,119,144
GW,Steven Oxford 3-point attempt...Missed!Rebounded by GT Aaron Felix.,Score,53,64,120,144
GT,Robert Corbin 2-point jumper...Missed!       Rebounded by GW Carl Foster.,Missed,53,64,121,144
GW,GW: Offensive foul on GW Steven Oxford.,Turnover,53,64,122,144
GT,Andrew Alster 2-point jumper...Score!,Score,55,64,123,144
GW,Steven Oxford Inside shot...BLOCKED by Chun Wan.       Rebounded by GT Billy Richardson.,Turnover,55,64,124,144
GT,Ronald Morgans 2-point jumper...Missed!       Rebounded by GT David Schroeder.,Missed,55,64,125,144
GT,Aaron Felix 3-point attempt...Missed!       Rebounded by GW Jessie Lopez.,Miss,55,64,126,144
GW,Sergio Mares 3-point attempt... Missed with a foul on the play.,Fouled,55,64,127,144
GW,       Free throw coming up... good!,FreeThrow,55,65,127,144
GW,       Free throw coming up... good!,FreeThrow,55,66,127,144
GW,       Free throw coming up... good!,FreeThrow,55,67,127,144
GT,Andrew Alster 2-point jumper...Missed!       Rebounded by GT Ronald Morgans.,Missed,55,67,128,144
GT,David Schroeder 3-point attempt...Missed!       Rebounded by GW Richard Kennedy.,Miss,55,67,129,144
GW,Steven Oxford 3-point attempt...Missed!Rebounded by GT Chun Wan.,Score,55,67,130,144
GT,Chun Wan 3-point attempt...Score! Fouled on the play... and one!       Assisted by: Richard Almeida,Score,58,67,131,144
GT,Free throw coming up... good!,FreeThrow,59,67,131,144
GW,Sergio Mares 3-point attempt...Score!,Score,59,70,132,144
GT,GT: Offensive foul on GT Billy Richardson.,Foul,59,70,133,144
GT,Jacob Wright steals the ball for GT!,Turnover,59,70,134,144
GT,Billy Richardson Inside shot... Missed with a foul on the play.,Fouled,59,70,135,144
GT,Free throw coming up... rattled out.       Rebounded by GW Michael Mccrea.,FreeThrow,59,70,135,144
GW,Sergio Mares 2-point jumper...Missed!       Rebounded by GW Michael Mccrea.,Score,59,70,136,144
GW,Kent Kinstler Inside shot...Score!,Score,59,72,137,144
GT,Chun Wan Inside shot...BLOCKED by GW Darryl Vance.       Rebounded by GW Michael Mccrea.,Turnover,59,72,138,144
GW,Stephen Minichino 2-point jumper...Missed!       Rebounded by GT David Schroeder.,Score,59,72,139,144
GT,Matthew Copley 2-point jumper...Missed!       Rebounded by GT Ming Sebastian.,Missed,59,72,140,144
GT,Andrew Alster 2-point jumper...Missed!       Rebounded by GW Sergio Mares.,Missed,59,72,141,144
GW,Hanh Lee Inside shot...Score!       Assisted by: Richard Kennedy,Score,59,74,142,144
GT,Jacob Wright Inside shot...Missed!       Rebounded by GW Steven Oxford.,Score,59,74,143,144
GW,Darryl Vance Inside shot...Score!       Assisted by: Richard Kennedy,Score,59,76,144,144
GT,Billy Richardson 2-point jumper...Missed!       Rebounded by GW Michael Mccrea.,Missed,59,76,145,144
,Match Complete,FinalScore,59,76,145,144
