HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
ILLI,MICH,66,75,141
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
ILLI,ILLI wins the tipoff!,Tipoff,0,0,0,141
ILLI,Eric Noble 2-point jumper...BLOCKED by MICH Richard Wiggins.       Rebounded by MICH David Larson.,Turnover,0,0,1,141
MICH,Murat Brooks 2-point jumper...Missed!       Rebounded by MICH Barry Clark.,Score,0,0,2,141
MICH,Emil Krause Inside shot... Missed but with a foul on the play.,Fouled,0,0,3,141
MICH,Free throw coming up... rattled out.,FreeThrow,0,0,3,141
MICH,Free throw coming up... rattled out.       Rebounded by MICH Barry Clark.,FreeThrow,0,0,3,141
MICH,MICH William Betsey lost the ball out of bounds.,Turnover,0,0,4,141
ILLI,Nicholas Frericks 3-point attempt...Missed!       Rebounded by ILLI Michael Cummings.,Missed,0,0,5,141
ILLI,Nicholas Frericks Inside shot...Missed!       Rebounded by MICH Emil Krause.,Score,0,0,6,141
MICH,William Betsey 2-point jumper...BLOCKED by Nicholas Frericks.       Rebounded by MICH David Larson.,Turnover,0,0,7,141
MICH,Richard Romero 3-point attempt...Missed!Rebounded by ILLI Christopher Toscano.,Score,0,0,8,141
ILLI,Jian Lin 3-point attempt...Score!,Score,3,0,9,141
MICH,MICH Murat Brooks lost the ball out of bounds.,Turnover,3,0,10,141
ILLI,Arthur Steavens 3-point attempt...Missed!       Rebounded by MICH Vance Bradley.,Miss,3,0,11,141
MICH,Barry Clark Inside shot... Missed but with a foul on the play.,Fouled,3,0,12,141
MICH,Free throw coming up... good!,FreeThrow,3,1,12,141
MICH,Free throw coming up... good!,FreeThrow,3,2,12,141
ILLI,Arthur Steavens 2-point jumper...Score!,Score,5,2,13,141
MICH,Fred Mcguire 2-point jumper...Score!,Score,5,4,14,141
ILLI,Nicholas Frericks Inside shot...Score!,Score,7,4,15,141
MICH,MICH Vance Bradley lost the ball out of bounds.,Turnover,7,4,16,141
ILLI,Xiang Bigler Inside shot...Score!,Score,9,4,17,141
MICH,Richard Romero 3-point attempt...Missed!       Rebounded by MICH Rupert Xu.,Score,9,4,18,141
MICH,Fred Mcguire 2-point jumper...Missed!       Rebounded by ILLI Xiang Bigler.,Score,9,4,19,141
ILLI,Wade Noji Inside shot... Missed with a foul on the play.,Fouled,9,4,20,141
ILLI,Free throw coming up... good!,FreeThrow,10,4,20,141
ILLI,Free throw coming up... good!,FreeThrow,11,4,20,141
