HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
IND,OHST,85,63,160
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
OHST,OHST wins the tipoff!,Tipoff,0,0,0,160
OHST,Scott Hostetter 2-point jumper...Score!,Score,0,2,1,160
IND,Larry Peterson 2-point jumper...Score!,Score,2,2,2,160
OHST,Thomas Ludwig 2-point jumper...Missed!       Rebounded by IND Timothy Belcher.,Score,2,2,3,160
OHST,Rodolfo Ramos steals the ball for OHST!,Turnover,2,2,4,160
OHST,Michael Beck Inside shot...Score!,Score,2,4,5,160
IND,Sergio Calderon Inside shot...Missed!       Rebounded by OHST Philip Johnson.,Score,2,4,6,160
OHST,Michael Beck 3-point attempt...Missed!Rebounded by IND Thanh Kim.,Score,2,4,7,160
IND,Timothy Belcher Inside shot...Score!,Score,4,4,8,160
IND,Sergio Calderon steals the ball for IND!,Turnover,4,4,9,160
IND,Vidal Vitela Inside shot...Score!,Score,6,4,10,160
OHST,Thomas Ludwig 2-point jumper...Missed!       Rebounded by IND Thanh Kim.,Score,6,4,11,160
IND,Jeffrey Greeson 3-point attempt...Score!       Assisted by: Timothy Belcher,Score,9,4,12,160
OHST,OHST Thomas Ludwig lost the ball out of bounds.,Turnover,9,4,13,160
IND,Vidal Vitela Inside shot...Score!       Assisted by: Andrew Klenner,Score,11,4,14,160
OHST,Reginald Lovelace 2-point jumper...Missed!       Rebounded by OHST Philip Johnson.,Score,11,4,15,160
OHST,Thomas Ludwig Inside shot...Score!       Assisted by: Adam Puryear,Score,11,6,16,160
IND,Andrew Klenner 3-point attempt...Missed!       Rebounded by OHST Brian Money.,Miss,11,6,17,160
IND,Andrew Klenner steals the ball for IND!,Turnover,11,6,18,160
IND,Vidal Vitela Inside shot... Missed with a foul on the play.,Fouled,11,6,19,160
IND,Free throw coming up... good!,FreeThrow,12,6,19,160
OHST,Michael Beck 2-point jumper...Score!,Score,12,8,20,160
IND,Shawn Erickson Inside shot...Score!,Score,14,8,21,160
OHST,Adam Puryear 2-point jumper...Missed!       Rebounded by IND Shawn Erickson.,Score,14,8,22,160
IND,Jeffrey Greeson Inside shot...Missed!       Rebounded by IND Thanh Kim.,Score,14,8,23,160
IND,IND Thanh Kim lost the ball out of bounds.,Out of Bounds,14,8,24,160
OHST,Adam Puryear 3-point attempt...Missed!       Rebounded by OHST Thomas Ludwig.,Score,14,8,25,160
OHST,Philip Johnson 3-point attempt...Missed!Rebounded by IND Thanh Kim.,Score,14,8,26,160
IND,Larry Peterson 2-point jumper...Score!,Score,16,8,27,160
OHST,Philip Johnson Inside shot... Missed but with a foul on the play.,Fouled,16,8,29,160
OHST,Free throw coming up... good!,FreeThrow,16,9,29,160
OHST,Free throw coming up... rattled out.       Rebounded by OHST Scott Hostetter.,FreeThrow,16,9,29,160
OHST,Scott Hostetter 3-point attempt...Score!       Assisted by: Brian Money,Score,16,12,30,160
IND,Jeffrey Greeson 2-point jumper...Score!       Assisted by: Andrew Klenner,Score,18,12,31,160
OHST,OHST Michael Beck lost the ball out of bounds.,Turnover,18,12,32,160
IND,IND: Offensive foul on IND Andrew Klenner.,Foul,18,12,33,160
OHST,Thomas Ludwig 3-point attempt...Score!,Score,18,15,34,160
IND,Timothy Belcher Inside shot...Score!,Score,20,15,35,160
OHST,Thomas Ludwig 3-point attempt...Missed!Rebounded by IND Jeffrey Greeson.,Score,20,15,36,160
IND,Larry Peterson 3-point attempt...Missed!       Rebounded by IND Vidal Vitela.,Missed,20,15,37,160
IND,Thanh Kim Inside shot...Missed!       Rebounded by OHST Michael Chipps.,Score,20,15,38,160
OHST,OHST Scott Hostetter lost the ball out of bounds.,Turnover,20,15,39,160
IND,Sergio Calderon Inside shot...BLOCKED by OHST Michael Beck.       Rebounded by OHST Christian Lee.,Turnover,20,15,40,160
OHST,Michael Beck Inside shot...Score!       Assisted by: Adam Puryear,Score,20,17,42,160
IND,Andrew Klenner 2-point jumper...Missed!       Rebounded by OHST Michael Beck.,Missed,20,17,44,160
