HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
JU,UTEP,74,72,155
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
UTEP,UTEP wins the tipoff!,Tipoff,0,0,0,155
UTEP,Scott Whittington 2-point jumper...Missed!       Rebounded by JU Stanton Chadwick.,Score,0,0,1,155
JU,Cordell Mcleod 2-point jumper...Score!,Score,2,0,2,155
UTEP,Scott Whittington 2-point jumper...BLOCKED by Cordell Mcleod.       Rebounded by UTEP Scott Whittington.,Turnover,2,0,3,155
UTEP,UTEP: Offensive foul on UTEP Felipe Raymond.,Turnover,2,0,4,155
JU,Cordell Mcleod Inside shot...Missed!       Rebounded by UTEP Reginald Speese.,Score,2,0,5,155
UTEP,UTEP Jason Torres lost the ball out of bounds.,Turnover,2,0,7,155
JU,Ferdinand Burt Inside shot...Score!,Score,4,0,8,155
UTEP,Joe Pace 3-point attempt...Missed!       Rebounded by UTEP Frank Heath.,Score,4,0,9,155
UTEP,Arthur Schnell Inside shot...Score!       Assisted by: Christopher Davis,Score,4,2,10,155
JU,Eli Gresham Inside shot...Score!,Score,6,2,11,155
UTEP,Felipe Raymond 2-point jumper...Missed!       Rebounded by JU Dylan Conrad.,Score,6,2,12,155
JU,Ferdinand Burt 3-point attempt...Score!       Assisted by: Alden Jarrett,Score,9,2,13,155
UTEP,Jason Torres 2-point jumper...Missed!       Rebounded by JU Alden Jarrett.,Score,9,2,14,155
JU,Eli Gresham Inside shot...Score!       Assisted by: Alden Jarrett,Score,11,2,15,155
UTEP,Scott Whittington 2-point jumper...Missed!       Rebounded by JU Dylan Conrad.,Score,11,2,16,155
JU,Alden Jarrett 2-point jumper...Missed!       Rebounded by UTEP Frank Heath.,Missed,11,2,17,155
UTEP,Bernard Dunn Inside shot...Score!       Assisted by: Scott Whittington,Score,11,4,18,155
JU,Eli Gresham 2-point jumper...Missed!       Rebounded by UTEP Adam Bedrossian.,Missed,11,4,19,155
UTEP,Scott Whittington 2-point jumper...Missed!       Rebounded by JU Ferdinand Burt.,Score,11,4,20,155
JU,Dylan Conrad Inside shot...Score!,Score,13,4,21,155
JU,Eli Gresham steals the ball for JU!,Turnover,13,4,22,155
JU,Stanton Chadwick Inside shot...Score!       Assisted by: Cordell Mcleod,Score,15,4,23,155
UTEP,Jason Torres 2-point jumper...Missed!       Rebounded by JU Stanton Chadwick.,Score,15,4,24,155
JU,Ferdinand Burt Inside shot...Score!,Score,17,4,25,155
