HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
KENT,CMU,57,72,146
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
KENT,KENT wins the tipoff!,Tipoff,0,0,0,146
KENT,Lloyd Dunham 3-point attempt...Missed!       Rebounded by KENT Thomas Mattera.,Missed,0,0,1,146
KENT,Richard Steelman Inside shot...Score!,Score,2,0,2,146
CMU,Kenneth Isom 3-point attempt...Score!       Assisted by: Lee Paul,Score,2,3,3,146
KENT,Lloyd Dunham Inside shot...BLOCKED by CMU Charles Dengate.       Rebounded by KENT John Tryon.,Turnover,2,3,4,146
KENT,Herbert Deutsch 2-point jumper...Missed!       Rebounded by CMU Glenn Everett.,Missed,2,3,5,146
CMU,Kenneth Isom Inside shot...Score!,Score,2,5,6,146
KENT,KENT: Offensive foul on KENT Herbert Deutsch.,Foul,2,5,7,146
CMU,CMU Lee Paul lost the ball out of bounds.,Turnover,2,5,8,146
KENT,Lloyd Dunham 2-point jumper...Missed!       Rebounded by CMU Dennis Massman.,Missed,2,5,9,146
CMU,Lee Paul Inside shot...Missed!       Rebounded by KENT Herbert Deutsch.,Score,2,5,10,146
KENT,Brian Berry 3-point attempt...Missed!       Rebounded by CMU Ned Fletcher.,Miss,2,5,11,146
CMU,Kenneth Isom 3-point attempt...Missed!Rebounded by KENT Richard Steelman.,Score,2,5,12,146
KENT,Lloyd Dunham 2-point jumper...Score!,Score,4,5,13,146
CMU,Ned Fletcher 2-point jumper...Missed!       Rebounded by KENT Eric Flores.,Score,4,5,14,146
KENT,Richard Steelman Inside shot... Missed with a foul on the play.,Fouled,4,5,15,146
KENT,Free throw coming up... good!,FreeThrow,5,5,15,146
KENT,Free throw coming up... rattled out.       Rebounded by KENT Brian Berry.,FreeThrow,5,5,15,146
CMU,Dennis Massman steals the ball for CMU!,Turnover,5,5,16,146
CMU,Kenneth Isom 3-point attempt...Missed!Rebounded by KENT Brian Berry.,Score,5,5,17,146
