HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
LU,NMSU,54,51,145
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
LU,LU wins the tipoff!,Tipoff,0,0,0,145
LU,Keith Mcrae 2-point jumper...Missed!       Rebounded by LU Arthur Safranek.,Missed,0,0,1,145
LU,Joseph Le 2-point jumper...Missed!       Rebounded by NMSU Peter Lam.,Missed,0,0,2,145
NMSU,Kevin Layson 2-point jumper...Missed!       Rebounded by NMSU Taylor Park.,Score,0,0,3,145
NMSU,NMSU Jim Lor lost the ball out of bounds.,Turnover,0,0,4,145
LU,William Smith 2-point jumper...Missed!       Rebounded by LU Joseph Le.,Missed,0,0,5,145
LU,Joseph Le 2-point jumper...Missed!       Rebounded by NMSU Peter Lam.,Missed,0,0,6,145
LU,Thomas Arrieta steals the ball for LU!,Turnover,0,0,7,145
LU,Thomas Arrieta 2-point jumper...BLOCKED by NMSU Tao Castro.       Rebounded by NMSU Trung Truong.,Turnover,0,0,8,145
NMSU,Quoc Patel Inside shot... Missed but with a foul on the play.,Fouled,0,0,9,145
NMSU,Free throw coming up... good!,FreeThrow,0,1,9,145
NMSU,Free throw coming up... good!,FreeThrow,0,2,9,145
NMSU,Jim Lor steals the ball for NMSU!,Turnover,0,2,10,145
NMSU,Jim Lor Inside shot...Score!       Assisted by: Taylor Park,Score,0,4,11,145
LU,LU Milan Raskin lost the ball out of bounds.,Out of Bounds,0,4,12,145
NMSU,Taylor Park Inside shot... Missed but with a foul on the play.,Fouled,0,4,13,145
NMSU,Free throw coming up... rattled out.,FreeThrow,0,4,13,145
NMSU,Free throw coming up... rattled out.       Rebounded by LU Douglas Strom.,FreeThrow,0,4,13,145
LU,William Smith Inside shot...Score!       Assisted by: Arthur Safranek,Score,2,4,14,145
NMSU,Jim Lor Inside shot...Score! Fouled and we have a free throw folks!       Assisted by: Kevin Layson,Score,2,6,15,145
NMSU,Free throw coming up... good!,FreeThrow,2,7,15,145
LU,William Smith Inside shot...BLOCKED by NMSU Kevin Layson.       Rebounded by NMSU Peter Lam.,Turnover,2,7,16,145
NMSU,Nicholas Cannon 2-point jumper...Score!,Score,2,9,17,145
LU,Milan Raskin Inside shot...Missed!       Rebounded by NMSU Kevin Layson.,Score,2,9,18,145
NMSU,Peter Lam 3-point attempt...Missed!Rebounded by LU Thomas Arrieta.,Score,2,9,19,145
LU,William Smith Inside shot...Score!       Assisted by: Milan Raskin,Score,4,9,20,145
NMSU,Nicholas Cannon 3-point attempt...Missed!       Rebounded by NMSU Kevin Layson.,Score,4,9,21,145
NMSU,Quoc Patel 3-point attempt...Missed!       Rebounded by NMSU Jeremy Ryan.,Score,4,9,22,145
NMSU,Jeremy Ryan Inside shot...BLOCKED by Keith Mcrae.       Rebounded by LU Milan Raskin.,Turnover,4,9,23,145
LU,Milan Raskin 2-point jumper...Missed!       Rebounded by LU Joshua Longnecker.,Missed,4,9,24,145
LU,Joseph Le 2-point jumper...Missed!       Rebounded by NMSU Jim Lor.,Missed,4,9,25,145
NMSU,Peter Lam Inside shot...Score!       Assisted by: Tao Castro,Score,4,11,26,145
LU,William Smith Inside shot...Missed!       Rebounded by NMSU Jim Lor.,Score,4,11,27,145
NMSU,Quoc Patel 2-point jumper...Missed!       Rebounded by LU Eduardo Lomas.,Score,4,11,28,145
LU,Milan Raskin 2-point jumper...Missed!       Rebounded by LU Keith Mcrae.,Missed,4,11,29,145
LU,William Smith Inside shot... Missed with a foul on the play.,Fouled,4,11,30,145
LU,Free throw coming up... good!,FreeThrow,5,11,30,145
