HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
ULM,ODU,56,73,150
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
ODU,ODU wins the tipoff!,Tipoff,0,0,0,150
ODU,Thomas Hassler 2-point jumper...Missed!       Rebounded by ULM Douglas Roland.,Score,0,0,1,150
ULM,Edward Butera Inside shot...Score!,Score,2,0,2,150
ODU,Thomas Pezzi 3-point attempt...Missed!       Rebounded by ODU Richard Hamilton.,Score,2,0,3,150
ODU,Richard Hamilton 3-point attempt...Missed!Rebounded by ULM Douglas Roland.,Score,2,0,4,150
ULM,Joshua Kennedy Inside shot...Score!,Score,4,0,5,150
ODU,Richard Hamilton 2-point jumper...BLOCKED by Ernesto Peralta.       Rebounded by ODU Esteban Saldivar.,Turnover,4,0,6,150
ODU,Timothy Franke Inside shot...Score!       Assisted by: Frank Taylor,Score,4,2,7,150
ULM,Bobby Mcfadden Inside shot... Missed with a foul on the play.,Fouled,4,2,8,150
ULM,Free throw coming up... rattled out.       Rebounded by ODU Timothy Franke.,FreeThrow,4,2,8,150
ULM,Ernesto Peralta steals the ball for ULM!,Turnover,4,2,9,150
ULM,Oswaldo Reyes Inside shot...Score!       Assisted by: Edward Abell,Score,6,2,10,150
ODU,Richard Hamilton Inside shot... Missed but with a foul on the play.,Fouled,6,2,11,150
ODU,Free throw coming up... rattled out.,FreeThrow,6,2,11,150
ODU,Free throw coming up... rattled out.       Rebounded by ULM Bobby Mcfadden.,FreeThrow,6,2,11,150
ULM,Oswaldo Reyes 3-point attempt...Missed!       Rebounded by ODU Paul Woerz.,Miss,6,2,12,150
ODU,Thomas Pezzi Inside shot...Score!,Score,6,4,13,150
ULM,Robert Roulo Inside shot...Score!,Score,8,4,14,150
ULM,Douglas Roland steals the ball for ULM!,Turnover,8,4,15,150
ULM,Joshua Kennedy 2-point jumper...Missed!       Rebounded by ODU Thomas Hassler.,Missed,8,4,16,150
ODU,Juan Reyes 3-point attempt...Score!       Assisted by: Thomas Hassler,Score,8,7,17,150
ULM,Oswaldo Reyes Inside shot... Missed with a foul on the play.,Fouled,8,7,18,150
ULM,Free throw coming up... good!,FreeThrow,9,7,18,150
ULM,Free throw coming up... good!,FreeThrow,10,7,18,150
ODU,ODU: Offensive foul on ODU Timothy Franke.,Turnover,10,7,19,150
ULM,Ernesto Peralta 2-point jumper...Missed!       Rebounded by ULM Oswaldo Reyes.,Missed,10,7,20,150
ULM,Ernesto Peralta Inside shot...Score!,Score,12,7,21,150
ODU,Thomas Hassler Inside shot...Score!,Score,12,9,22,150
