HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
LT,FIU,68,91,149
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
FIU,FIU wins the tipoff!,Tipoff,0,0,0,149
FIU,Michael Hart 3-point attempt...Score!       Assisted by: George Sullivan,Score,0,3,1,149
LT,Aaron Riddle 2-point jumper...Score!       Assisted by: Martin Castaneda,Score,2,3,2,149
FIU,George Sullivan 2-point jumper...Score!,Score,2,5,3,149
LT,Manuel Soria 2-point jumper...Missed!       Rebounded by FIU Thomas Smith.,Missed,2,5,4,149
FIU,George Sullivan 2-point jumper...Missed!       Rebounded by FIU Thomas Smith.,Score,2,5,5,149
FIU,Michael Hart 2-point jumper...Score!,Score,2,7,6,149
LT,Kevin Berglund Inside shot...Score!,Score,4,7,7,149
FIU,Thomas Smith 2-point jumper...Score!,Score,4,9,8,149
LT,Gerard Stulken Inside shot...Score!,Score,6,9,9,149
FIU,Wei Tan 2-point jumper...Score!       Assisted by: Curtis Kovacic,Score,6,11,10,149
LT,Freddy Shivers 2-point jumper...Missed!       Rebounded by FIU George Sullivan.,Missed,6,11,11,149
FIU,FIU Michael Hart lost the ball out of bounds.,Turnover,6,11,12,149
LT,Manuel Soria Inside shot...Score!       Assisted by: Jason Quinones,Score,8,11,13,149
FIU,Thomas Smith 2-point jumper...Score!       Assisted by: Wei Tan,Score,8,13,14,149
LT,Manuel Soria 2-point jumper...Missed!       Rebounded by FIU Michael Hart.,Missed,8,13,15,149
LT,Matthew Griffin steals the ball for LT!,Turnover,8,13,16,149
LT,Gerard Stulken Inside shot...BLOCKED by FIU Wei Tan.       Rebounded by FIU Thomas Smith.,Turnover,8,13,17,149
FIU,Michael Hart 3-point attempt... Missed with a foul on the play.,Fouled,8,13,18,149
FIU,       Free throw coming up... good!,FreeThrow,8,14,18,149
FIU,       Free throw coming up... good!,FreeThrow,8,15,18,149
LT,Kevin Berglund 2-point jumper...Score!,Score,10,15,19,149
FIU,Dennis Brunsvold 2-point jumper...Missed!       Rebounded by LT Brian White.,Score,10,15,20,149
LT,Warren Jones 3-point attempt...Missed!       Rebounded by FIU Michael Hart.,Miss,10,15,21,149
FIU,Joshua Marsh 2-point jumper...Score!,Score,10,17,22,149
LT,Kevin Berglund 2-point jumper...BLOCKED by FIU Michael Robertson.       Rebounded by LT Warren Jones.,Turnover,10,17,23,149
LT,Manuel Soria 2-point jumper...Missed!       Rebounded by FIU Michael Hart.,Missed,10,17,24,149
FIU,Thomas Smith 3-point attempt...Score!,Score,10,20,25,149
LT,LT: Offensive foul on LT Kevin Berglund.,Foul,10,20,26,149
FIU,Michael Robertson 3-point attempt...Missed!Rebounded by LT Gerard Stulken.,Score,10,20,27,149
