HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
LUC,SLU,62,61,144
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
SLU,SLU wins the tipoff!,Tipoff,0,0,0,144
SLU,SLU Kevin Abraham lost the ball out of bounds.,Turnover,0,0,1,144
LUC,Chuong Yamada 2-point jumper...Missed!       Rebounded by SLU Kevin Abraham.,Missed,0,0,2,144
SLU,Christian Babcock 3-point attempt...Score!       Assisted by: Horace Colvin,Score,0,3,3,144
LUC,Robert Grodecki 2-point jumper...Missed!       Rebounded by SLU Kevin Abraham.,Missed,0,3,4,144
SLU,Jung Vellanki Inside shot...Score!       Assisted by: Hector Pena,Score,0,5,5,144
LUC,David Leary Inside shot...Score!,Score,2,5,6,144
SLU,Darren Wu 2-point jumper...Score!       Assisted by: Anil Shah,Score,2,7,7,144
SLU,Darren Wu steals the ball for SLU!,Turnover,2,7,8,144
SLU,SLU Jung Vellanki lost the ball out of bounds.,Turnover,2,7,9,144
LUC,Joaquim Kilgore 2-point jumper...Missed!       Rebounded by LUC Edward Cody.,Missed,2,7,10,144
LUC,Edward Cody Inside shot...Score!       Assisted by: Robert Grodecki,Score,4,7,11,144
SLU,Christian Babcock 3-point attempt...Missed!       Rebounded by SLU Anil Shah.,Score,4,7,12,144
SLU,Anil Shah 2-point jumper...Missed!       Rebounded by LUC Joaquim Kilgore.,Score,4,7,13,144
LUC,Joaquim Kilgore Inside shot...Score!       Assisted by: Gary Smith,Score,6,7,14,144
SLU,Leopoldo Guifarro 2-point jumper...Score!       Assisted by: Darren Wu,Score,6,9,15,144
LUC,Edward Cody Inside shot... Missed with a foul on the play.,Fouled,6,9,16,144
LUC,Free throw coming up... good!,FreeThrow,7,9,16,144
LUC,Free throw coming up... rattled out.       Rebounded by SLU Christian Babcock.,FreeThrow,7,9,16,144
SLU,Jose Lee 2-point jumper...Score! Foul on the play and we go to a free throw!,Score,7,11,17,144
SLU,Free throw coming up... good!,FreeThrow,7,12,17,144
LUC,David Leary Inside shot...Score!       Assisted by: Joaquim Kilgore,Score,9,12,18,144
SLU,Anil Shah Inside shot...Score!,Score,9,14,19,144
LUC,LUC: Offensive foul on LUC David Leary.,Foul,9,14,20,144
SLU,Anil Shah Inside shot...BLOCKED by Joaquim Kilgore.       Rebounded by LUC John Walczak.,Turnover,9,14,21,144
LUC,LUC Joaquim Kilgore lost the ball out of bounds.,Out of Bounds,9,14,22,144
SLU,Christian Babcock 2-point jumper...Missed!       Rebounded by LUC Edward Cody.,Score,9,14,23,144
LUC,Chuong Yamada Inside shot...Score!,Score,11,14,24,144
SLU,Christian Babcock Inside shot...Score!,Score,11,16,25,144
LUC,John Murthy Inside shot...Score! Foul on the play and one!,Score,13,16,26,144
LUC,Free throw coming up... good!,FreeThrow,14,16,26,144
