HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
MARQ,DPU,73,70,155
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
MARQ,MARQ wins the tipoff!,Tipoff,0,0,0,155
MARQ,David Wynveen 3-point attempt...Score!,Score,3,0,1,155
DPU,Ezra Cloutier 2-point jumper...Missed!       Rebounded by MARQ Willie Andrade.,Score,3,0,2,155
MARQ,Peter Kinchen 2-point jumper...Missed!       Rebounded by DPU Ezra Cloutier.,Missed,3,0,3,155
DPU,Seamus Stebenne Inside shot...Score!       Assisted by: Gus Felton,Score,3,2,4,155
MARQ,David Wynveen 2-point jumper...Score!       Assisted by: Jose Vasquez,Score,5,2,5,155
DPU,Ezra Cloutier Inside shot...BLOCKED by Anthony Dungan.       Rebounded by MARQ Nate Perrin.,Turnover,5,2,6,155
MARQ,David Wynveen 3-point attempt...Missed!       Rebounded by DPU Thomas Davis.,Miss,5,2,7,155
DPU,DPU: Offensive foul on DPU Seamus Stebenne.,Turnover,5,2,8,155
MARQ,Jason Kohler Inside shot... Missed with a foul on the play.,Fouled,5,2,9,155
MARQ,Free throw coming up... good!,FreeThrow,6,2,9,155
MARQ,Free throw coming up... good!,FreeThrow,7,2,9,155
DPU,Thomas Davis 2-point jumper...Missed!       Rebounded by MARQ Nate Perrin.,Score,7,2,10,155
MARQ,Anthony Dungan 3-point attempt...Missed!       Rebounded by DPU Seamus Stebenne.,Miss,7,2,11,155
DPU,DPU: Offensive foul on DPU Seamus Stebenne.,Turnover,7,2,12,155
DPU,Gus Felton steals the ball for DPU!,Turnover,7,2,13,155
DPU,Cruz Nunes 3-point attempt...Missed!Rebounded by MARQ Peter Kinchen.,Score,7,2,15,155
MARQ,Alexander Nugent Inside shot...Missed!       Rebounded by DPU Thomas Davis.,Score,7,2,16,155
DPU,Cruz Nunes 3-point attempt...Score!,Score,7,5,17,155
MARQ,John Blaine 3-point attempt...Missed!       Rebounded by DPU Thomas Davis.,Miss,7,5,18,155
DPU,DPU Marquis Herbert lost the ball out of bounds.,Turnover,7,5,19,155
MARQ,Nate Perrin Inside shot...Score!,Score,9,5,20,155
DPU,Gus Felton Inside shot...Score!,Score,9,7,21,155
MARQ,Alexander Nugent Inside shot... Missed with a foul on the play.,Fouled,9,7,22,155
MARQ,Free throw coming up... good!,FreeThrow,10,7,22,155
MARQ,Free throw coming up... good!,FreeThrow,11,7,22,155
DPU,Gus Felton Inside shot...Score!,Score,11,9,23,155
MARQ,MARQ: Offensive foul on MARQ Jason Kohler.,Foul,11,9,24,155
DPU,DPU Cruz Nunes lost the ball out of bounds.,Turnover,11,9,25,155
MARQ,Nate Perrin 2-point jumper...Missed!       Rebounded by DPU Seamus Stebenne.,Missed,11,9,26,155
DPU,Gus Felton 2-point jumper...Missed!       Rebounded by DPU Thomas Davis.,Score,11,9,27,155
DPU,Cruz Nunes Inside shot...Score!,Score,11,11,28,155
MARQ,Jose Vasquez 2-point jumper...Score!,Score,13,11,29,155
DPU,Seamus Stebenne 2-point jumper...Missed!       Rebounded by MARQ Nate Perrin.,Score,13,11,30,155
MARQ,Jose Vasquez Inside shot...Score!       Assisted by: David Wynveen,Score,15,11,31,155
DPU,DPU: Offensive foul on DPU Thomas Davis.,Turnover,15,11,32,155
MARQ,David Wynveen 3-point attempt...Missed!       Rebounded by DPU Seamus Stebenne.,Miss,15,11,33,155
DPU,Seamus Stebenne Inside shot...Score! Fouled and we have a free throw folks!       Assisted by: Gus Felton,Score,15,13,34,155
DPU,Free throw coming up... good!,FreeThrow,15,14,34,155
MARQ,Alexander Nugent 3-point attempt...Missed!       Rebounded by DPU Cruz Nunes.,Miss,15,14,35,155
DPU,Cruz Nunes Inside shot... Missed but with a foul on the play.,Fouled,15,14,36,155
DPU,Free throw coming up... good!,FreeThrow,15,15,36,155
DPU,Free throw coming up... good!,FreeThrow,15,16,36,155
MARQ,John Blaine 3-point attempt...Score!       Assisted by: Alexander Nugent,Score,18,16,37,155
DPU,Seamus Stebenne Inside shot...BLOCKED by Anthony Dungan.       Rebounded by MARQ Peter Kinchen.,Turnover,18,16,38,155
MARQ,Nate Perrin 3-point attempt...Missed!       Rebounded by DPU Thomas Davis.,Miss,18,16,39,155
DPU,Quinton Jorgenson 3-point attempt...Missed!Rebounded by MARQ John Blaine.,Score,18,16,40,155
MARQ,Nate Perrin 3-point attempt...Score!       Assisted by: Alexander Nugent,Score,21,16,41,155
MARQ,Anthony Dungan steals the ball for MARQ!,Turnover,21,16,42,155
MARQ,Nate Perrin 2-point jumper...Score!,Score,23,16,43,155
DPU,Seamus Stebenne 3-point attempt...Missed!Rebounded by MARQ Alexander Nugent.,Score,23,16,44,155
MARQ,Jose Vasquez 3-point attempt...Score!       Assisted by: Anthony Dungan,Score,26,16,45,155
DPU,Marquis Herbert 3-point attempt...Missed!Rebounded by MARQ Anthony Dungan.,Score,26,16,46,155
MARQ,Peter Kinchen Inside shot...Score!       Assisted by: Jose Vasquez,Score,28,16,47,155
DPU,Thomas Davis Inside shot...Missed!       Rebounded by MARQ Anthony Dungan.,Score,28,16,48,155
MARQ,John Blaine 3-point attempt...Missed!       Rebounded by DPU Ezra Cloutier.,Miss,28,16,49,155
DPU,Gus Felton 3-point attempt...Missed!Rebounded by MARQ Anthony Dungan.,Score,28,16,50,155
MARQ,MARQ David Wynveen lost the ball out of bounds.,Out of Bounds,28,16,51,155
DPU,Cruz Nunes 3-point attempt...Score!       Assisted by: Quinton Jorgenson,Score,28,19,52,155
MARQ,Alexander Nugent Inside shot...BLOCKED by DPU Seamus Stebenne.       Rebounded by MARQ Alexander Nugent.,Turnover,28,19,53,155
MARQ,Nate Perrin 3-point attempt...Score!,Score,31,19,54,155
DPU,Thomas Davis Inside shot...Missed!       Rebounded by MARQ John Blaine.,Score,31,19,55,155
MARQ,David Wynveen Inside shot...Score!,Score,33,19,56,155
DPU,DPU: Offensive foul on DPU Ezra Cloutier.,Turnover,33,19,57,155
DPU,Seamus Stebenne steals the ball for DPU!,Turnover,33,19,58,155
DPU,DPU: Offensive foul on DPU Quinton Jorgenson.,Turnover,33,19,59,155
MARQ,Anthony Dungan Inside shot...Score!       Assisted by: Willie Andrade,Score,35,19,60,155
DPU,Gus Felton 3-point attempt...Missed!Rebounded by MARQ Peter Kinchen.,Score,35,19,61,155
MARQ,Willie Andrade 3-point attempt...Score!       Assisted by: Nate Perrin,Score,38,19,62,155
DPU,Gus Felton 3-point attempt...Missed!Rebounded by MARQ Peter Kinchen.,Score,38,19,63,155
MARQ,David Wynveen Inside shot...BLOCKED by DPU Seamus Stebenne.       Rebounded by DPU Thomas Davis.,Turnover,38,19,64,155
DPU,Seamus Stebenne Inside shot...Score!       Assisted by: Gus Felton,Score,38,21,65,155
MARQ,MARQ: Shot clock violation on MARQ Peter Kinchen.,Shot Clock Violation,38,21,66,155
MARQ,Nate Perrin steals the ball for MARQ!,Turnover,38,21,67,155
MARQ,MARQ: Offensive foul on MARQ Willie Andrade.,Foul,38,21,68,155
DPU,Quinton Jorgenson Inside shot...Score!,Score,38,23,69,155
MARQ,Alexander Nugent 3-point attempt...Score!,Score,41,23,70,155
