HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
UMD,IOWA,71,62,144
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
UMD,UMD wins the tipoff!,Tipoff,0,0,0,144
UMD,Reginald Miles Inside shot...Score!,Score,2,0,1,144
IOWA,Carlos Barahona 3-point attempt...Missed!Rebounded by UMD David Gosselin.,Score,2,0,2,144
UMD,James Webb Inside shot... Missed with a foul on the play.,Fouled,2,0,3,144
UMD,Free throw coming up... good!,FreeThrow,3,0,3,144
UMD,Free throw coming up... rattled out.       Rebounded by IOWA Sam Lecluyse.,FreeThrow,3,0,3,144
IOWA,Anibal Ruiz Inside shot...Score!       Assisted by: Brian Christofferson,Score,3,2,4,144
UMD,Edward Cook Inside shot...Missed!       Rebounded by IOWA Ronald Adeyemi.,Score,3,2,5,144
IOWA,Shane Mcbroom 2-point jumper...Missed!       Rebounded by IOWA Brian Lancaster.,Score,3,2,6,144
IOWA,Dario Gonzalez 2-point jumper...Missed!       Rebounded by UMD David Gosselin.,Score,3,2,7,144
UMD,UMD Wayne Evans lost the ball out of bounds.,Out of Bounds,3,2,8,144
UMD,Reginald Miles steals the ball for UMD!,Turnover,3,2,9,144
UMD,David Weiss 2-point jumper...Missed!       Rebounded by IOWA Carlos Barahona.,Missed,3,2,10,144
IOWA,Anibal Ruiz 3-point attempt...Score!       Assisted by: Dario Gonzalez,Score,3,5,11,144
UMD,UMD: Offensive foul on UMD James Webb.,Foul,3,5,12,144
IOWA,Ronald Adeyemi 2-point jumper...Missed!       Rebounded by UMD David Gosselin.,Score,3,5,13,144
UMD,UMD David Gosselin lost the ball out of bounds.,Out of Bounds,3,5,14,144
IOWA,Anibal Ruiz Inside shot... Missed but with a foul on the play.,Fouled,3,5,15,144
IOWA,Free throw coming up... good!,FreeThrow,3,6,15,144
IOWA,Free throw coming up... rattled out.       Rebounded by IOWA Dario Gonzalez.,FreeThrow,3,6,15,144
IOWA,Anibal Ruiz Inside shot...Score! Fouled and we have a free throw folks!       Assisted by: Sam Lecluyse,Score,3,8,16,144
IOWA,Free throw coming up... good!,FreeThrow,3,9,16,144
UMD,Jeffrey Valbrun Inside shot...Score!,Score,5,9,18,144
