HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
MEMP,UHOU,57,69,148
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
UHOU,UHOU wins the tipoff!,Tipoff,0,0,0,148
UHOU,Brian Greene 2-point jumper...Missed!       Rebounded by MEMP Trent Snowden.,Score,0,0,1,148
MEMP,Dale Chandler Inside shot...Score!       Assisted by: Wilbur Santiago,Score,2,0,2,148
UHOU,Kevin Judy 2-point jumper...Missed!       Rebounded by MEMP Donald Wright.,Score,2,0,3,148
MEMP,Whitney Archie 2-point jumper...Missed!       Rebounded by UHOU Thomas Kesler.,Missed,2,0,4,148
UHOU,Anthony Flavin Inside shot...Missed!       Rebounded by MEMP Leif Brandt.,Score,2,0,5,148
MEMP,MEMP Rodney Taylor lost the ball out of bounds.,Out of Bounds,2,0,6,148
UHOU,Larry Footman 2-point jumper...Score!,Score,2,2,7,148
MEMP,Trent Snowden 3-point attempt...Missed!       Rebounded by UHOU Brian Greene.,Miss,2,2,8,148
UHOU,Thomas Lampke 3-point attempt...Score!       Assisted by: Zhiyong Kaul,Score,2,5,9,148
MEMP,Aaron Thompson 2-point jumper...Score!,Score,4,5,10,148
UHOU,Gregory Koster 2-point jumper...Missed!       Rebounded by MEMP Aaron Thompson.,Score,4,5,11,148
MEMP,Whitney Archie 2-point jumper...Score!       Assisted by: Dale Chandler,Score,6,5,12,148
UHOU,Larry Footman 3-point attempt...Score!,Score,6,8,13,148
MEMP,MEMP Leif Brandt lost the ball out of bounds.,Out of Bounds,6,8,14,148
UHOU,Larry Footman 2-point jumper...Score!,Score,6,10,15,148
UHOU,Gregory Koster steals the ball for UHOU!,Turnover,6,10,16,148
UHOU,Roger Huckabee 2-point jumper...Score!,Score,6,12,17,148
UHOU,Forrest Marcy steals the ball for UHOU!,Turnover,6,12,18,148
UHOU,Brian Greene Inside shot...Score!       Assisted by: Thomas Kesler,Score,6,14,19,148
MEMP,Wilbur Santiago 3-point attempt...Score!       Assisted by: Trent Snowden,Score,9,14,20,148
UHOU,Roger Huckabee 2-point jumper...Score!,Score,9,16,21,148
MEMP,Trent Snowden 2-point jumper...Score!,Score,11,16,22,148
