HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
MIAF,BC,75,65,157
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
BC,BC wins the tipoff!,Tipoff,0,0,0,157
BC,Albert West Inside shot...Missed!       Rebounded by MIAF Douglas Hughes.,Score,0,0,1,157
MIAF,MIAF Benjamin Fritts lost the ball out of bounds.,Out of Bounds,0,0,2,157
BC,BC: Shot clock violation on BC Jose Rocha.,Turnover,0,0,3,157
MIAF,Nathan Francis 3-point attempt...Missed!       Rebounded by BC John Agliata.,Miss,0,0,4,157
MIAF,Daniel Hach steals the ball for MIAF!,Turnover,0,0,5,157
MIAF,Jeffrey Luedtke 2-point jumper...Missed!       Rebounded by MIAF Daniel Hach.,Missed,0,0,6,157
MIAF,Benjamin Fritts 3-point attempt...Missed!       Rebounded by MIAF Jeffrey Luedtke.,Missed,0,0,7,157
MIAF,Dustin Williamson Inside shot...Score!       Assisted by: Douglas Hughes,Score,2,0,8,157
BC,Kevin Downs 2-point jumper...Missed!       Rebounded by BC Albert West.,Score,2,0,9,157
BC,BC John Agliata lost the ball out of bounds.,Turnover,2,0,10,157
MIAF,Randy Oneill 2-point jumper...BLOCKED by BC Joseph Dottle.       Rebounded by MIAF Craig Fisher.,Turnover,2,0,11,157
MIAF,Craig Fisher 2-point jumper...Score!       Assisted by: Daniel Hach,Score,4,0,12,157
MIAF,Douglas Hughes steals the ball for MIAF!,Turnover,4,0,13,157
MIAF,Craig Fisher 3-point attempt...Score!       Assisted by: Benjamin Fritts,Score,7,0,14,157
BC,BC Mauricio Delgado lost the ball out of bounds.,Turnover,7,0,15,157
BC,Albert West steals the ball for BC!,Turnover,7,0,16,157
BC,John Agliata 2-point jumper...Score!,Score,7,2,17,157
MIAF,Craig Fisher 2-point jumper...Missed!       Rebounded by BC John Agliata.,Missed,7,2,18,157
BC,Mauricio Delgado Inside shot...Score!,Score,7,4,19,157
MIAF,Craig Fisher 3-point attempt...Missed!       Rebounded by BC Mauricio Delgado.,Miss,7,4,20,157
BC,Martin Kuh 3-point attempt...Score!       Assisted by: Bryce Morgan,Score,7,7,21,157
