HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
MIST,NEB,60,46,141
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
MIST,MIST wins the tipoff!,Tipoff,0,0,0,141
MIST,Scott Credeur 3-point attempt...Score!,Score,3,0,1,141
NEB,Christopher Merlo 3-point attempt...Score!,Score,3,3,2,141
MIST,MIST George Hwang lost the ball out of bounds.,Out of Bounds,3,3,3,141
NEB,Eric Galvez Inside shot...Missed!       Rebounded by MIST Wei Moore.,Score,3,3,4,141
MIST,MIST: Offensive foul on MIST George Hwang.,Foul,3,3,5,141
NEB,Su Tran Inside shot... Missed but with a foul on the play.,Fouled,3,3,6,141
NEB,Free throw coming up... rattled out.,FreeThrow,3,3,6,141
NEB,Free throw coming up... good!,FreeThrow,3,4,6,141
MIST,George Hwang 3-point attempt...Score!       Assisted by: David Berkman,Score,6,4,7,141
NEB,Eric Galvez 2-point jumper...Missed!       Rebounded by MIST Colin Newport.,Score,6,4,8,141
MIST,Paul Coleman 2-point jumper...Missed!       Rebounded by NEB Alvaro Calderon.,Missed,6,4,9,141
NEB,Alvaro Calderon Inside shot...Score!,Score,6,6,10,141
MIST,Roberto Pastella Inside shot...Score!,Score,8,6,11,141
NEB,NEB: Offensive foul on NEB Eric Galvez.,Turnover,8,6,12,141
MIST,Roberto Pastella Inside shot...Score!,Score,10,6,13,141
NEB,NEB: Offensive foul on NEB Mitchell Henderson.,Turnover,10,6,14,141
MIST,Colin Newport 3-point attempt...Missed!       Rebounded by NEB Christopher Merlo.,Miss,10,6,15,141
NEB,Bernard Pheanis 3-point attempt...Missed!Rebounded by MIST Paul Coleman.,Score,10,6,16,141
MIST,Roberto Pastella 2-point jumper...BLOCKED by NEB Christopher Merlo.       Rebounded by MIST Colin Newport.,Turnover,10,6,17,141
MIST,Scott Credeur Inside shot...Score!,Score,12,6,18,141
NEB,Christopher Merlo 2-point jumper...Missed!       Rebounded by NEB Alvaro Calderon.,Score,12,6,19,141
NEB,Christopher Merlo 2-point jumper...Missed!       Rebounded by NEB Christopher Merlo.,Score,12,6,20,141
NEB,Alvaro Calderon 2-point jumper...Missed!       Rebounded by MIST Richard Mcgaugh.,Score,12,6,21,141
NEB,Stephen Chalfant steals the ball for NEB!,Turnover,12,6,22,141
MIST,Richard Mcgaugh steals the ball for MIST!,Turnover,12,6,23,141
MIST,Hao Liu 2-point jumper...Score!,Score,14,6,24,141
