HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
MTSU,FAU,62,58,141
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
FAU,FAU wins the tipoff!,Tipoff,0,0,0,141
FAU,FAU James Callaway lost the ball out of bounds.,Turnover,0,0,1,141
MTSU,Peter Krueger 2-point jumper...Score!       Assisted by: Walter Vogt,Score,2,0,2,141
FAU,Scott Munro Inside shot...Missed!       Rebounded by MTSU David Chavez.,Score,2,0,3,141
MTSU,Rickey Smith 3-point attempt...Missed!       Rebounded by FAU Chris Sica.,Miss,2,0,4,141
FAU,David Christensen 2-point jumper...Score!       Assisted by: John Kirkpatrick,Score,2,2,5,141
MTSU,Walter Vogt Inside shot...Score!,Score,4,2,6,141
FAU,FAU: Offensive foul on FAU Justin Taylor.,Turnover,4,2,7,141
MTSU,Wilford Hyder 2-point jumper...Missed!       Rebounded by FAU Todd Buranich.,Missed,4,2,8,141
FAU,Thomas Schatz 3-point attempt...Missed!Rebounded by MTSU Ray Swift.,Score,4,2,9,141
MTSU,Larry Chuqui Inside shot... Missed with a foul on the play.,Fouled,4,2,10,141
MTSU,Free throw coming up... good!,FreeThrow,5,2,10,141
MTSU,Free throw coming up... rattled out.       Rebounded by FAU Todd Buranich.,FreeThrow,5,2,10,141
FAU,Todd Buranich Inside shot...Score!,Score,5,4,11,141
MTSU,Larry Chuqui 2-point jumper...Score!,Score,7,4,12,141
FAU,Justin Taylor 2-point jumper...Score!,Score,7,6,13,141
MTSU,Robert Gannon Inside shot...Score!,Score,9,6,14,141
FAU,Anil Boone 3-point attempt...Missed!       Rebounded by FAU James Callaway.,Score,9,6,15,141
FAU,John Carter 2-point jumper...BLOCKED by Wilford Hyder.       Rebounded by MTSU Robert Gannon.,Turnover,9,6,16,141
MTSU,Darrin Hopkins Inside shot...Score!       Assisted by: Wilford Hyder,Score,11,6,17,141
FAU,David Christensen 3-point attempt...Score!       Assisted by: Scott Munro,Score,11,9,18,141
MTSU,Wilford Hyder 2-point jumper...Score!       Assisted by: Darrin Hopkins,Score,13,9,19,141
FAU,Scott Munro Inside shot...Score!       Assisted by: Chris Sica,Score,13,11,20,141
MTSU,David Chavez 2-point jumper...Missed!       Rebounded by FAU Chris Sica.,Missed,13,11,21,141
FAU,Todd Buranich 3-point attempt...Missed!Rebounded by MTSU David Chavez.,Score,13,11,22,141
MTSU,Rickey Smith 3-point attempt...Missed!       Rebounded by FAU Scott Munro.,Miss,13,11,23,141
