HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
MSST,VAND,66,57,143
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
VAND,VAND wins the tipoff!,Tipoff,0,0,0,143
VAND,Tony Brooks 2-point jumper...Score!       Assisted by: Willie Cox,Score,0,2,1,143
MSST,Gerald Brown 2-point jumper...Score!,Score,2,2,2,143
VAND,VAND Tony Brooks lost the ball out of bounds.,Turnover,2,2,3,143
MSST,Kevin Miller Inside shot...Missed!       Rebounded by VAND Dennis Jacobs.,Score,2,2,4,143
MSST,Barry Avdic steals the ball for MSST!,Turnover,2,2,5,143
MSST,Salvatore Licklider 3-point attempt...Missed!       Rebounded by MSST John Hasz.,Missed,2,2,6,143
MSST,Mark Jones Inside shot...Score!       Assisted by: Patrick Boogerd,Score,4,2,7,143
VAND,Kenneth Stewart Inside shot... Missed but with a foul on the play.,Fouled,4,2,8,143
VAND,Free throw coming up... good!,FreeThrow,4,3,8,143
VAND,Free throw coming up... good!,FreeThrow,4,4,8,143
MSST,Richard Scott 2-point jumper...Score!,Score,6,4,9,143
VAND,Ronnie Coleman Inside shot...Score!,Score,6,6,10,143
MSST,John Hasz 2-point jumper...BLOCKED by VAND Isaac Curtis.       Rebounded by MSST Mark Jones.,Turnover,6,6,11,143
MSST,Patrick Boogerd Inside shot...BLOCKED by VAND Christopher Delp.       Rebounded by MSST John Hasz.,Turnover,6,6,12,143
MSST,Salvatore Licklider 3-point attempt...Missed!       Rebounded by VAND Tony Brooks.,Miss,6,6,13,143
VAND,Tony Brooks Inside shot... Missed but with a foul on the play.,Fouled,6,6,14,143
VAND,Free throw coming up... rattled out.,FreeThrow,6,6,14,143
VAND,Free throw coming up... good!,FreeThrow,6,7,14,143
MSST,Gregory Barrett 3-point attempt...Missed!       Rebounded by MSST Kevin Miller.,Missed,6,7,15,143
MSST,Gregory Barrett Inside shot...BLOCKED by VAND Ronnie Coleman.       Rebounded by MSST Patrick Boogerd.,Turnover,6,7,16,143
MSST,John Hasz Inside shot...Score!       Assisted by: Richard Scott,Score,8,7,17,143
VAND,Christopher Delp 2-point jumper...Missed!       Rebounded by VAND Dennis Jacobs.,Score,8,7,18,143
VAND,Dennis Jacobs 2-point jumper...Missed!       Rebounded by VAND Dennis Jacobs.,Score,8,7,19,143
VAND,Derek Windle 2-point jumper...Missed!       Rebounded by VAND Derek Windle.,Score,8,7,20,143
VAND,Kenneth Stewart Inside shot...Score!,Score,8,9,21,143
VAND,Dennis Jacobs steals the ball for VAND!,Turnover,8,9,22,143
VAND,Christopher Delp 3-point attempt...Score!,Score,8,12,23,143
MSST,Barry Avdic 2-point jumper...Score!,Score,10,12,24,143
VAND,Tony Brooks Inside shot...Score!       Assisted by: Luke Nichol,Score,10,14,25,143
MSST,Salvatore Licklider 2-point jumper...BLOCKED by VAND Isaac Curtis.       Rebounded by MSST Barry Avdic.,Turnover,10,14,26,143
