HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
NCST,TXST,63,55,143
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
TXST,TXST wins the tipoff!,Tipoff,0,0,0,143
TXST,Hugo Hernandez 2-point jumper...Score!,Score,0,2,1,143
NCST,Marc Ohara 2-point jumper...Missed!       Rebounded by TXST Richard Nave.,Missed,0,2,2,143
TXST,Richard Gamon Inside shot...Score! Fouled and we have a free throw folks!,Score,0,4,3,143
TXST,Free throw coming up... good!,FreeThrow,0,5,3,143
NCST,Loc Roy Inside shot...Score!,Score,2,5,4,143
TXST,Richard Nave 2-point jumper...Missed!       Rebounded by NCST Brian Kane.,Score,2,5,5,143
NCST,Marc Ohara 2-point jumper...Missed!       Rebounded by TXST Hugo Hernandez.,Missed,2,5,6,143
TXST,TXST Richard Nave lost the ball out of bounds.,Turnover,2,5,7,143
NCST,Tommy Chen Inside shot... Missed with a foul on the play.,Fouled,2,5,8,143
NCST,Free throw coming up... good!,FreeThrow,3,5,8,143
NCST,Free throw coming up... good!,FreeThrow,4,5,8,143
NCST,Loc Roy steals the ball for NCST!,Turnover,4,5,9,143
NCST,NCST Aurelio Merino lost the ball out of bounds.,Out of Bounds,4,5,10,143
TXST,Roberto Quintana 3-point attempt...Score!       Assisted by: Richard Gamon,Score,4,8,11,143
NCST,Loc Roy 2-point jumper...Score!,Score,6,8,12,143
TXST,TXST Richard Gamon lost the ball out of bounds.,Turnover,6,8,13,143
NCST,Lucio Cardoza Inside shot...Score!       Assisted by: Aurelio Merino,Score,8,8,14,143
NCST,Phillip Smith steals the ball for NCST!,Turnover,8,8,15,143
NCST,Robert Dixon 2-point jumper...Score!       Assisted by: Aurelio Merino,Score,10,8,16,143
TXST,James Shelton Inside shot...Score!,Score,10,10,17,143
NCST,Tommy Chen 3-point attempt...Missed!       Rebounded by NCST Brian Kane.,Missed,10,10,18,143
NCST,Lucio Cardoza 2-point jumper...Missed!       Rebounded by TXST Roberto Quintana.,Missed,10,10,19,143
TXST,Randall Nelson 2-point jumper...Score!       Assisted by: Hugo Hernandez,Score,10,12,20,143
NCST,Lucio Cardoza 2-point jumper...Missed!       Rebounded by NCST Lucio Cardoza.,Missed,10,12,21,143
NCST,Tommy Chen Inside shot...Score!       Assisted by: Phillip Smith,Score,12,12,22,143
TXST,Roberto Quintana Inside shot...BLOCKED by Loc Roy.       Rebounded by NCST Brian Kane.,Turnover,12,12,23,143
NCST,Brian Kane 3-point attempt...Missed!       Rebounded by TXST Roberto Quintana.,Miss,12,12,24,143
TXST,TXST Michael Martin lost the ball out of bounds.,Turnover,12,12,25,143
NCST,Tommy Chen 3-point attempt...Missed!       Rebounded by TXST Hugo Hernandez.,Miss,12,12,26,143
TXST,TXST Curt Clarke lost the ball out of bounds.,Turnover,12,12,27,143
NCST,Daniel Eide 2-point jumper...Missed!       Rebounded by TXST Curt Clarke.,Missed,12,12,28,143
TXST,David Garcia Inside shot...Score!       Assisted by: Edward Tucker,Score,12,14,29,143
NCST,Brian Kane 3-point attempt...Missed!       Rebounded by TXST Roberto Quintana.,Miss,12,14,30,143
TXST,TXST Hugo Hernandez lost the ball out of bounds.,Turnover,12,14,31,143
NCST,Aurelio Merino Inside shot...Score!       Assisted by: Brian Kane,Score,14,14,32,143
TXST,TXST: Offensive foul on TXST Randall Nelson.,Turnover,14,14,33,143
NCST,Yang Flores 3-point attempt...Score!       Assisted by: Tommy Chen,Score,17,14,34,143
TXST,Edward Tucker Inside shot...Score!       Assisted by: Randall Nelson,Score,17,16,35,143
NCST,Tommy Chen 2-point jumper...Score!,Score,19,16,36,143
TXST,Randall Nelson Inside shot...Missed!       Rebounded by TXST Curt Clarke.,Score,19,16,37,143
TXST,Michael Martin Inside shot...Score!       Assisted by: Curt Clarke,Score,19,18,38,143
NCST,Loc Roy 3-point attempt...Missed!       Rebounded by TXST Roberto Quintana.,Miss,19,18,39,143
TXST,Elias Havelka 2-point jumper...Missed!       Rebounded by NCST Marc Ohara.,Score,19,18,40,143
NCST,Randall Shanks 3-point attempt...Missed!       Rebounded by TXST Roberto Quintana.,Miss,19,18,41,143
TXST,Roberto Quintana Inside shot...Score! Fouled and we have a free throw folks!,Score,19,20,42,143
TXST,       Free throw coming up... rattled out.       Rebounded by TXST Alejandro Garay.,FreeThrow,19,20,42,143
TXST,Randall Nelson 2-point jumper...Score!,Score,19,22,43,143
NCST,Loc Roy Inside shot...BLOCKED by TXST Roberto Quintana.       Rebounded by TXST Hugo Hernandez.,Turnover,19,22,44,143
TXST,Randall Nelson 3-point attempt...Missed!Rebounded by NCST Marc Ohara.,Score,19,22,45,143
NCST,Brian Kane Inside shot...Score!,Score,21,22,46,143
TXST,David Garcia Inside shot... Missed but with a foul on the play.,Fouled,21,22,47,143
TXST,Free throw coming up... good!,FreeThrow,21,23,47,143
TXST,Free throw coming up... rattled out.       Rebounded by TXST Paul Bloom.,FreeThrow,21,23,47,143
TXST,Curt Clarke 2-point jumper...Missed!       Rebounded by NCST Tommy Chen.,Score,21,23,48,143
TXST,Roberto Quintana steals the ball for TXST!,Turnover,21,23,49,143
TXST,Hugo Hernandez 2-point jumper...Missed!       Rebounded by TXST Edward Tucker.,Score,21,23,50,143
NCST,Tommy Chen steals the ball for NCST!,Turnover,21,23,51,143
NCST,Brian Kane 2-point jumper...Missed!       Rebounded by TXST Randall Nelson.,Missed,21,23,52,143
TXST,Richard Nave Inside shot...BLOCKED by Tommy Chen.       Rebounded by TXST Richard Gamon.,Turnover,21,23,53,143
TXST,Edward Tucker Inside shot...Score!       Assisted by: Elias Havelka,Score,21,25,54,143
NCST,Brian Kane Inside shot... Missed with a foul on the play.,Fouled,21,25,55,143
NCST,Free throw coming up... good!,FreeThrow,22,25,55,143
NCST,Free throw coming up... good!,FreeThrow,23,25,55,143
TXST,Hugo Hernandez 2-point jumper...Missed!       Rebounded by TXST Paul Bloom.,Score,23,25,56,143
TXST,Curt Clarke 2-point jumper...Missed!       Rebounded by NCST Aurelio Merino.,Score,23,25,57,143
NCST,Randall Shanks 3-point attempt...Missed!       Rebounded by NCST Marc Ohara.,Missed,23,25,58,143
TXST,Paul Bloom steals the ball for TXST!,Turnover,23,25,59,143
TXST,Edward Tucker 3-point attempt...Score!,Score,23,28,60,143
NCST,Robert Jackson 2-point jumper...Missed!       Rebounded by NCST Robert Dixon.,Missed,23,28,61,143
NCST,Marc Ohara Inside shot...BLOCKED by TXST Curt Clarke.       Rebounded by TXST Alejandro Garay.,Turnover,23,28,62,143
TXST,TXST Roberto Quintana lost the ball out of bounds.,Turnover,23,28,63,143
NCST,Phillip Smith 2-point jumper...Missed!       Rebounded by NCST Phillip Smith.,Missed,23,28,64,143
NCST,NCST Tommy Chen lost the ball out of bounds.,Out of Bounds,23,28,65,143
TXST,Randall Nelson Inside shot...Score!,Score,23,30,66,143
NCST,Robert Jackson 3-point attempt...Score!,Score,26,30,67,143
TXST,David Garcia 2-point jumper...Missed!       Rebounded by NCST Marc Ohara.,Score,26,30,68,143
NCST,Yang Flores 2-point jumper...Missed!       Rebounded by TXST Hugo Hernandez.,Missed,26,30,69,143
TXST,Roberto Quintana 2-point jumper...Score!,Score,26,32,70,143
NCST,Loc Roy 2-point jumper...Score!       Assisted by: Daniel Eide,Score,28,32,71,143
,,HALFTIME,28,32,71,143
TXST,Hugo Hernandez Inside shot...Missed!       Rebounded by TXST James Shelton.,Score,28,32,72,143
TXST,Hugo Hernandez 2-point jumper...Missed!       Rebounded by NCST Robert Dixon.,Score,28,32,73,143
NCST,Tommy Chen Inside shot... Missed with a foul on the play.,Fouled,28,32,74,143
NCST,Free throw coming up... good!,FreeThrow,29,32,74,143
NCST,Free throw coming up... rattled out.       Rebounded by TXST Alejandro Garay.,FreeThrow,29,32,74,143
TXST,Roberto Quintana Inside shot...Score!,Score,29,34,75,143
NCST,Randall Shanks 3-point attempt...Missed!       Rebounded by TXST Curt Clarke.,Miss,29,34,76,143
TXST,Edward Tucker 2-point jumper...Score!       Assisted by: Randall Nelson,Score,29,36,77,143
NCST,Marc Ohara 3-point attempt...Missed!       Rebounded by TXST Richard Nave.,Miss,29,36,78,143
TXST,Roberto Quintana 3-point attempt... Missed with a foul on the play.,Fouled,29,36,79,143
TXST,       Free throw coming up... good!,FreeThrow,29,37,79,143
TXST,Roberto Quintana 3-point attempt... Missed with a foul on the play.,FreeThrow,29,37,79,143
NCST,Robert Jackson 2-point jumper...Score!,Score,31,37,80,143
TXST,Paul Bloom 3-point attempt...Score!       Assisted by: Edward Tucker,Score,31,40,81,143
NCST,Robert Dixon 2-point jumper...Missed!       Rebounded by TXST Hugo Hernandez.,Missed,31,40,82,143
TXST,Roberto Quintana 2-point jumper...Score!       Assisted by: Randall Nelson,Score,31,42,83,143
NCST,Phillip Smith 2-point jumper...BLOCKED by TXST Richard Gamon.       Rebounded by TXST Hugo Hernandez.,Turnover,31,42,84,143
TXST,Randall Nelson 3-point attempt...Missed!Rebounded by NCST Brian Kane.,Score,31,42,85,143
NCST,Tommy Chen 2-point jumper...Missed!       Rebounded by TXST Curt Clarke.,Missed,31,42,86,143
NCST,Randall Shanks steals the ball for NCST!,Turnover,31,42,87,143
NCST,Daniel Eide 2-point jumper...Missed!       Rebounded by NCST Robert Dixon.,Missed,31,42,88,143
NCST,Brian Kane Inside shot...Score!       Assisted by: Robert Dixon,Score,33,42,89,143
TXST,TXST Alejandro Garay lost the ball out of bounds.,Turnover,33,42,90,143
NCST,Yang Flores 3-point attempt...Missed!       Rebounded by TXST Randall Nelson.,Miss,33,42,91,143
TXST,Roberto Quintana 2-point jumper...Missed!       Rebounded by NCST Phillip Smith.,Score,33,42,92,143
NCST,Marc Ohara 2-point jumper...Missed!       Rebounded by TXST Richard Nave.,Missed,33,42,93,143
TXST,Curt Clarke Inside shot...Missed!       Rebounded by NCST Tommy Chen.,Score,33,42,94,143
NCST,Tommy Chen 2-point jumper...Missed!       Rebounded by NCST Phillip Smith.,Missed,33,42,95,143
NCST,Robert Dixon Inside shot... Missed with a foul on the play.,Fouled,33,42,96,143
NCST,Free throw coming up... good!,FreeThrow,34,42,96,143
TXST,Randall Nelson 3-point attempt...Missed!       Rebounded by TXST Richard Nave.,Score,34,42,97,143
TXST,TXST: Offensive foul on TXST Richard Nave.,Turnover,34,42,98,143
NCST,Aurelio Merino 2-point jumper...Missed!       Rebounded by TXST Hugo Hernandez.,Missed,34,42,99,143
NCST,Phillip Smith steals the ball for NCST!,Turnover,34,42,100,143
NCST,Randall Shanks 2-point jumper...Score!       Assisted by: Aurelio Merino,Score,36,42,101,143
NCST,Darius Roussell steals the ball for NCST!,Turnover,36,42,102,143
NCST,Daniel Eide Inside shot...Score!,Score,38,42,103,143
TXST,Edward Tucker 3-point attempt...Score! There is a foul on the play and one!       Assisted by: Hugo Hernandez,Score,38,45,104,143
TXST,Free throw coming up... good!,Score,38,46,104,143
NCST,Tommy Chen Inside shot...Score!       Assisted by: Marc Ohara,Score,40,46,105,143
TXST,Michael Martin 3-point attempt...Missed!Rebounded by NCST Daniel Eide.,Score,40,46,106,143
NCST,Randall Shanks Inside shot... Missed with a foul on the play.,Fouled,40,46,107,143
NCST,Free throw coming up... good!,FreeThrow,41,46,107,143
NCST,Free throw coming up... good!,FreeThrow,42,46,107,143
TXST,Hugo Hernandez 2-point jumper...Missed!       Rebounded by NCST Aurelio Merino.,Score,42,46,108,143
NCST,Lucio Cardoza Inside shot...Score!,Score,44,46,109,143
TXST,Randall Nelson 2-point jumper... Missed but there is a foul on the play.,Foul,44,46,110,143
TXST,Free throw coming up... good!,FreeThrow,44,47,110,143
TXST,Free throw coming up... good!,FreeThrow,44,48,110,143
NCST,Brian Kane 2-point jumper...Score!       Assisted by: Phillip Smith,Score,46,48,111,143
TXST,Elias Havelka Inside shot...BLOCKED by Robert Dixon.       Rebounded by NCST Marc Ohara.,Turnover,46,48,112,143
NCST,Lucio Cardoza Inside shot...Score!       Assisted by: Loc Roy,Score,48,48,113,143
TXST,Richard Nave 3-point attempt...Missed!Rebounded by NCST Tommy Chen.,Score,48,48,114,143
NCST,Brian Kane 3-point attempt...Missed!       Rebounded by TXST Hugo Hernandez.,Miss,48,48,115,143
TXST,TXST: Offensive foul on TXST Richard Nave.,Turnover,48,48,116,143
NCST,Marc Ohara 3-point attempt...Score!       Assisted by: Aurelio Merino,Score,51,48,117,143
TXST,Roberto Quintana 3-point attempt...Score!,Score,51,51,118,143
NCST,Tommy Chen Inside shot...Score!       Assisted by: Aurelio Merino,Score,53,51,119,143
TXST,Roberto Quintana 2-point jumper...Missed!       Rebounded by TXST Hugo Hernandez.,Score,53,51,120,143
TXST,Richard Gamon 3-point attempt...Missed!       Rebounded by TXST Paul Bloom.,Score,53,51,121,143
TXST,Hugo Hernandez Inside shot...Missed!       Rebounded by NCST Marc Ohara.,Score,53,51,122,143
NCST,Lucio Cardoza 2-point jumper...Missed!       Rebounded by TXST Richard Nave.,Missed,53,51,123,143
TXST,Richard Nave Inside shot...BLOCKED by Aurelio Merino.       Rebounded by NCST Daniel Eide.,Turnover,53,51,124,143
NCST,NCST: Offensive foul on NCST Loc Roy.,Foul,53,51,125,143
TXST,David Garcia Inside shot...Score!,Score,53,53,126,143
NCST,NCST: Offensive foul on NCST Lucio Cardoza.,Foul,53,53,127,143
TXST,Randall Nelson 2-point jumper...Missed!       Rebounded by NCST Phillip Smith.,Score,53,53,128,143
NCST,Lucio Cardoza Inside shot...Score!,Score,55,53,129,143
TXST,Elias Havelka 2-point jumper...Missed!       Rebounded by NCST Randall Shanks.,Score,55,53,130,143
NCST,Marc Ohara 3-point attempt...Missed!       Rebounded by TXST Curt Clarke.,Miss,55,53,131,143
NCST,Phillip Smith steals the ball for NCST!,Turnover,55,53,132,143
NCST,Robert Dixon 2-point jumper...Missed!       Rebounded by NCST Brian Kane.,Missed,55,53,133,143
NCST,Tommy Chen 3-point attempt...Missed!       Rebounded by TXST Randall Nelson.,Miss,55,53,134,143
TXST,Paul Bloom 3-point attempt...Missed!Rebounded by NCST Loc Roy.,Score,55,53,135,143
NCST,Robert Dixon Inside shot...Score!,Score,57,53,136,143
TXST,Randall Nelson 3-point attempt...Missed!Rebounded by NCST Loc Roy.,Score,57,53,137,143
NCST,Robert Jackson Inside shot...Score!,Score,59,53,138,143
NCST,Marc Ohara steals the ball for NCST!,Turnover,59,53,139,143
NCST,Yang Flores 2-point jumper...Missed!       Rebounded by NCST Loc Roy.,Missed,59,53,140,143
NCST,Loc Roy Inside shot...Score!,Score,61,53,141,143
TXST,Hugo Hernandez 3-point attempt...Missed!Rebounded by NCST Daniel Eide.,Score,61,53,142,143
NCST,Brian Kane Inside shot...Score!,Score,63,53,143,143
TXST,Richard Nave Inside shot... Missed but with a foul on the play.,Fouled,63,53,144,143
TXST,Free throw coming up... good!,FreeThrow,63,54,144,143
TXST,Free throw coming up... good!,FreeThrow,63,55,144,143
,Match Complete,FinalScore,63,55,144,143
