HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
NEV,SJSU,55,57,146
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
NEV,NEV wins the tipoff!,Tipoff,0,0,0,146
NEV,NEV Justin Samuel lost the ball out of bounds.,Out of Bounds,0,0,1,146
SJSU,Michael Fennell Inside shot... Missed but with a foul on the play.,Fouled,0,0,2,146
SJSU,Free throw coming up... good!,FreeThrow,0,1,2,146
SJSU,Free throw coming up... good!,FreeThrow,0,2,2,146
NEV,Donald Worrell Inside shot...Missed!       Rebounded by SJSU Ling Wood.,Score,0,2,3,146
SJSU,James Sanders 3-point attempt...Missed!       Rebounded by SJSU Christopher Winter.,Score,0,2,4,146
SJSU,Michael Fennell Inside shot...Score!,Score,0,4,5,146
NEV,NEV: Shot clock violation on NEV Jess Soto.,Shot Clock Violation,0,4,6,146
SJSU,Christopher Winter Inside shot...Missed!       Rebounded by NEV Edward Dionizio.,Score,0,4,7,146
NEV,Edward Dionizio 3-point attempt...Score!       Assisted by: Darren George,Score,3,4,8,146
SJSU,Peter Oneal Inside shot...Score!,Score,3,6,9,146
NEV,NEV Richard Brazee lost the ball out of bounds.,Out of Bounds,3,6,10,146
SJSU,Michael Fennell 2-point jumper...Missed!       Rebounded by SJSU Michael Fennell.,Score,3,6,11,146
SJSU,Peter Oneal 3-point attempt...Score!       Assisted by: Ling Wood,Score,3,9,12,146
NEV,Justin Samuel 2-point jumper...Score!,Score,5,9,13,146
SJSU,Michael Fennell 2-point jumper...Score!       Assisted by: Peter Oneal,Score,5,11,14,146
NEV,Edward Dionizio 2-point jumper...Missed!       Rebounded by SJSU Christopher Winter.,Missed,5,11,15,146
SJSU,SJSU Jay Hovey lost the ball out of bounds.,Turnover,5,11,16,146
NEV,Todd Sigmund Inside shot...Score!,Score,7,11,17,146
SJSU,James Sanders Inside shot...Score!       Assisted by: Peter Oneal,Score,7,13,18,146
NEV,NEV Justin Samuel lost the ball out of bounds.,Out of Bounds,7,13,19,146
SJSU,Jamie Heuer Inside shot...Missed!       Rebounded by NEV Edward Dionizio.,Score,7,13,21,146
SJSU,James Sanders steals the ball for SJSU!,Turnover,7,13,22,146
SJSU,Peter Oneal Inside shot... Missed but with a foul on the play.,Fouled,7,13,23,146
SJSU,Free throw coming up... rattled out.,FreeThrow,7,13,23,146
SJSU,Free throw coming up... good!,FreeThrow,7,14,23,146
NEV,Leon Mcdonald Inside shot...Score!       Assisted by: Darren George,Score,9,14,24,146
SJSU,Joseph Kasparek 2-point jumper...BLOCKED by Richard Brazee.       Rebounded by SJSU Peter Oneal.,Turnover,9,14,25,146
SJSU,Jamie Heuer Inside shot...Score!,Score,9,16,26,146
NEV,Michael Novacek Inside shot...BLOCKED by SJSU Michael Fennell.       Rebounded by SJSU Robert Campbell.,Turnover,9,16,27,146
SJSU,Robert Campbell 2-point jumper...Missed!       Rebounded by NEV Richard Brazee.,Score,9,16,28,146
NEV,Richard Brazee Inside shot...Score!       Assisted by: Samuel Hill,Score,11,16,29,146
SJSU,Ling Wood Inside shot...Score!       Assisted by: Jamie Heuer,Score,11,18,30,146
NEV,Justin Samuel 2-point jumper...Score!,Score,13,18,31,146
SJSU,Christopher Winter Inside shot...Score!       Assisted by: Ling Wood,Score,13,20,32,146
NEV,Justin Samuel 3-point attempt...Missed!       Rebounded by SJSU Edward Maze.,Miss,13,20,33,146
NEV,Richard Brazee steals the ball for NEV!,Turnover,13,20,34,146
