HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
UNM,SDSU,68,64,142
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
SDSU,SDSU wins the tipoff!,Tipoff,0,0,0,142
SDSU,Rudy Foy 2-point jumper...Score!,Score,0,2,1,142
SDSU,Adolfo Acosta steals the ball for SDSU!,Turnover,0,2,2,142
SDSU,Peter Hanson 2-point jumper...Score!,Score,0,4,3,142
UNM,Harold Wood Inside shot... Missed with a foul on the play.,Fouled,0,4,4,142
UNM,Free throw coming up... good!,FreeThrow,1,4,4,142
SDSU,SDSU Ernest George lost the ball out of bounds.,Turnover,1,4,5,142
UNM,Ambrose Wilke 2-point jumper...Score!       Assisted by: Timothy Poole,Score,3,4,6,142
SDSU,Brian Spencer 3-point attempt...Score!,Score,3,7,7,142
UNM,Eugene Miller 2-point jumper...Missed!       Rebounded by SDSU Paul Cook.,Missed,3,7,8,142
SDSU,Adolfo Acosta 2-point jumper...Missed!       Rebounded by UNM Barry Mitchell.,Score,3,7,9,142
SDSU,Ernest George steals the ball for SDSU!,Turnover,3,7,10,142
SDSU,Brian Spencer Inside shot...Score!       Assisted by: Ernest George,Score,3,9,11,142
SDSU,Brian Spencer steals the ball for SDSU!,Turnover,3,9,12,142
SDSU,Brian Spencer 2-point jumper...Score!       Assisted by: Paul Iverson,Score,3,11,13,142
UNM,UNM: Offensive foul on UNM Nick Mendez.,Foul,3,11,14,142
SDSU,Paul Iverson 2-point jumper...Missed!       Rebounded by UNM Hipolito Damon.,Score,3,11,15,142
UNM,UNM Jonathan Gonzalez lost the ball out of bounds.,Out of Bounds,3,11,16,142
UNM,Chi Warsi steals the ball for UNM!,Turnover,3,11,17,142
UNM,Barry Mitchell 3-point attempt...Missed!       Rebounded by UNM Harold Wood.,Missed,3,11,18,142
UNM,Michael Gonzalez 3-point attempt...Score!,Score,6,11,19,142
SDSU,John Chacko 3-point attempt...Missed!Rebounded by UNM Barry Mitchell.,Score,6,11,20,142
UNM,Charles Park 2-point jumper...Missed!       Rebounded by UNM Hipolito Damon.,Missed,6,11,21,142
UNM,Michael Gonzalez Inside shot...Score!       Assisted by: Barry Mitchell,Score,8,11,22,142
SDSU,Adolfo Acosta Inside shot...Score!       Assisted by: Paul Iverson,Score,8,13,23,142
UNM,UNM: Offensive foul on UNM Hipolito Damon.,Foul,8,13,24,142
SDSU,Paul Iverson 3-point attempt...Missed!Rebounded by UNM Michael Gonzalez.,Score,8,13,25,142
UNM,Robert Davis Inside shot...Score!,Score,10,13,26,142
SDSU,Cameron Champagne Inside shot...Score!,Score,10,15,27,142
UNM,Michael Gonzalez 2-point jumper...Score!,Score,12,15,28,142
SDSU,Paul Iverson Inside shot...Score! Fouled and we have a free throw folks!,Score,12,17,29,142
SDSU,Free throw coming up... good!,FreeThrow,12,18,29,142
UNM,Nick Mendez Inside shot...Score!,Score,14,18,30,142
SDSU,SDSU Ernie Mathur lost the ball out of bounds.,Turnover,14,18,31,142
SDSU,Cameron Champagne steals the ball for SDSU!,Turnover,14,18,32,142
SDSU,Ernest George 2-point jumper...Missed!       Rebounded by UNM Charles Park.,Score,14,18,33,142
UNM,Timothy Poole 2-point jumper...Missed!       Rebounded by UNM Harold Wood.,Missed,14,18,34,142
UNM,Charles Park Inside shot...Score!,Score,16,18,35,142
SDSU,Cameron Champagne 2-point jumper...Missed!       Rebounded by UNM Ambrose Wilke.,Score,16,18,36,142
UNM,Chi Warsi 3-point attempt...Missed!       Rebounded by SDSU Paul Iverson.,Miss,16,18,37,142
SDSU,Brian Spencer Inside shot... Missed but with a foul on the play.,Fouled,16,18,38,142
SDSU,Free throw coming up... good!,FreeThrow,16,19,38,142
SDSU,Free throw coming up... good!,FreeThrow,16,20,38,142
UNM,Hipolito Damon 2-point jumper...Missed!       Rebounded by SDSU Richard Simon.,Missed,16,20,39,142
SDSU,Cameron Champagne Inside shot...Score!,Score,16,22,40,142
UNM,UNM: Offensive foul on UNM Hipolito Damon.,Foul,16,22,41,142
SDSU,Richard Simon 2-point jumper...Missed!       Rebounded by UNM Nick Mendez.,Score,16,22,42,142
SDSU,Rudy Foy steals the ball for SDSU!,Turnover,16,22,43,142
SDSU,John Chacko 3-point attempt...Missed!Rebounded by UNM Charles Park.,Score,16,22,44,142
UNM,Charles Park Inside shot...Score!,Score,18,22,45,142
UNM,Michael Gonzalez steals the ball for UNM!,Turnover,18,22,46,142
UNM,Michael Gonzalez 3-point attempt...Missed!       Rebounded by UNM Ambrose Wilke.,Missed,18,22,47,142
UNM,Barry Mitchell 3-point attempt...Missed!       Rebounded by SDSU Richard Simon.,Miss,18,22,48,142
SDSU,SDSU: Offensive foul on SDSU Cameron Champagne.,Turnover,18,22,49,142
UNM,Ambrose Wilke 3-point attempt...Missed!       Rebounded by SDSU Cameron Champagne.,Miss,18,22,50,142
SDSU,Paul Cook Inside shot...Score!,Score,18,24,51,142
UNM,Chi Warsi Inside shot...Score!,Score,20,24,52,142
SDSU,Paul Iverson Inside shot...Missed!       Rebounded by UNM Barry Mitchell.,Score,20,24,53,142
UNM,UNM Charles Park lost the ball out of bounds.,Out of Bounds,20,24,54,142
SDSU,Adolfo Acosta 3-point attempt...Missed!Rebounded by UNM Robert Davis.,Score,20,24,55,142
UNM,Hilton Haggard Inside shot...Score!       Assisted by: Charles Park,Score,22,24,56,142
UNM,Nick Mendez steals the ball for UNM!,Turnover,22,24,57,142
UNM,Ambrose Wilke 2-point jumper...Score!,Score,24,24,58,142
SDSU,SDSU Paul Iverson lost the ball out of bounds.,Turnover,24,24,59,142
UNM,Timothy Poole 2-point jumper...Missed!       Rebounded by SDSU Cameron Champagne.,Missed,24,24,60,142
SDSU,Cameron Champagne 3-point attempt...Score!       Assisted by: Ernest George,Score,24,27,61,142
UNM,Hilton Haggard 2-point jumper...Score!       Assisted by: Barry Mitchell,Score,26,27,62,142
SDSU,Paul Iverson 3-point attempt...Missed!Rebounded by UNM Ambrose Wilke.,Score,26,27,63,142
UNM,Charles Park 3-point attempt...Score!       Assisted by: Hipolito Damon,Score,29,27,64,142
SDSU,Adolfo Acosta 2-point jumper...Missed!       Rebounded by UNM Hipolito Damon.,Score,29,27,65,142
SDSU,Adolfo Acosta steals the ball for SDSU!,Turnover,29,27,66,142
