HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
NW,MINN,57,51,158
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
NW,NW wins the tipoff!,Tipoff,0,0,0,141
MINN,James Winkler steals the ball for MINN!,Turnover,0,0,1,141
NW,Andy Niles steals the ball for NW!,Turnover,0,0,2,141
NW,Damian Lozano 2-point jumper... Missed with a foul on the play.,Turnover,0,0,3,141
NW,Damian Lozano 2-point jumper... Missed with a foul on the play.,FreeThrow,1,0,3,141
NW,Damian Lozano 2-point jumper... Missed with a foul on the play.,FreeThrow,2,0,3,141
MINN,Alvin Dahl 2-point jumper...Score!       Assisted by: Benny Smith,Score,2,2,4,141
NW,Clinton Yeager 2-point jumper...Missed!       Rebounded by MINN Calvin Smith.,Missed,2,2,5,141
MINN,Daniel Harris 2-point jumper...BLOCKED by Derek Royal.       Rebounded by NW Kenneth Hughes.,Turnover,2,2,6,141
NW,Richard Mcdaniel Inside shot...Score!,Score,4,2,7,141
MINN,Calvin Smith 2-point jumper...Score!,Score,4,4,8,141
NW,Clinton Yeager 2-point jumper...Score!,Score,6,4,9,141
MINN,Daniel Harris 3-point attempt...Missed!       Rebounded by MINN James Winkler.,Score,6,4,10,141
NW,Andy Niles steals the ball for NW!,Turnover,6,4,11,141
NW,Andy Niles 3-point attempt...Missed!       Rebounded by MINN Alvin Dahl.,Miss,6,4,12,141
MINN,Calvin Smith 3-point attempt...Missed!Rebounded by NW Harold Banks.,Score,6,4,13,141
NW,James Lamar Inside shot...Score!,Score,8,4,14,141
MINN,Benny Smith 2-point jumper...Missed!       Rebounded by NW Brandon Barnes.,Score,8,4,15,141
NW,Richard Mcdaniel 2-point jumper...Missed!       Rebounded by MINN Alvin Dahl.,Missed,8,4,16,141
MINN,James Winkler Inside shot...BLOCKED by Miguel Valdez.       Rebounded by MINN Calvin Smith.,Turnover,8,4,17,141
MINN,Gregory Carden 2-point jumper...Score!,Score,8,6,18,141
MINN,Calvin Smith steals the ball for MINN!,Turnover,8,6,19,141
MINN,James Winkler Inside shot...Score!       Assisted by: Calvin Smith,Score,8,8,21,141
NW,Harold Banks 2-point jumper...Missed!       Rebounded by MINN James Kuehn.,Missed,8,8,22,141
MINN,Calvin Smith 3-point attempt...Missed!       Rebounded by MINN Calvin Smith.,Score,8,8,23,141
MINN,Alvin Dahl 2-point jumper...Score!,Score,8,10,24,141
NW,Andy Niles 3-point attempt...Missed!       Rebounded by MINN Calvin Smith.,Miss,8,10,25,141
MINN,Gregory Lotts 2-point jumper...Missed!       Rebounded by NW Mark Cotner.,Score,8,10,26,141
NW,Brandon Barnes 2-point jumper...Missed!       Rebounded by MINN James Kuehn.,Missed,8,10,27,141
MINN,Calvin Smith 2-point jumper...Missed!       Rebounded by MINN Michael Hornbeck.,Score,8,10,28,141
MINN,Gregory Carden 2-point jumper...Missed!       Rebounded by NW Brandon Barnes.,Score,8,10,30,141
MINN,Daniel Harris steals the ball for MINN!,Turnover,8,10,31,141
MINN,Frank Diamond Inside shot... Missed but with a foul on the play.,Fouled,8,10,32,141
MINN,Free throw coming up... rattled out.,FreeThrow,8,10,32,141
MINN,Free throw coming up... good!,FreeThrow,8,11,32,141
NW,Brandon Barnes Inside shot... Missed with a foul on the play.,Fouled,8,11,33,141
