HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
ND,LOU,68,72,159
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
ND,ND wins the tipoff!,Tipoff,0,0,0,159
LOU,Antonio Rios steals the ball for LOU!,Turnover,0,0,1,159
LOU,Bennie Ward 2-point jumper...Missed!       Rebounded by LOU Gerald Miller.,Score,0,0,2,159
LOU,LOU: Offensive foul on LOU Ping Kim.,Turnover,0,0,3,159
ND,Louis Clapp Inside shot...Score!,Score,2,0,4,159
LOU,Andrew Wood Inside shot... Missed but with a foul on the play.,Fouled,2,0,5,159
LOU,Free throw coming up... good!,FreeThrow,2,1,5,159
LOU,Free throw coming up... good!,FreeThrow,2,2,5,159
ND,Paul Campbell 3-point attempt...Missed!       Rebounded by LOU Ping Kim.,Miss,2,2,6,159
LOU,Ping Kim 2-point jumper...Missed!       Rebounded by ND Robert Young.,Score,2,2,7,159
ND,Louis Clapp 2-point jumper...Score!,Score,4,2,8,159
LOU,Paul Dunaway 3-point attempt...Missed!Rebounded by ND Larry Erickson.,Score,4,2,9,159
ND,Larry Erickson Inside shot...Score!,Score,6,2,10,159
LOU,Antonio Rios Inside shot... Missed but with a foul on the play.,Fouled,6,2,11,159
LOU,Free throw coming up... good!,FreeThrow,6,3,11,159
LOU,Free throw coming up... good!,FreeThrow,6,4,11,159
ND,Alex Covarrubias 3-point attempt...Missed!       Rebounded by LOU Victor Manning.,Miss,6,4,12,159
ND,Alex Covarrubias steals the ball for ND!,Turnover,6,4,13,159
ND,Robert Young Inside shot...Score!       Assisted by: Robert Moynihan,Score,8,4,14,159
LOU,LOU Gerald Miller lost the ball out of bounds.,Turnover,8,4,15,159
ND,Paul Campbell Inside shot...Score!,Score,10,4,16,159
ND,Alex Covarrubias steals the ball for ND!,Turnover,10,4,17,159
ND,Louis Clapp Inside shot...Score!,Score,12,4,18,159
ND,Francisco Miguel steals the ball for ND!,Turnover,12,4,19,159
ND,Louis Clapp 2-point jumper...Score!       Assisted by: Paul Campbell,Score,14,4,20,159
LOU,Bennie Ward 2-point jumper...Missed!       Rebounded by ND Robert Moynihan.,Score,14,4,21,159
ND,Joseph Matt Inside shot...Score! Foul on the play and one!       Assisted by: Larry Erickson,Score,16,4,22,159
ND,Free throw coming up... good!,FreeThrow,17,4,22,159
LOU,Andrew Wood Inside shot...Score!,Score,17,6,23,159
ND,Jimmy Parker 2-point jumper...Missed!       Rebounded by LOU Ping Kim.,Missed,17,6,24,159
ND,Paul Campbell steals the ball for ND!,Turnover,17,6,25,159
ND,Alex Covarrubias 2-point jumper...Missed!       Rebounded by LOU Derek Sandhu.,Missed,17,6,26,159
