HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
OKLA,KSST,67,64,148
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
OKLA,OKLA wins the tipoff!,Tipoff,0,0,0,148
OKLA,OKLA: Offensive foul on OKLA William Vaccarezza.,Foul,0,0,1,148
KSST,Richard Shoemaker 3-point attempt...Missed!Rebounded by OKLA William Vaccarezza.,Score,0,0,2,148
OKLA,William Vaccarezza 2-point jumper...Score!,Score,2,0,3,148
KSST,Marco Gutierrez 3-point attempt... Missed with a foul on the play.,Fouled,2,0,4,148
KSST,       Free throw coming up... good!,FreeThrow,2,1,4,148
OKLA,Bruce Kurtz Inside shot...BLOCKED by KSST Joseph Pigeon.       Rebounded by OKLA Devon Yeats.,Turnover,2,1,5,148
OKLA,OKLA: Offensive foul on OKLA Scott Harmon.,Foul,2,1,6,148
KSST,Gary Deras 2-point jumper...Missed!       Rebounded by OKLA Bruce Kurtz.,Score,2,1,7,148
OKLA,Robert Sheaffer Inside shot...Score!,Score,4,1,8,148
KSST,KSST: Shot clock violation on KSST Qiang Ramirez.,Turnover,4,1,9,148
OKLA,Devon Yeats 2-point jumper...Score!,Score,6,1,10,148
KSST,Richard Shoemaker Inside shot...BLOCKED by William Ralli.       Rebounded by KSST Jack Adkins.,Turnover,6,1,11,148
KSST,Qiang Ramirez 3-point attempt...Score!       Assisted by: Jack Adkins,Score,6,4,12,148
OKLA,Devon Yeats 2-point jumper...Missed!       Rebounded by OKLA Bruce Kurtz.,Missed,6,4,13,148
OKLA,Cuong Huang 2-point jumper...Score!,Score,8,4,14,148
KSST,Qiang Ramirez 3-point attempt...Score!       Assisted by: Joseph Pigeon,Score,8,7,15,148
OKLA,Cuong Huang 2-point jumper...Missed!       Rebounded by OKLA Jessie Duan.,Missed,8,7,16,148
OKLA,Charles Chestnut 2-point jumper...Missed!       Rebounded by OKLA Jessie Duan.,Missed,8,7,17,148
OKLA,Thomas Mullins 3-point attempt...Missed!       Rebounded by KSST George Snyder.,Miss,8,7,18,148
KSST,KSST: Offensive foul on KSST Jack Adkins.,Turnover,8,7,19,148
OKLA,Jessie Duan 2-point jumper...Score!,Score,10,7,20,148
OKLA,Robert Sheaffer steals the ball for OKLA!,Turnover,10,7,21,148
OKLA,William Vaccarezza Inside shot...Score!,Score,12,7,22,148
KSST,Nicholas Sgroi 2-point jumper...Missed!       Rebounded by OKLA Charles Chestnut.,Score,12,7,23,148
OKLA,OKLA Cuong Huang lost the ball out of bounds.,Out of Bounds,12,7,24,148
KSST,George Snyder 2-point jumper...Score!,Score,12,9,25,148
OKLA,Robert Sheaffer Inside shot...Score!       Assisted by: Cuong Huang,Score,14,9,26,148
KSST,KSST: Offensive foul on KSST Gary Deras.,Turnover,14,9,27,148
OKLA,Charles Chestnut 3-point attempt...Score!       Assisted by: Cuong Huang,Score,17,9,28,148
KSST,KSST Qiang Ramirez lost the ball out of bounds.,Turnover,17,9,29,148
