HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
PAC,UCI,68,75,149
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
UCI,UCI wins the tipoff!,Tipoff,0,0,0,149
UCI,Raymon Frasier 3-point attempt...Score!,Score,0,3,1,149
PAC,Reginald Parson Inside shot...Score!,Score,2,3,2,149
UCI,Chris Cook 3-point attempt...Score!       Assisted by: Moises Rowley,Score,2,6,3,149
PAC,Ismail Nichols 2-point jumper...Missed!       Rebounded by UCI Larry Reed.,Missed,2,6,4,149
UCI,Jeffrey Reber Inside shot...Score! Fouled and we have a free throw folks!       Assisted by: Moises Rowley,Score,2,8,5,149
UCI,       Free throw coming up... rattled out.       Rebounded by UCI Jeffrey Reber.,FreeThrow,2,8,5,149
UCI,James Taylor 3-point attempt...Missed!       Rebounded by UCI Moises Rowley.,Score,2,8,6,149
UCI,UCI Moises Rowley lost the ball out of bounds.,Turnover,2,8,7,149
PAC,Reginald Parson 3-point attempt...Missed!       Rebounded by UCI Henry Gonzales.,Miss,2,8,8,149
UCI,James Taylor 3-point attempt...Score!       Assisted by: Larry Reed,Score,2,11,9,149
PAC,Frederick Voss 2-point jumper...Score!,Score,4,11,10,149
UCI,Moises Rowley 3-point attempt...Score!       Assisted by: Chris Cook,Score,4,14,11,149
PAC,Jerry Lawson 2-point jumper...Missed!       Rebounded by UCI Jerry Bell.,Missed,4,14,12,149
PAC,Justin Austin steals the ball for PAC!,Turnover,4,14,13,149
PAC,PAC Daniel Ida lost the ball out of bounds.,Out of Bounds,4,14,14,149
UCI,Larry Reed 3-point attempt...Missed!Rebounded by PAC Justin Austin.,Score,4,14,15,149
PAC,Justin Austin 2-point jumper...Missed!       Rebounded by PAC Justin Austin.,Missed,4,14,17,149
PAC,Reginald Parson 2-point jumper...Missed!       Rebounded by PAC Jerry Lawson.,Missed,4,14,18,149
PAC,Kenneth Nito 2-point jumper...Missed!       Rebounded by PAC Jerry Lawson.,Missed,4,14,19,149
PAC,PAC: Offensive foul on PAC Christopher Jirjis.,Foul,4,14,20,149
UCI,Henry Gonzales 3-point attempt...Score!       Assisted by: Moises Rowley,Score,4,17,21,149
PAC,PAC Daniel Ida lost the ball out of bounds.,Out of Bounds,4,17,22,149
UCI,Larry Reed 2-point jumper...BLOCKED by Ismail Nichols.       Rebounded by PAC Reginald Parson.,Turnover,4,17,23,149
PAC,Daniel Ida 2-point jumper...Missed!       Rebounded by UCI Moises Rowley.,Missed,4,17,24,149
UCI,David Brooks 2-point jumper...Missed!       Rebounded by PAC Ismail Nichols.,Score,4,17,25,149
PAC,Reginald Parson Inside shot...Score! Foul on the play and one!       Assisted by: Jerry Lawson,Score,6,17,26,149
PAC,Free throw coming up... good!,FreeThrow,7,17,26,149
PAC,Christopher Jirjis steals the ball for PAC!,Turnover,7,17,27,149
PAC,Jerry Lawson 3-point attempt...Score!       Assisted by: Justin Austin,Score,10,17,28,149
PAC,Ismail Nichols steals the ball for PAC!,Turnover,10,17,29,149
PAC,Reginald Parson Inside shot...Score!,Score,12,17,30,149
UCI,UCI Moises Rowley lost the ball out of bounds.,Turnover,12,17,31,149
PAC,William Payne 2-point jumper...Score!       Assisted by: Christopher Jirjis,Score,14,17,32,149
UCI,Raymon Frasier 3-point attempt...Score!       Assisted by: Jerry Bell,Score,14,20,33,149
UCI,Jeffrey Reber steals the ball for UCI!,Turnover,14,20,34,149
UCI,Henry Gonzales 2-point jumper...Score!,Score,14,22,35,149
PAC,Christopher Jirjis Inside shot...Score! Foul on the play and one!,Score,16,22,36,149
PAC,Free throw coming up... rattled out.       Rebounded by UCI Henry Gonzales.,FreeThrow,16,22,36,149
UCI,UCI Henry Gonzales lost the ball out of bounds.,Turnover,16,22,37,149
PAC,Frederick Voss 3-point attempt...Missed!       Rebounded by UCI Larry Reed.,Miss,16,22,38,149
UCI,UCI: Offensive foul on UCI Larry Reed.,Turnover,16,22,39,149
PAC,PAC: Offensive foul on PAC Justin Austin.,Foul,16,22,40,149
UCI,James Taylor 3-point attempt...BLOCKED by PAC Reginald Parson.       Rebounded by UCI Moises Rowley.,Turnover,16,22,41,149
UCI,Larry Reed Inside shot...Score!,Score,16,24,42,149
PAC,Daniel Ida 3-point attempt...Missed!       Rebounded by UCI James Taylor.,Miss,16,24,43,149
UCI,Henry Gonzales 3-point attempt...Missed!Rebounded by PAC Ismail Nichols.,Score,16,24,44,149
PAC,Jerry Lawson Inside shot...Score! Foul on the play and one!,Score,18,24,45,149
PAC,Free throw coming up... good!,FreeThrow,19,24,45,149
UCI,Henry Gonzales Inside shot...Score!       Assisted by: Moises Rowley,Score,19,26,46,149
PAC,Reginald Parson Inside shot...Missed!       Rebounded by PAC Reginald Parson.,Score,19,26,47,149
PAC,Justin Austin Inside shot...Score!       Assisted by: Jerry Lawson,Score,21,26,48,149
UCI,Jerry Bell 3-point attempt...Score!       Assisted by: James Taylor,Score,21,29,49,149
PAC,Jerry Lawson Inside shot...Score!       Assisted by: Kenneth Nito,Score,23,29,50,149
UCI,Larry Reed 3-point attempt...Score!       Assisted by: James Taylor,Score,23,32,51,149
PAC,Daniel Ida Inside shot...Score! Foul on the play and one!,Score,25,32,52,149
PAC,Free throw coming up... good!,FreeThrow,26,32,52,149
UCI,UCI: Offensive foul on UCI Jeffrey Reber.,Turnover,26,32,53,149
UCI,Henry Gonzales steals the ball for UCI!,Turnover,26,32,54,149
UCI,Henry Gonzales Inside shot...Score!,Score,26,34,55,149
PAC,Andre Harper 3-point attempt...Missed!       Rebounded by UCI Jerry Bell.,Miss,26,34,56,149
UCI,Moises Rowley 3-point attempt...Missed!       Rebounded by UCI Jerry Bell.,Score,26,34,57,149
UCI,James Taylor 2-point jumper...Score!,Score,26,36,58,149
PAC,Ismail Nichols Inside shot...Score!,Score,28,36,59,149
UCI,UCI: Shot clock violation on UCI James Taylor.,Turnover,28,36,60,149
PAC,Ismail Nichols Inside shot...Missed!       Rebounded by PAC Justin Austin.,Score,28,36,61,149
PAC,Ismail Nichols Inside shot...Score! Foul on the play and one!       Assisted by: Christopher Jirjis,Score,30,36,62,149
PAC,Free throw coming up... good!,FreeThrow,31,36,62,149
UCI,Larry Reed 2-point jumper...Missed!       Rebounded by PAC Kenneth Nito.,Score,31,36,63,149
PAC,Jerry Lawson 3-point attempt...Score!       Assisted by: Daniel Ida,Score,34,36,64,149
UCI,Moises Rowley Inside shot...Score!       Assisted by: James Taylor,Score,34,38,65,149
PAC,Reginald Parson 2-point jumper...Missed!       Rebounded by UCI Jeffrey Reber.,Missed,34,38,66,149
