HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
PEPP,GONZ,64,80,134
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
GONZ,GONZ wins the tipoff!,Tipoff,0,0,0,134
GONZ,Russell Garcia 3-point attempt...Score!,Score,0,3,1,134
PEPP,PEPP: Offensive foul on PEPP Rajendra Huynh.,Foul,0,3,2,134
PEPP,Rajendra Huynh steals the ball for PEPP!,Turnover,0,3,3,134
PEPP,Michael Albaugh Inside shot...Score!,Score,2,3,4,134
GONZ,Matthew Kelley Inside shot...Score!,Score,2,5,5,134
PEPP,Michael Albaugh 2-point jumper...Score!,Score,4,5,6,134
GONZ,Jeffrey Mccullough 2-point jumper...Score!       Assisted by: Russell Garcia,Score,4,7,7,134
PEPP,David Mayfield 3-point attempt...Missed!       Rebounded by GONZ Russell Garcia.,Miss,4,7,8,134
GONZ,Russell Garcia Inside shot...Score!,Score,4,9,9,134
PEPP,Jonathan Brandt Inside shot...BLOCKED by GONZ Clifford Cutshall.       Rebounded by GONZ William Cox.,Turnover,4,9,10,134
GONZ,Gregory Gatza 2-point jumper...Missed!       Rebounded by PEPP David Mayfield.,Score,4,9,11,134
PEPP,Rajendra Huynh 3-point attempt...Score!       Assisted by: Charles Hodges,Score,7,9,12,134
GONZ,Jeffrey Mccullough Inside shot...Score!       Assisted by: Kirk Haverkos,Score,7,11,13,134
GONZ,Russell Garcia steals the ball for GONZ!,Turnover,7,11,14,134
GONZ,Gregory Gatza Inside shot...Score!,Score,7,13,15,134
PEPP,Rajendra Huynh 2-point jumper...Missed!       Rebounded by GONZ Joaquin Reyes.,Missed,7,13,16,134
GONZ,Joaquin Reyes 2-point jumper...Missed!       Rebounded by GONZ Gregory Gatza.,Score,7,13,17,134
GONZ,Darrel Jordan 3-point attempt...Missed!Rebounded by PEPP Travis Sullivan.,Score,7,13,18,134
PEPP,Mauricio Jimenez Inside shot...Missed!       Rebounded by PEPP Mauricio Jimenez.,Score,7,13,19,134
PEPP,Rajendra Huynh 3-point attempt...Score!       Assisted by: Mauricio Jimenez,Score,10,13,20,134
GONZ,Gregory Gatza 3-point attempt...Missed!Rebounded by PEPP David Mayfield.,Score,10,13,21,134
PEPP,Joel Jennings 2-point jumper...Missed!       Rebounded by GONZ Russell Garcia.,Missed,10,13,22,134
PEPP,Thomas Shaffer steals the ball for PEPP!,Turnover,10,13,23,134
PEPP,Mauricio Jimenez 2-point jumper...Score!       Assisted by: Travis Sullivan,Score,12,13,24,134
GONZ,Gregory Gatza Inside shot...BLOCKED by Thomas Shaffer.       Rebounded by PEPP Michael Albaugh.,Turnover,12,13,25,134
PEPP,Enrique Morrison Inside shot... Missed with a foul on the play.,Fouled,12,13,26,134
PEPP,Free throw coming up... good!,FreeThrow,13,13,26,134
PEPP,Free throw coming up... good!,FreeThrow,14,13,26,134
GONZ,Ronald Kelley Inside shot...Missed!       Rebounded by PEPP David Mayfield.,Score,14,13,27,134
PEPP,Travis Sullivan 2-point jumper...Missed!       Rebounded by GONZ Gregory Gatza.,Missed,14,13,28,134
GONZ,Kirk Haverkos Inside shot...Score! Fouled and we have a free throw folks!       Assisted by: Russell Garcia,Score,14,15,29,134
GONZ,Free throw coming up... good!,FreeThrow,14,16,29,134
PEPP,David Mayfield 2-point jumper...Missed!       Rebounded by PEPP Mauricio Jimenez.,Missed,14,16,30,134
PEPP,David Mayfield Inside shot...Score!       Assisted by: Ryan Bryant,Score,16,16,31,134
GONZ,William Cox Inside shot...Missed!       Rebounded by PEPP David Mayfield.,Score,16,16,32,134
PEPP,Michael Albaugh Inside shot...Score!,Score,18,16,33,134
GONZ,Matthew Kelley Inside shot...Score! Fouled and we have a free throw folks!       Assisted by: Darrel Jordan,Score,18,18,34,134
GONZ,       Free throw coming up... rattled out.       Rebounded by GONZ David Bidle.,FreeThrow,18,18,34,134
GONZ,Kirk Haverkos 2-point jumper...Score!,Score,18,20,35,134
PEPP,Jonathan Brandt 2-point jumper...Missed!       Rebounded by GONZ William Cox.,Missed,18,20,36,134
GONZ,Kirk Haverkos Inside shot...BLOCKED by Thomas Shaffer.       Rebounded by PEPP Mauricio Jimenez.,Turnover,18,20,37,134
PEPP,David Mayfield 2-point jumper... Missed with a foul on the play.,Turnover,18,20,38,134
PEPP,David Mayfield 2-point jumper... Missed with a foul on the play.,FreeThrow,19,20,38,134
PEPP,David Mayfield 2-point jumper... Missed with a foul on the play.,FreeThrow,20,20,38,134
GONZ,Joaquin Reyes 2-point jumper...Missed!       Rebounded by PEPP David Mayfield.,Score,20,20,39,134
PEPP,Fred Vazquez 2-point jumper...Missed!       Rebounded by GONZ Darrel Jordan.,Missed,20,20,40,134
GONZ,Jeffrey Mccullough 2-point jumper...Score!,Score,20,22,41,134
PEPP,Jonathan Brandt 2-point jumper...BLOCKED by GONZ Kirk Haverkos.       Rebounded by GONZ Matthew Kelley.,Turnover,20,22,43,134
GONZ,Russell Garcia Inside shot...Score!,Score,20,24,44,134
PEPP,Travis Sullivan 3-point attempt...BLOCKED by GONZ Joaquin Reyes.       Rebounded by PEPP Thomas Shaffer.,Score,20,24,45,134
PEPP,Travis Sullivan 2-point jumper...Missed!       Rebounded by GONZ Russell Garcia.,Missed,20,24,46,134
GONZ,Jeffrey Mccullough Inside shot...Score!,Score,20,26,47,134
PEPP,David Mayfield Inside shot... Missed with a foul on the play.,Fouled,20,26,48,134
PEPP,Free throw coming up... good!,FreeThrow,21,26,48,134
PEPP,Free throw coming up... good!,FreeThrow,22,26,48,134
GONZ,Jeffrey Mccullough 3-point attempt...Score!       Assisted by: Kirk Haverkos,Score,22,29,49,134
PEPP,Rajendra Huynh 2-point jumper...Score!       Assisted by: Michael Albaugh,Score,24,29,50,134
GONZ,Gregory Gatza 3-point attempt...Missed!Rebounded by PEPP Fred Vazquez.,Score,24,29,51,134
PEPP,Fred Vazquez 2-point jumper...Missed!       Rebounded by GONZ Gregory Gatza.,Missed,24,29,52,134
