HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
PITT,VT,70,62,149
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
PITT,PITT wins the tipoff!,Tipoff,0,0,0,149
PITT,PITT: Offensive foul on PITT Robert Belyeu.,Foul,0,0,1,149
VT,VT Larry Check lost the ball out of bounds.,Turnover,0,0,2,149
PITT,PITT Joseph Lee lost the ball out of bounds.,Out of Bounds,0,0,3,149
VT,Bradley Smith Inside shot...Score!       Assisted by: Vincent Bennett,Score,0,2,4,149
PITT,Paramjit Bui 2-point jumper...Missed!       Rebounded by VT Ryan Hitt.,Missed,0,2,5,149
VT,Ryan Hitt 2-point jumper...Missed!       Rebounded by VT Kyle Papai.,Score,0,2,6,149
VT,Linh Hayashi Inside shot...Score!       Assisted by: Thomas Swanson,Score,0,4,7,149
PITT,Gabriel Fernandez 2-point jumper...Missed!       Rebounded by VT David Vanauken.,Missed,0,4,8,149
VT,Thomas Swanson Inside shot...Score!       Assisted by: David Vanauken,Score,0,6,9,149
PITT,PITT Timothy Clemmons lost the ball out of bounds.,Out of Bounds,0,6,10,149
VT,Linh Hayashi Inside shot...Score!,Score,0,8,11,149
PITT,Brock Burks 2-point jumper...Score!,Score,2,8,12,149
VT,David Vanauken 2-point jumper...Score!       Assisted by: Thomas Swanson,Score,2,10,13,149
PITT,Tan Begum Inside shot... Missed with a foul on the play.,Fouled,2,10,14,149
PITT,Free throw coming up... good!,FreeThrow,3,10,14,149
PITT,Free throw coming up... good!,FreeThrow,4,10,14,149
PITT,John Barrett steals the ball for PITT!,Turnover,4,10,15,149
PITT,Timothy Clemmons 2-point jumper...Missed!       Rebounded by PITT Douglas Disney.,Missed,4,10,16,149
PITT,Anthony Choi 2-point jumper...Missed!       Rebounded by VT Vincent Bennett.,Missed,4,10,17,149
VT,VT: Offensive foul on VT Anthony Danne.,Turnover,4,10,18,149
PITT,Joseph Lee 2-point jumper...Score!       Assisted by: Paramjit Bui,Score,6,10,19,149
VT,Linh Hayashi 2-point jumper...Missed!       Rebounded by PITT Fernando Aguirre.,Score,6,10,20,149
PITT,Fernando Aguirre 3-point attempt...Missed!       Rebounded by VT Douglas Barton.,Miss,6,10,21,149
PITT,Brock Burks steals the ball for PITT!,Turnover,6,10,22,149
PITT,PITT Timothy Clemmons lost the ball out of bounds.,Out of Bounds,6,10,23,149
VT,David Vanauken 3-point attempt...Missed!       Rebounded by VT Alex Arguelles.,Score,6,10,24,149
VT,Douglas Barton 2-point jumper...Missed!       Rebounded by PITT Fernando Aguirre.,Score,6,10,25,149
PITT,PITT: Offensive foul on PITT Brock Burks.,Foul,6,10,26,149
VT,Rickey Brown 3-point attempt...Missed!Rebounded by PITT Timothy Clemmons.,Score,6,10,27,149
PITT,Robert Belyeu 2-point jumper...Missed!       Rebounded by PITT Gabriel Fernandez.,Missed,6,10,28,149
PITT,Anthony Choi 2-point jumper...Missed!       Rebounded by VT Thomas Swanson.,Missed,6,10,29,149
VT,Alex Arguelles 2-point jumper...Score!,Score,6,12,30,149
PITT,Robert Belyeu 3-point attempt...Score!       Assisted by: Timothy Clemmons,Score,9,12,31,149
VT,Alex Arguelles 2-point jumper...Missed!       Rebounded by PITT Timothy Clemmons.,Score,9,12,32,149
PITT,Paramjit Bui Inside shot...Score!       Assisted by: Joseph Lee,Score,11,12,33,149
VT,Vincent Bennett 2-point jumper...Missed!       Rebounded by VT David Vanauken.,Score,11,12,34,149
