HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
PROV,HALL,75,58,142
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
HALL,HALL wins the tipoff!,Tipoff,0,0,0,142
HALL,Peter Hoxit 2-point jumper...Score!,Score,0,2,1,142
PROV,Imad Kim 2-point jumper...Score!,Score,2,2,2,142
HALL,German Ferguson 3-point attempt...Score!       Assisted by: Jie Vong,Score,2,5,3,142
PROV,Tommy Bryant 2-point jumper...Missed!       Rebounded by HALL Craig Francis.,Missed,2,5,4,142
HALL,German Ferguson 2-point jumper...Missed!       Rebounded by PROV Arnold Oeltjen.,Score,2,5,5,142
PROV,Imad Kim 3-point attempt...Score!       Assisted by: Kenneth Morgan,Score,5,5,6,142
HALL,Jie Vong Inside shot...BLOCKED by Imad Kim.       Rebounded by HALL Stephen Alexander.,Turnover,5,5,7,142
HALL,HALL Stephen Alexander lost the ball out of bounds.,Turnover,5,5,8,142
PROV,Kenneth Morgan 2-point jumper...Missed!       Rebounded by HALL Daniel Coronado.,Missed,5,5,9,142
PROV,Imad Kim steals the ball for PROV!,Turnover,5,5,10,142
PROV,Arnold Oeltjen 2-point jumper...Score!,Score,7,5,11,142
HALL,Peter Hoxit 3-point attempt...Score!       Assisted by: Justin Brunner,Score,7,8,12,142
PROV,Arnold Oeltjen Inside shot...Score!,Score,9,8,13,142
HALL,HALL Peter Senior lost the ball out of bounds.,Turnover,9,8,14,142
PROV,Timothy Kovalcik 2-point jumper...Score!,Score,11,8,15,142
HALL,HALL: Offensive foul on HALL Daniel Coronado.,Turnover,11,8,16,142
PROV,Sai Sunga 2-point jumper...Missed!       Rebounded by PROV Imad Kim.,Missed,11,8,17,142
HALL,Peter Senior steals the ball for HALL!,Turnover,11,8,18,142
HALL,German Ferguson 2-point jumper...Missed!       Rebounded by PROV Timothy Kovalcik.,Score,11,8,19,142
PROV,Frank Stabler 2-point jumper...Missed!       Rebounded by PROV Tommy Bryant.,Missed,11,8,20,142
PROV,Timothy Kovalcik 3-point attempt...Missed!       Rebounded by PROV Tommy Bryant.,Missed,11,8,21,142
PROV,Sai Sunga 2-point jumper...Score!       Assisted by: Imad Kim,Score,13,8,22,142
HALL,Justin Brunner Inside shot...Score!       Assisted by: William Abel,Score,13,10,23,142
HALL,German Ferguson steals the ball for HALL!,Turnover,13,10,24,142
HALL,Peter Senior Inside shot...Score!,Score,13,12,25,142
