HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
URI,GMU,80,68,146
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
GMU,GMU wins the tipoff!,Tipoff,0,0,0,146
GMU,Jay Gu 2-point jumper...Score!,Score,0,2,1,146
URI,Jason Newman Inside shot... Missed with a foul on the play.,Fouled,0,2,2,146
URI,Free throw coming up... good!,FreeThrow,1,2,2,146
URI,Free throw coming up... good!,FreeThrow,2,2,2,146
GMU,Kirk Lawson 2-point jumper...Missed!       Rebounded by URI Wallace Ancrum.,Score,2,2,3,146
URI,Sanjay Llanos Inside shot...Score!,Score,4,2,4,146
GMU,Edward Fisher 2-point jumper...BLOCKED by Mark Youtz.       Rebounded by URI Jason Newman.,Turnover,4,2,5,146
GMU,Michael Phillips steals the ball for GMU!,Turnover,4,2,6,146
GMU,Jay Gu 2-point jumper...Missed!       Rebounded by URI Wallace Ancrum.,Score,4,2,7,146
URI,Robert Madsen Inside shot...Score!,Score,6,2,8,146
GMU,Han Xiong 3-point attempt...Score!       Assisted by: Darren Marcellin,Score,6,5,9,146
URI,URI Sanjay Llanos lost the ball out of bounds.,Out of Bounds,6,5,10,146
GMU,Michael Zhou Inside shot...Score!,Score,6,7,11,146
GMU,Michael Phillips steals the ball for GMU!,Turnover,6,7,12,146
GMU,Michael Phillips 3-point attempt...Missed!Rebounded by URI Sanjay Llanos.,Score,6,7,13,146
URI,Richard Roso 2-point jumper...Missed!       Rebounded by GMU Seong Shen.,Missed,6,7,14,146
URI,Donald Phelps steals the ball for URI!,Turnover,6,7,15,146
URI,Jason Newman 2-point jumper...Score!       Assisted by: Richard Roso,Score,8,7,16,146
GMU,Kirk Lawson Inside shot...BLOCKED by Adam Thomas.       Rebounded by URI Wallace Ancrum.,Turnover,8,7,17,146
URI,URI Mark Youtz lost the ball out of bounds.,Out of Bounds,8,7,18,146
GMU,David Gray 3-point attempt...Missed!Rebounded by URI Wallace Ancrum.,Score,8,7,19,146
URI,Mark Youtz Inside shot...Score!       Assisted by: Jason Newman,Score,10,7,20,146
GMU,GMU Kirk Lawson lost the ball out of bounds.,Turnover,10,7,21,146
URI,URI Edward Kinnick lost the ball out of bounds.,Out of Bounds,10,7,22,146
GMU,Randall Howard 2-point jumper...Score!,Score,10,9,23,146
URI,Sanjay Llanos 3-point attempt...Score!,Score,13,9,24,146
GMU,Kirk Lawson 2-point jumper...Score!,Score,13,11,25,146
URI,Jason Newman 3-point attempt...Score!,Score,16,11,26,146
GMU,Darren Marcellin Inside shot...Score!       Assisted by: Michael Zhou,Score,16,13,27,146
