HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
RICE,WKU,70,66,147
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
RICE,RICE wins the tipoff!,Tipoff,0,0,0,147
RICE,Christopher Toms 2-point jumper...Score!,Score,2,0,1,147
WKU,Dennis Hefner 3-point attempt...Missed!       Rebounded by WKU Grover Palzer.,Score,2,0,2,147
WKU,Jim Kim Inside shot... Missed but with a foul on the play.,Fouled,2,0,3,147
WKU,Free throw coming up... rattled out.,FreeThrow,2,0,3,147
WKU,Free throw coming up... good!,FreeThrow,2,1,3,147
RICE,Christopher Toms 3-point attempt...Missed!       Rebounded by WKU Duane Phillips.,Miss,2,1,4,147
WKU,Jim Kim 2-point jumper...Missed!       Rebounded by WKU Dustin Summerford.,Score,2,1,5,147
WKU,Michael Garberson 2-point jumper...Score!       Assisted by: Dustin Summerford,Score,2,3,6,147
WKU,Jim Kim steals the ball for WKU!,Turnover,2,3,7,147
WKU,Dustin Summerford Inside shot...Score!       Assisted by: Duane Phillips,Score,2,5,8,147
RICE,Daniel Sanders Inside shot... Missed with a foul on the play.,Fouled,2,5,9,147
RICE,Free throw coming up... good!,FreeThrow,3,5,9,147
WKU,Steven Lalumiere Inside shot... Missed but with a foul on the play.,Fouled,3,5,10,147
WKU,Free throw coming up... good!,FreeThrow,3,6,10,147
WKU,Free throw coming up... rattled out.       Rebounded by RICE Ramon Yanez.,FreeThrow,3,6,10,147
RICE,Daniel Hood 3-point attempt...Missed!       Rebounded by WKU Dustin Summerford.,Miss,3,6,11,147
RICE,Christopher Toms steals the ball for RICE!,Turnover,3,6,12,147
RICE,Frederick English 2-point jumper...Missed!       Rebounded by RICE Christopher Toms.,Missed,3,6,13,147
RICE,Frederick English Inside shot...Missed!       Rebounded by WKU Duane Phillips.,Score,3,6,14,147
WKU,Jim Kim 3-point attempt...Score!       Assisted by: Dennis Hefner,Score,3,9,15,147
RICE,Daniel Hood 2-point jumper...Missed!       Rebounded by WKU Samuel Krishnamoorthy.,Missed,3,9,16,147
WKU,Steven Lalumiere 2-point jumper...Missed!       Rebounded by RICE Ramon Yanez.,Score,3,9,17,147
RICE,Jorge Hernandez 2-point jumper...BLOCKED by WKU Samuel Krishnamoorthy.       Rebounded by RICE Earl Davis.,Turnover,3,9,18,147
RICE,Dong Asuega 2-point jumper...Missed!       Rebounded by WKU Michael Garberson.,Missed,3,9,19,147
WKU,Jim Kim 3-point attempt...Missed!Rebounded by RICE Ramon Yanez.,Score,3,9,20,147
RICE,Frederick English 2-point jumper...Missed!       Rebounded by WKU Jim Kim.,Missed,3,9,21,147
WKU,Jim Kim Inside shot...Missed!       Rebounded by RICE Daniel Sanders.,Score,3,9,22,147
RICE,Thomas Bright 3-point attempt...Missed!       Rebounded by WKU Dustin Summerford.,Miss,3,9,23,147
WKU,Samuel Krishnamoorthy Inside shot...Score!,Score,3,11,24,147
RICE,Ramon Yanez Inside shot...Score!       Assisted by: Jorge Hernandez,Score,5,11,25,147
WKU,Duane Phillips 2-point jumper...Score!,Score,5,13,26,147
RICE,Frederick English 2-point jumper...Missed!       Rebounded by RICE Daniel Sanders.,Missed,5,13,27,147
RICE,Jorge Hernandez 3-point attempt...Score!       Assisted by: Daniel Hood,Score,8,13,28,147
WKU,Jon Cochran Inside shot... Missed but with a foul on the play.,Fouled,8,13,29,147
WKU,Free throw coming up... good!,FreeThrow,8,14,29,147
WKU,Free throw coming up... good!,FreeThrow,8,15,29,147
WKU,Samuel Krishnamoorthy steals the ball for WKU!,Turnover,8,15,30,147
RICE,Christopher Toms steals the ball for RICE!,Turnover,8,15,31,147
RICE,Frederick English Inside shot...Score!       Assisted by: Dong Asuega,Score,10,15,32,147
WKU,Dustin Summerford 3-point attempt...Missed!Rebounded by RICE Earl Davis.,Score,10,15,33,147
RICE,Ramon Yanez Inside shot... Missed with a foul on the play.,Fouled,10,15,34,147
RICE,Free throw coming up... good!,FreeThrow,11,15,34,147
RICE,Free throw coming up... rattled out.       Rebounded by WKU Duane Phillips.,FreeThrow,11,15,34,147
WKU,Dennis Hefner Inside shot...Score!,Score,11,17,35,147
RICE,Daniel Sanders 2-point jumper...BLOCKED by WKU Grover Palzer.       Rebounded by RICE Ramon Yanez.,Turnover,11,17,36,147
RICE,Ian Harris Inside shot...Score!,Score,13,17,37,147
WKU,Gregory Bender 3-point attempt...Score!,Score,13,20,38,147
RICE,Frederick English 2-point jumper...Score!,Score,15,20,39,147
WKU,Samuel Krishnamoorthy 2-point jumper...Missed!       Rebounded by RICE Daniel Sanders.,Score,15,20,40,147
RICE,Earl Davis Inside shot...Score!       Assisted by: Ramon Yanez,Score,17,20,41,147
RICE,Christopher Toms steals the ball for RICE!,Turnover,17,20,42,147
RICE,Earl Davis Inside shot...BLOCKED by WKU Samuel Krishnamoorthy.       Rebounded by WKU Duane Phillips.,Turnover,17,20,43,147
WKU,Grover Palzer 3-point attempt...Missed!Rebounded by RICE Earl Davis.,Score,17,20,45,147
RICE,Daniel Sanders Inside shot...Score! Foul on the play and one!       Assisted by: Christopher Toms,Score,19,20,46,147
RICE,Free throw coming up... rattled out.       Rebounded by RICE Earl Davis.,FreeThrow,19,20,46,147
RICE,James Hopkins 2-point jumper...BLOCKED by WKU Samuel Krishnamoorthy.       Rebounded by RICE James Hopkins.,Turnover,19,20,47,147
RICE,Jorge Hernandez Inside shot...Score!,Score,21,20,48,147
WKU,Timothy Mallory 3-point attempt...Missed!       Rebounded by WKU Dustin Summerford.,Score,21,20,49,147
WKU,Dennis Hefner Inside shot...Score!       Assisted by: Jim Kim,Score,21,22,50,147
RICE,Dong Asuega Inside shot...Score!,Score,23,22,51,147
WKU,Steven Lalumiere 3-point attempt... Missed with a foul on the play.,Fouled,23,22,52,147
WKU,       Free throw coming up... good!,FreeThrow,23,23,52,147
WKU,Steven Lalumiere 3-point attempt... Missed with a foul on the play.,FreeThrow,23,23,52,147
WKU,Jim Kim 3-point attempt...Missed!Rebounded by RICE Christopher Toms.,Score,23,23,53,147
RICE,Dong Asuega 2-point jumper...Missed!       Rebounded by WKU Dustin Summerford.,Missed,23,23,54,147
