HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
RICH,MASS,45,58,144
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
RICH,RICH wins the tipoff!,Tipoff,0,0,0,144
RICH,Patrick Parks Inside shot...Score!,Score,2,0,1,144
MASS,Derrick Dowdell 2-point jumper...BLOCKED by Robert Travis.       Rebounded by RICH Franklin Cotto.,Turnover,2,0,2,144
RICH,Patrick Parks Inside shot...Missed!       Rebounded by MASS James Hoxie.,Score,2,0,3,144
MASS,Brian Price Inside shot...BLOCKED by Todd Stepter.       Rebounded by RICH Franklin Cotto.,Turnover,2,0,4,144
RICH,Franklin Cotto 3-point attempt...Score!       Assisted by: Jeffrey Brownlow,Score,5,0,5,144
MASS,MASS: Offensive foul on MASS Randall Olmstead.,Turnover,5,0,6,144
RICH,Franklin Cotto 3-point attempt...Missed!       Rebounded by MASS Darryl Carter.,Miss,5,0,7,144
MASS,Derrick Dowdell Inside shot... Missed but with a foul on the play.,Fouled,5,0,8,144
MASS,Free throw coming up... good!,FreeThrow,5,1,8,144
MASS,Free throw coming up... good!,FreeThrow,5,2,8,144
RICH,Jay Teeter 2-point jumper...BLOCKED by MASS Brian Price.       Rebounded by MASS Richard Dowd.,Turnover,5,2,9,144
MASS,Darryl Carter Inside shot...Score!,Score,5,4,10,144
RICH,RICH Jeffrey Brownlow lost the ball out of bounds.,Out of Bounds,5,4,11,144
MASS,Randall Olmstead Inside shot...Score!,Score,5,6,12,144
RICH,Arthur Fine Inside shot...Score!       Assisted by: Jeffrey Brownlow,Score,7,6,13,144
MASS,Jeffrey Carothers Inside shot...Score!       Assisted by: Darryl Carter,Score,7,8,14,144
RICH,Robert Travis Inside shot...BLOCKED by MASS Darryl Carter.       Rebounded by RICH Robert Travis.,Turnover,7,8,15,144
RICH,RICH Jay Teeter lost the ball out of bounds.,Out of Bounds,7,8,16,144
MASS,Darryl Carter Inside shot... Missed but with a foul on the play.,Fouled,7,8,17,144
MASS,Free throw coming up... good!,FreeThrow,7,9,17,144
MASS,Free throw coming up... good!,FreeThrow,7,10,17,144
RICH,Jeffrey Brownlow Inside shot...Missed!       Rebounded by MASS Richard Dowd.,Score,7,10,18,144
RICH,James Mitchell steals the ball for RICH!,Turnover,7,10,19,144
RICH,Alfredo Melgar 2-point jumper...Missed!       Rebounded by MASS Jeremy Strange.,Missed,7,10,20,144
MASS,MASS Jeremy Strange lost the ball out of bounds.,Turnover,7,10,21,144
RICH,Arthur Fine Inside shot...Score!       Assisted by: Jeffrey Brownlow,Score,9,10,22,144
MASS,Randall Olmstead Inside shot... Missed but with a foul on the play.,Fouled,9,10,23,144
MASS,Free throw coming up... rattled out.,FreeThrow,9,10,23,144
MASS,Free throw coming up... good!,FreeThrow,9,11,23,144
RICH,Robert Travis Inside shot...Score!       Assisted by: Christopher Mixon,Score,11,11,24,144
MASS,Randall Olmstead 2-point jumper...Missed!       Rebounded by RICH Arthur Fine.,Score,11,11,25,144
RICH,RICH Patrick Parks lost the ball out of bounds.,Out of Bounds,11,11,26,144
MASS,Richard Dowd Inside shot...Missed!       Rebounded by RICH Todd Stepter.,Score,11,11,27,144
RICH,Jeffrey Brownlow Inside shot...Missed!       Rebounded by RICH Franklin Cotto.,Score,11,11,28,144
RICH,Jeffrey Brownlow Inside shot... Missed with a foul on the play.,Fouled,11,11,29,144
RICH,Free throw coming up... rattled out.       Rebounded by RICH Todd Stepter.,FreeThrow,11,11,29,144
RICH,Patrick Parks 2-point jumper...Missed!       Rebounded by RICH Jay Teeter.,Missed,11,11,30,144
RICH,RICH: Offensive foul on RICH Patrick Parks.,Foul,11,11,31,144
MASS,Michael Watkins 2-point jumper...Missed!       Rebounded by RICH Jeffrey Schabacker.,Score,11,11,32,144
RICH,Jay Teeter Inside shot...Score!       Assisted by: Christopher Mixon,Score,13,11,33,144
MASS,MASS Brian Price lost the ball out of bounds.,Turnover,13,11,34,144
RICH,RICH: Offensive foul on RICH Patrick Parks.,Foul,13,11,35,144
MASS,MASS Timothy Torkelson lost the ball out of bounds.,Turnover,13,11,36,144
RICH,Alfredo Melgar Inside shot...BLOCKED by MASS Michael Watkins.       Rebounded by RICH Alfredo Melgar.,Turnover,13,11,37,144
RICH,James Mitchell 2-point jumper...Missed!       Rebounded by MASS Randall Olmstead.,Missed,13,11,38,144
MASS,MASS Darryl Carter lost the ball out of bounds.,Turnover,13,11,39,144
RICH,Jeffrey Schabacker 3-point attempt...Missed!       Rebounded by RICH Patrick Parks.,Missed,13,11,40,144
RICH,James Mitchell 2-point jumper...Missed!       Rebounded by MASS Darryl Carter.,Missed,13,11,41,144
MASS,Jeffrey Carothers Inside shot...Score!       Assisted by: Jeremy Strange,Score,13,13,42,144
RICH,Patrick Parks 2-point jumper...Missed!       Rebounded by MASS Randall Olmstead.,Missed,13,13,43,144
