HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
SMC,USD,74,75,164
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
SMC,SMC wins the tipoff!,Tipoff,0,0,0,146
USD,Keneth Pettit steals the ball for USD!,Turnover,0,0,1,146
USD,Keneth Pettit Inside shot...Missed!       Rebounded by SMC Philip Dirksen.,Score,0,0,2,146
SMC,Nicholas Garcia 3-point attempt...Missed!       Rebounded by USD Ralph Barnes.,Miss,0,0,3,146
USD,Keneth Pettit 2-point jumper...Score!,Score,0,2,5,146
SMC,Milind Hussain Inside shot...BLOCKED by USD John Hagerty.       Rebounded by USD Leopoldo Zuniga.,Turnover,0,2,6,146
USD,Kiet Soon Inside shot...Score!,Score,0,4,7,146
SMC,Michael Speed Inside shot...Score!,Score,2,4,8,146
USD,Ralph Barnes 2-point jumper...Missed!       Rebounded by USD Mario Spencer.,Score,2,4,10,146
USD,John Hagerty Inside shot...Score! Fouled and we have a free throw folks!,Score,2,6,11,146
USD,Free throw coming up... good!,FreeThrow,2,7,11,146
SMC,Michael Speed 3-point attempt...Missed!       Rebounded by USD Kiet Soon.,Miss,2,7,12,146
USD,John Hagerty Inside shot...BLOCKED by Nicholas Garcia.       Rebounded by SMC Abraham Lawson.,Turnover,2,7,13,146
SMC,Philip Dirksen 2-point jumper...Missed!       Rebounded by USD Ralph Barnes.,Missed,2,7,14,146
USD,John Hagerty Inside shot...Score! Fouled and we have a free throw folks!,Score,2,9,15,146
USD,       Free throw coming up... rattled out.       Rebounded by USD Ralph Barnes.,FreeThrow,2,9,15,146
USD,Keneth Pettit Inside shot...BLOCKED by Michael Speed.       Rebounded by SMC Nicholas Garcia.,Turnover,2,9,16,146
SMC,Reyes Partridge Inside shot...Score!,Score,4,9,17,146
USD,John Hagerty 2-point jumper...Missed!       Rebounded by USD Ralph Barnes.,Score,4,9,18,146
USD,Kiet Soon Inside shot...Score!       Assisted by: Mario Spencer,Score,4,11,19,146
SMC,Michael Speed Inside shot...BLOCKED by USD John Hagerty.       Rebounded by USD Leopoldo Zuniga.,Turnover,4,11,20,146
SMC,Milind Hussain steals the ball for SMC!,Turnover,4,11,21,146
SMC,Nicholas Garcia Inside shot...Score!       Assisted by: Philip Dirksen,Score,6,11,22,146
USD,USD: Offensive foul on USD Ralph Barnes.,Turnover,6,11,23,146
SMC,Philip Dirksen Inside shot...Score!       Assisted by: Michael Speed,Score,8,11,24,146
USD,Keneth Pettit 2-point jumper...Missed!       Rebounded by SMC Michael Speed.,Score,8,11,25,146
SMC,Michael Speed Inside shot...Score!       Assisted by: Abraham Lawson,Score,10,11,26,146
USD,Ralph Barnes 3-point attempt...Score!       Assisted by: Mario Spencer,Score,10,14,27,146
SMC,Milind Hussain Inside shot...BLOCKED by USD John Hagerty.       Rebounded by USD Kiet Soon.,Turnover,10,14,28,146
USD,Dennis Harris 2-point jumper...Missed!       Rebounded by USD Ralph Barnes.,Score,10,14,29,146
USD,Kiet Soon 3-point attempt...Missed!Rebounded by SMC Nicholas Garcia.,Score,10,14,30,146
SMC,Philip Dirksen Inside shot...BLOCKED by USD Keneth Pettit.       Rebounded by USD Kiet Soon.,Turnover,10,14,31,146
USD,Mario Spencer 3-point attempt...Missed!Rebounded by SMC Philip Dirksen.,Score,10,14,32,146
SMC,SMC: Offensive foul on SMC Milind Hussain.,Foul,10,14,33,146
USD,Leopoldo Zuniga 3-point attempt...Missed!Rebounded by SMC Philip Dirksen.,Score,10,14,34,146
SMC,Booker Lewandowski 3-point attempt...Missed!       Rebounded by USD Mack Flowers.,Miss,10,14,35,146
USD,Merrill Lowery 3-point attempt...Missed!Rebounded by SMC Nicholas Garcia.,Score,10,14,36,146
SMC,SMC Milind Hussain lost the ball out of bounds.,Out of Bounds,10,14,37,146
