HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
SCU,SF,71,57,141
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
SF,SF wins the tipoff!,Tipoff,0,0,0,141
SF,Andrew Neal 2-point jumper...Missed!       Rebounded by SCU Eugene Price.,Score,0,0,1,141
SCU,Larry Pavloski 3-point attempt...Score!       Assisted by: Trace Lecklider,Score,3,0,2,141
SF,Donald Filson Inside shot...Score!,Score,3,2,3,141
SCU,Juan Valencia Inside shot... Missed with a foul on the play.,Fouled,3,2,4,141
SCU,Free throw coming up... good!,FreeThrow,4,2,4,141
SCU,Free throw coming up... good!,FreeThrow,5,2,4,141
SF,Andrew Neal 2-point jumper...Missed!       Rebounded by SF Sriram Bhuiyan.,Score,5,2,6,141
SF,Joseph Bijou 3-point attempt...Missed!       Rebounded by SF Andrew Neal.,Score,5,2,7,141
SF,Christopher Engerman 3-point attempt...Missed!Rebounded by SCU Eugene Price.,Score,5,2,8,141
SCU,Giovanni Clemens 2-point jumper...Score!,Score,7,2,9,141
SCU,Giovanni Clemens steals the ball for SCU!,Turnover,7,2,10,141
SCU,Trace Lecklider 3-point attempt...Missed!       Rebounded by SF Donald Filson.,Miss,7,2,11,141
SF,Andrew Neal Inside shot... Missed but with a foul on the play.,Fouled,7,2,13,141
SF,Free throw coming up... rattled out.,FreeThrow,7,2,13,141
SF,Free throw coming up... good!,FreeThrow,7,3,13,141
SCU,Juan Valencia 3-point attempt...Missed!       Rebounded by SF Sriram Bhuiyan.,Miss,7,3,14,141
SF,Lloyd Ward 2-point jumper...Missed!       Rebounded by SCU Jared Atkinson.,Score,7,3,15,141
SCU,Steven Ramirez Inside shot...Score!       Assisted by: Eugene Price,Score,9,3,16,141
SF,Jeffrey Nocito 3-point attempt...Score!       Assisted by: Donald Filson,Score,9,6,17,141
SF,Jeffrey Nocito steals the ball for SF!,Turnover,9,6,18,141
SF,Christopher Engerman Inside shot...BLOCKED by Mark Joseph.       Rebounded by SCU Mark Joseph.,Turnover,9,6,19,141
SCU,SCU Jared Atkinson lost the ball out of bounds.,Out of Bounds,9,6,20,141
SCU,Eugene Price steals the ball for SCU!,Turnover,9,6,21,141
SCU,Jared Atkinson Inside shot... Missed with a foul on the play.,Fouled,9,6,22,141
SCU,Free throw coming up... good!,FreeThrow,10,6,22,141
SCU,Free throw coming up... good!,FreeThrow,11,6,22,141
SF,Christopher Engerman 2-point jumper...Missed!       Rebounded by SF Donald Filson.,Score,11,6,23,141
SF,Christopher Engerman 2-point jumper...Missed!       Rebounded by SCU Giovanni Clemens.,Score,11,6,24,141
SCU,Jared Atkinson 3-point attempt...Missed!       Rebounded by SF Jeffrey Nocito.,Miss,11,6,25,141
SF,Joseph Bijou 3-point attempt...Missed!       Rebounded by SF Christopher Engerman.,Score,11,6,26,141
SF,Jeffrey Nocito 3-point attempt...Missed!Rebounded by SCU Steven Ramirez.,Score,11,6,27,141
SCU,Eugene Price 2-point jumper...Score!,Score,13,6,28,141
SF,Daniel Bailey 2-point jumper...Score!,Score,13,8,29,141
SCU,Mark Joseph Inside shot...Score!       Assisted by: Trace Lecklider,Score,15,8,30,141
SF,Stanley Snell 2-point jumper...Missed!       Rebounded by SCU Steven Ramirez.,Score,15,8,31,141
SCU,Eugene Price 2-point jumper...Missed!       Rebounded by SCU Alex Wofford.,Missed,15,8,32,141
SCU,Giovanni Clemens Inside shot...BLOCKED by SF Joseph Bijou.       Rebounded by SCU James Mcfarland.,Turnover,15,8,33,141
SCU,Jared Atkinson Inside shot...Score!,Score,17,8,34,141
SF,Brian Loring 2-point jumper...Missed!       Rebounded by SCU Giovanni Clemens.,Score,17,8,35,141
SCU,Steven Ramirez 2-point jumper...Missed!       Rebounded by SF Donald Filson.,Missed,17,8,36,141
SF,SF Donald Filson lost the ball out of bounds.,Turnover,17,8,37,141
SCU,Nicholas Lein 2-point jumper...Score!       Assisted by: Steven Ramirez,Score,19,8,38,141
SF,Jeffrey Nocito 2-point jumper...Missed!       Rebounded by SF Christopher Engerman.,Score,19,8,39,141
SF,SF Sriram Bhuiyan lost the ball out of bounds.,Turnover,19,8,40,141
SCU,Giovanni Clemens Inside shot...Score!,Score,21,8,41,141
SF,SF: Shot clock violation on SF Joseph Bijou.,Turnover,21,8,43,141
SCU,Mark Joseph 2-point jumper...Missed!       Rebounded by SF Christopher Engerman.,Missed,21,8,44,141
SF,Joseph Bijou Inside shot... Missed but with a foul on the play.,Fouled,21,8,45,141
SF,Free throw coming up... good!,FreeThrow,21,9,45,141
SF,Free throw coming up... rattled out.       Rebounded by SCU Steven Ramirez.,FreeThrow,21,9,45,141
SF,Joseph Bijou steals the ball for SF!,Turnover,21,9,46,141
SF,Joseph Bijou Inside shot...Score!,Score,21,11,47,141
SCU,Mark Joseph Inside shot...Score!,Score,23,11,48,141
SF,SF: Offensive foul on SF Sriram Bhuiyan.,Turnover,23,11,49,141
SCU,Jared Atkinson Inside shot...Score!,Score,25,11,50,141
SF,Brian Loring Inside shot...Score! Fouled and we have a free throw folks!       Assisted by: Stanley Snell,Score,25,13,51,141
SF,Free throw coming up... good!,FreeThrow,25,14,51,141
SCU,Eugene Price 3-point attempt...Score!       Assisted by: Ralph Riche,Score,28,14,52,141
SF,Lloyd Ward Inside shot...Score!,Score,28,16,53,141
SCU,Eugene Price Inside shot...Score!,Score,30,16,54,141
SF,Christopher Engerman 2-point jumper...Missed!       Rebounded by SCU Mark Joseph.,Score,30,16,55,141
SCU,Mark Joseph Inside shot...Score!       Assisted by: Trace Lecklider,Score,32,16,56,141
SCU,Mark Joseph steals the ball for SCU!,Turnover,32,16,57,141
SF,Conrad Curry steals the ball for SF!,Turnover,32,16,58,141
SF,Sriram Bhuiyan Inside shot...Score!,Score,32,18,59,141
SCU,Steven Ramirez Inside shot...Score!       Assisted by: Giovanni Clemens,Score,34,18,60,141
SF,Christopher Engerman Inside shot... Missed but with a foul on the play.,Fouled,34,18,61,141
SF,Free throw coming up... good!,FreeThrow,34,19,61,141
SF,Free throw coming up... rattled out.       Rebounded by SCU Giovanni Clemens.,FreeThrow,34,19,61,141
SF,Joseph Bijou steals the ball for SF!,Turnover,34,19,62,141
SF,Brian Loring 3-point attempt...Score!       Assisted by: Sriram Bhuiyan,Score,34,22,63,141
SCU,Trace Lecklider Inside shot...Score!,Score,36,22,64,141
SF,Brian Loring 2-point jumper...Missed!       Rebounded by SCU Mark Joseph.,Score,36,22,65,141
SCU,SCU Giovanni Clemens lost the ball out of bounds.,Out of Bounds,36,22,66,141
SF,Stanley Snell 2-point jumper...Missed!       Rebounded by SCU Eugene Price.,Score,36,22,67,141
