HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
SEAU,PORT,57,69,141
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
PORT,PORT wins the tipoff!,Tipoff,0,0,0,141
PORT,Dillon Lefebvre 2-point jumper...Missed!       Rebounded by PORT Del Queen.,Score,0,0,1,141
PORT,Russ Sell 2-point jumper...Score!,Score,0,2,2,141
PORT,Harley Harden steals the ball for PORT!,Turnover,0,2,3,141
PORT,Erik Jacobs 3-point attempt...Score!       Assisted by: Dillon Lefebvre,Score,0,5,4,141
SEAU,Sean Sanchez 2-point jumper...Score!       Assisted by: Mckinley Napier,Score,2,5,5,141
PORT,Del Queen 2-point jumper...Score!,Score,2,7,6,141
SEAU,SEAU: Offensive foul on SEAU Numbers Neville.,Foul,2,7,7,141
PORT,Napoleon Conklin Inside shot...Score!,Score,2,9,8,141
SEAU,Fausto Krause 2-point jumper...Score!       Assisted by: Sean Sanchez,Score,4,9,9,141
PORT,PORT Quinn Legg lost the ball out of bounds.,Turnover,4,9,10,141
SEAU,Fausto Krause Inside shot... Missed with a foul on the play.,Fouled,4,9,11,141
SEAU,Free throw coming up... good!,FreeThrow,5,9,11,141
SEAU,Free throw coming up... good!,FreeThrow,6,9,11,141
PORT,PORT: Offensive foul on PORT Erik Jacobs.,Turnover,6,9,12,141
SEAU,Sean Sanchez 2-point jumper...BLOCKED by PORT Dillon Lefebvre.       Rebounded by PORT Harley Harden.,Turnover,6,9,13,141
PORT,Chuan To Inside shot...Score!       Assisted by: Maxwell Wills,Score,6,11,14,141
SEAU,Po Diana 2-point jumper...Score!,Score,8,11,15,141
PORT,Maxwell Wills Inside shot...Missed!       Rebounded by SEAU Sean Sanchez.,Score,8,11,16,141
SEAU,Zachery Hoyle Inside shot...BLOCKED by PORT Erik Jacobs.       Rebounded by SEAU Greg Chin.,Turnover,8,11,17,141
SEAU,Fausto Krause Inside shot...Missed!       Rebounded by PORT Del Queen.,Score,8,11,18,141
PORT,Harley Harden Inside shot...Score!,Score,8,13,19,141
SEAU,SEAU Numbers Neville lost the ball out of bounds.,Out of Bounds,8,13,20,141
PORT,Dalton Scanlon Inside shot...Score!,Score,8,15,21,141
SEAU,Arnulfo Leclair 2-point jumper...Missed!       Rebounded by SEAU Sean Sanchez.,Missed,8,15,22,141
SEAU,Sean Sanchez Inside shot... Missed with a foul on the play.,Fouled,8,15,23,141
SEAU,Free throw coming up... good!,FreeThrow,9,15,23,141
SEAU,Free throw coming up... good!,FreeThrow,10,15,23,141
PORT,Maxwell Wills Inside shot...Score!,Score,10,17,24,141
PORT,Maxwell Wills steals the ball for PORT!,Turnover,10,17,25,141
PORT,Nickolas Stubblefield Inside shot...Score!       Assisted by: Maxwell Wills,Score,10,19,26,141
SEAU,Numbers Neville Inside shot...Missed!       Rebounded by PORT Erik Jacobs.,Score,10,19,27,141
PORT,Harley Harden Inside shot...Score!       Assisted by: Quinn Legg,Score,10,21,28,141
SEAU,Numbers Neville 2-point jumper...Score!,Score,12,21,29,141
SEAU,Avery Quinones steals the ball for SEAU!,Turnover,12,21,30,141
SEAU,SEAU Zachery Hoyle lost the ball out of bounds.,Out of Bounds,12,21,31,141
PORT,Harley Harden Inside shot...Score!,Score,12,23,32,141
SEAU,Zachery Hoyle 2-point jumper...Missed!       Rebounded by PORT Nickolas Stubblefield.,Missed,12,23,33,141
PORT,Quinn Legg Inside shot...BLOCKED by Mckinley Napier.       Rebounded by PORT Erik Jacobs.,Turnover,12,23,34,141
PORT,Del Queen 2-point jumper...Missed!       Rebounded by PORT Quinn Legg.,Score,12,23,35,141
PORT,Quinn Legg 2-point jumper...Score!,Score,12,25,36,141
SEAU,Sean Sanchez Inside shot...Score!,Score,14,25,37,141
PORT,Freddy Kimble 2-point jumper...Missed!       Rebounded by SEAU Numbers Neville.,Score,14,25,38,141
SEAU,Sean Sanchez Inside shot...Score!       Assisted by: Mckinley Napier,Score,16,25,39,141
PORT,Maxwell Wills Inside shot...Score!,Score,16,27,40,141
SEAU,SEAU Numbers Neville lost the ball out of bounds.,Out of Bounds,16,27,41,141
PORT,Chuan To 2-point jumper...Missed!       Rebounded by SEAU Numbers Neville.,Score,16,27,42,141
SEAU,Sean Sanchez Inside shot... Missed with a foul on the play.,Fouled,16,27,43,141
SEAU,Free throw coming up... good!,FreeThrow,17,27,43,141
SEAU,Free throw coming up... good!,FreeThrow,18,27,43,141
PORT,Quinn Legg 2-point jumper...Missed!       Rebounded by PORT Del Queen.,Score,18,27,44,141
PORT,Maxwell Wills 3-point attempt...Missed!       Rebounded by PORT Quinn Legg.,Score,18,27,45,141
PORT,Harley Harden 3-point attempt...Missed!       Rebounded by PORT Dalton Scanlon.,Score,18,27,46,141
PORT,Quinn Legg 3-point attempt...Missed!Rebounded by SEAU Sean Sanchez.,Score,18,27,47,141
SEAU,Po Diana Inside shot... Missed with a foul on the play.,Fouled,18,27,48,141
SEAU,Free throw coming up... good!,FreeThrow,19,27,48,141
SEAU,Free throw coming up... rattled out.       Rebounded by PORT Chuan To.,FreeThrow,19,27,48,141
PORT,William Cooper Inside shot... Missed but with a foul on the play.,Fouled,19,27,49,141
PORT,Free throw coming up... rattled out.,FreeThrow,19,27,49,141
PORT,Free throw coming up... good!,FreeThrow,19,28,49,141
SEAU,Po Diana 2-point jumper...BLOCKED by PORT Del Queen.       Rebounded by PORT Del Queen.,Turnover,19,28,50,141
PORT,Quinn Legg Inside shot...Score!       Assisted by: Maxwell Wills,Score,19,30,51,141
PORT,Harley Harden steals the ball for PORT!,Turnover,19,30,52,141
PORT,Dillon Lefebvre Inside shot... Missed but with a foul on the play.,Fouled,19,30,53,141
PORT,Free throw coming up... good!,FreeThrow,19,31,53,141
PORT,Free throw coming up... good!,FreeThrow,19,32,53,141
PORT,Maxwell Wills steals the ball for PORT!,Turnover,19,32,54,141
PORT,Maxwell Wills Inside shot...Missed!       Rebounded by SEAU Sean Sanchez.,Score,19,32,55,141
PORT,Del Queen steals the ball for PORT!,Turnover,19,32,56,141
PORT,PORT Maxwell Wills lost the ball out of bounds.,Turnover,19,32,57,141
SEAU,Sean Sanchez 2-point jumper...Missed!       Rebounded by PORT Chuan To.,Missed,19,32,58,141
PORT,Erik Jacobs 3-point attempt...Missed!Rebounded by SEAU Marcelino Medeiros.,Score,19,32,59,141
SEAU,Po Diana 3-point attempt...Score!       Assisted by: Zachery Hoyle,Score,22,32,60,141
PORT,Dillon Lefebvre Inside shot...Score! Fouled and we have a free throw folks!       Assisted by: Nickolas Stubblefield,Score,22,34,61,141
PORT,Free throw coming up... good!,FreeThrow,22,35,61,141
SEAU,Fausto Krause 2-point jumper...Missed!       Rebounded by SEAU Po Diana.,Missed,22,35,62,141
PORT,Freddy Kimble steals the ball for PORT!,Turnover,22,35,63,141
