HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
SMU,CINC,87,61,157
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
CINC,CINC wins the tipoff!,Tipoff,0,0,0,157
CINC,Robert Lee 2-point jumper...Missed!       Rebounded by CINC James Phillips.,Score,0,0,1,157
CINC,Ronald Johnson 2-point jumper...BLOCKED by Dustin Cook.       Rebounded by CINC Joseph Coleman.,Turnover,0,0,2,157
CINC,James Phillips 2-point jumper...Missed!       Rebounded by CINC Ronald Johnson.,Score,0,0,3,157
CINC,Stephen Sturgis 2-point jumper...Missed!       Rebounded by SMU Patrick Brooks.,Score,0,0,4,157
SMU,Patrick Brooks Inside shot...Score!,Score,2,0,5,157
CINC,Vipul Fritsche 3-point attempt...Score!       Assisted by: David Fidler,Score,2,3,6,157
SMU,Anthony Nixon Inside shot...Score! Foul on the play and one!       Assisted by: Elton Peak,Score,4,3,7,157
SMU,Free throw coming up... good!,FreeThrow,5,3,7,157
CINC,Thomas Powell 2-point jumper...Missed!       Rebounded by SMU Jose Valle.,Score,5,3,8,157
SMU,Anthony Nixon 3-point attempt...Score!       Assisted by: Allen Delgado,Score,8,3,9,157
CINC,CINC Thomas Pew lost the ball out of bounds.,Turnover,8,3,10,157
SMU,Dustin Cook 3-point attempt...Missed!       Rebounded by CINC David Fidler.,Miss,8,3,11,157
CINC,CINC Jerome Hairston lost the ball out of bounds.,Turnover,8,3,12,157
SMU,Jose Valle 2-point jumper...Missed!       Rebounded by CINC David Fidler.,Missed,8,3,13,157
CINC,David Fidler Inside shot...Score!,Score,8,5,14,157
CINC,David Fidler steals the ball for CINC!,Turnover,8,5,15,157
CINC,Jerome Hairston Inside shot... Missed but with a foul on the play.,Fouled,8,5,16,157
CINC,Free throw coming up... good!,FreeThrow,8,6,16,157
CINC,Free throw coming up... good!,FreeThrow,8,7,16,157
SMU,Patrick Brooks 2-point jumper...Score!,Score,10,7,17,157
CINC,Vipul Fritsche Inside shot...Missed!       Rebounded by SMU Elton Peak.,Score,10,7,18,157
SMU,Elton Peak Inside shot...Score!,Score,12,7,19,157
CINC,David Fidler Inside shot...Score!,Score,12,9,20,157
SMU,Allen Delgado Inside shot...Score!,Score,14,9,21,157
CINC,Robert Lee 3-point attempt...Missed!Rebounded by SMU Anthony Nixon.,Score,14,9,22,157
SMU,Anthony Nixon 2-point jumper...Missed!       Rebounded by CINC David Fidler.,Missed,14,9,23,157
CINC,James Phillips 2-point jumper...Score!,Score,14,11,24,157
SMU,Patrick Brooks Inside shot...Score!       Assisted by: Allen Delgado,Score,16,11,25,157
CINC,Thomas Powell 2-point jumper...Missed!       Rebounded by SMU Patrick Brooks.,Score,16,11,26,157
SMU,Jose Valle 3-point attempt...Score!       Assisted by: Patrick Brooks,Score,19,11,27,157
CINC,Stephen Sturgis 3-point attempt...Score!,Score,19,14,28,157
SMU,Jose Valle Inside shot...BLOCKED by CINC Thomas Powell.       Rebounded by CINC David Fidler.,Turnover,19,14,29,157
CINC,James Phillips Inside shot...Score!,Score,19,16,30,157
SMU,Anthony Nixon Inside shot...Score!,Score,21,16,31,157
SMU,Dustin Cook steals the ball for SMU!,Turnover,21,16,32,157
SMU,Patrick Brooks 3-point attempt...Missed!       Rebounded by CINC Vipul Fritsche.,Miss,21,16,33,157
CINC,James Phillips Inside shot... Missed but with a foul on the play.,Fouled,21,16,34,157
CINC,Free throw coming up... rattled out.,FreeThrow,21,16,34,157
CINC,Free throw coming up... good!,FreeThrow,21,17,34,157
SMU,SMU: Shot clock violation on SMU Jose Valle.,Shot Clock Violation,21,17,35,157
CINC,James Phillips 2-point jumper...Missed!       Rebounded by SMU Anthony Nixon.,Score,21,17,36,157
SMU,Patrick Brooks Inside shot...Score!,Score,23,17,37,157
CINC,Thomas Powell 2-point jumper...Missed!       Rebounded by SMU Anthony Nixon.,Score,23,17,38,157
