HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
USA,CCU,71,63,141
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
USA,USA wins the tipoff!,Tipoff,0,0,0,141
USA,Barry Weder Inside shot...Score!       Assisted by: Scott Wilke,Score,2,0,1,141
CCU,Brent Estes Inside shot...Score!,Score,2,2,2,141
USA,USA Theodore Smith lost the ball out of bounds.,Out of Bounds,2,2,3,141
CCU,Marvin Denny 2-point jumper...Score!,Score,2,4,4,141
USA,Robert Buchanan 3-point attempt...Score!       Assisted by: Thomas Scheuring,Score,5,4,5,141
USA,Barry Weder steals the ball for USA!,Turnover,5,4,6,141
USA,Barry Weder 3-point attempt...Missed!       Rebounded by CCU Marvin Denny.,Miss,5,4,7,141
CCU,Vincent Kimball 2-point jumper...Missed!       Rebounded by USA Theodore Smith.,Score,5,4,8,141
USA,Theodore Smith 2-point jumper...Score!,Score,7,4,9,141
CCU,John Votava 2-point jumper...Missed!       Rebounded by USA Sergio Ventura.,Score,7,4,10,141
USA,Thomas Scheuring 2-point jumper...Missed!       Rebounded by CCU John Ott.,Missed,7,4,11,141
CCU,John Votava 3-point attempt...Score!       Assisted by: David Williams,Score,7,7,12,141
USA,Stephen Harvey 3-point attempt...Missed!       Rebounded by USA Theodore Smith.,Missed,7,7,13,141
USA,Jonathan Hines Inside shot...Score!,Score,9,7,14,141
CCU,Marvin Denny 2-point jumper...Missed!       Rebounded by CCU Frederick Taylor.,Score,9,7,15,141
CCU,James Nelson 2-point jumper...Score!,Score,9,9,16,141
USA,Barry Weder 2-point jumper...Score!       Assisted by: Stephen Harvey,Score,11,9,17,141
CCU,Frederick Taylor 2-point jumper...Missed!       Rebounded by USA Thomas Scheuring.,Score,11,9,18,141
CCU,Vincent Kimball steals the ball for CCU!,Turnover,11,9,19,141
CCU,Brent Estes 2-point jumper...Missed!       Rebounded by USA Theodore Smith.,Score,11,9,20,141
USA,USA Theodore Smith lost the ball out of bounds.,Out of Bounds,11,9,21,141
CCU,John Ott 2-point jumper...Score!,Score,11,11,22,141
USA,USA Scott Wilke lost the ball out of bounds.,Out of Bounds,11,11,23,141
CCU,David Williams 3-point attempt...Missed!Rebounded by USA Sergio Ventura.,Score,11,11,24,141
USA,Barry Weder 2-point jumper...Score!,Score,13,11,25,141
CCU,Marvin Denny 3-point attempt...Missed!Rebounded by USA Sergio Ventura.,Score,13,11,26,141
USA,Theodore Smith Inside shot...Score!       Assisted by: Stephen Harvey,Score,15,11,27,141
CCU,Frederick Taylor Inside shot...BLOCKED by Thomas Scheuring.       Rebounded by USA Barry Weder.,Turnover,15,11,28,141
USA,Stephen Harvey 3-point attempt...Score!       Assisted by: Sergio Ventura,Score,18,11,29,141
CCU,David Williams Inside shot...Score!       Assisted by: John Votava,Score,18,13,30,141
USA,Joseph Stratton Inside shot...Score!       Assisted by: Theodore Smith,Score,20,13,31,141
CCU,Daniel Sanchez Inside shot...Score!,Score,20,15,32,141
CCU,Vincent Kimball steals the ball for CCU!,Turnover,20,15,33,141
CCU,David Williams Inside shot...Score!,Score,20,17,34,141
USA,USA: Offensive foul on USA Sergio Ventura.,Foul,20,17,35,141
CCU,John Ott 3-point attempt...Missed!Rebounded by USA Scott Wilke.,Score,20,17,36,141
