HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
SOCA,UKEN,48,69,145
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
UKEN,UKEN wins the tipoff!,Tipoff,0,0,0,145
UKEN,Daryl Scott 2-point jumper...Missed!       Rebounded by SOCA Terrence Winstead.,Score,0,0,1,145
UKEN,Gerard Chaisson steals the ball for UKEN!,Turnover,0,0,2,145
UKEN,Daryl Scott 2-point jumper...Missed!       Rebounded by SOCA Aziz Chea.,Score,0,0,3,145
SOCA,Terrence Winstead 2-point jumper...Score! Foul on the play and one!,Score,2,0,4,145
SOCA,Free throw coming up... good!,FreeThrow,3,0,4,145
SOCA,John Schroeder steals the ball for SOCA!,Turnover,3,0,5,145
UKEN,Harry Shaffer steals the ball for UKEN!,Turnover,3,0,6,145
UKEN,Michael Stout Inside shot...BLOCKED by Brent Walker.       Rebounded by SOCA Santiago Rosas.,Turnover,3,0,7,145
SOCA,Brent Walker 2-point jumper...Missed!       Rebounded by UKEN Daryl Scott.,Missed,3,0,8,145
UKEN,Michael Stout 2-point jumper...Missed!       Rebounded by UKEN Gerard Chaisson.,Score,3,0,9,145
UKEN,Daryl Scott 2-point jumper...Missed!       Rebounded by SOCA Brent Wilson.,Score,3,0,10,145
SOCA,John Schroeder 3-point attempt...Missed!       Rebounded by SOCA Terrence Winstead.,Missed,3,0,11,145
SOCA,SOCA Brent Walker lost the ball out of bounds.,Out of Bounds,3,0,12,145
UKEN,Gerard Chaisson 2-point jumper...Missed!       Rebounded by UKEN Cyrus Rice.,Score,3,0,13,145
UKEN,Daryl Scott 2-point jumper...Score!       Assisted by: Michael Stout,Score,3,2,14,145
SOCA,Terrence Winstead Inside shot...Score!       Assisted by: Brent Walker,Score,5,2,15,145
UKEN,Harry Shaffer 2-point jumper...Score!       Assisted by: Joshua Colfer,Score,5,4,16,145
SOCA,Terrence Winstead Inside shot...Missed!       Rebounded by UKEN Gerard Chaisson.,Score,5,4,17,145
SOCA,Brent Walker steals the ball for SOCA!,Turnover,5,4,18,145
SOCA,Phuong Garrison 3-point attempt...Score!       Assisted by: John Schroeder,Score,8,4,19,145
UKEN,Michael Stout 3-point attempt...Missed!Rebounded by SOCA Brent Walker.,Score,8,4,20,145
UKEN,Gerard Chaisson steals the ball for UKEN!,Turnover,8,4,21,145
UKEN,Michael Stout 3-point attempt...Score!,Score,8,7,22,145
