HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
SDST,OHIO,83,87,184
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
SDST,SDST wins the tipoff!,Tipoff,0,0,0,146
SDST,SDST: Shot clock violation on SDST Tyler Clarke.,Shot Clock Violation,0,0,1,146
OHIO,OHIO: Offensive foul on OHIO Kevin Roberts.,Turnover,0,0,2,146
SDST,Rubin Cavazos 3-point attempt...Score!       Assisted by: Jeffrey Smith,Score,3,0,3,146
OHIO,Matthew Harker Inside shot...Score!,Score,3,2,4,146
SDST,Jeffrey Smith Inside shot...Score!       Assisted by: Michael Gilpin,Score,5,2,5,146
OHIO,Danny Chan Inside shot...Score! Fouled and we have a free throw folks!,Score,5,4,6,146
OHIO,       Free throw coming up... rattled out.       Rebounded by OHIO Gordon Johnson.,FreeThrow,5,4,6,146
OHIO,Gordon Johnson Inside shot... Missed but with a foul on the play.,Fouled,5,4,7,146
OHIO,Free throw coming up... good!,FreeThrow,5,5,7,146
OHIO,Free throw coming up... good!,FreeThrow,5,6,7,146
SDST,Michael Gilpin 3-point attempt...Missed!       Rebounded by OHIO Philip Layman.,Miss,5,6,8,146
OHIO,Kristopher Weatherspoon Inside shot...Score!       Assisted by: Philip Layman,Score,5,8,9,146
SDST,Jeffrey Smith 2-point jumper...Missed!       Rebounded by OHIO Jacob Almeida.,Missed,5,8,10,146
OHIO,Kristopher Weatherspoon Inside shot...Score!,Score,5,10,11,146
SDST,SDST Donnie Morrison lost the ball out of bounds.,Out of Bounds,5,10,12,146
OHIO,Gordon Johnson 2-point jumper...Missed!       Rebounded by OHIO Gordon Johnson.,Score,5,10,13,146
OHIO,Philip Layman Inside shot...Score!       Assisted by: Danny Chan,Score,5,12,14,146
SDST,Michael Gilpin Inside shot...Score!       Assisted by: Rubin Cavazos,Score,7,12,15,146
OHIO,Mark Richart 2-point jumper...Missed!       Rebounded by SDST Brian Johnson.,Score,7,12,16,146
SDST,Michael Gilpin 3-point attempt...Missed!       Rebounded by OHIO Philip Layman.,Miss,7,12,17,146
OHIO,Matthew Harker 2-point jumper...BLOCKED by Delbert Caldwell.       Rebounded by SDST Brian Johnson.,Turnover,7,12,18,146
SDST,SDST Delbert Caldwell lost the ball out of bounds.,Out of Bounds,7,12,19,146
OHIO,Matthew Harker 2-point jumper...Missed!       Rebounded by SDST Brian Johnson.,Score,7,12,20,146
OHIO,Philip Layman steals the ball for OHIO!,Turnover,7,12,21,146
SDST,Donnie Morrison steals the ball for SDST!,Turnover,7,12,22,146
SDST,Donnie Morrison Inside shot...Missed!       Rebounded by OHIO Matthew Harker.,Score,7,12,23,146
OHIO,Kevin Roberts Inside shot...Score!       Assisted by: Danny Chan,Score,7,14,24,146
SDST,Brian Johnson 2-point jumper...BLOCKED by OHIO Matthew Harker.       Rebounded by OHIO Gordon Johnson.,Turnover,7,14,25,146
OHIO,Philip Layman 2-point jumper...Score!,Score,7,16,26,146
SDST,Donnie Morrison Inside shot...Score!       Assisted by: Brian Johnson,Score,9,16,27,146
OHIO,Kevin Roberts 2-point jumper...Missed!       Rebounded by SDST Donnie Morrison.,Score,9,16,28,146
SDST,Donnie Morrison Inside shot...Score!       Assisted by: Rubin Cavazos,Score,11,16,29,146
OHIO,Richard Eberle 2-point jumper...BLOCKED by Jeffrey Smith.       Rebounded by OHIO Gordon Johnson.,Turnover,11,16,30,146
OHIO,Matthew Harker Inside shot...BLOCKED by Tyler Clarke.       Rebounded by SDST Brian Johnson.,Turnover,11,16,31,146
SDST,Michael Gilpin 2-point jumper...Missed!       Rebounded by OHIO Kevin Roberts.,Missed,11,16,32,146
OHIO,Kevin Roberts Inside shot...Score!,Score,11,18,33,146
SDST,Rubin Cavazos Inside shot...Score!,Score,13,18,34,146
OHIO,Gordon Johnson 3-point attempt...Missed!       Rebounded by OHIO Kevin Roberts.,Score,13,18,35,146
OHIO,Richard Eberle Inside shot...Score!       Assisted by: Danny Chan,Score,13,20,36,146
SDST,Jeffrey Smith 2-point jumper...Missed!       Rebounded by OHIO Kristopher Weatherspoon.,Missed,13,20,37,146
OHIO,Richard Eberle Inside shot...Score!,Score,13,22,38,146
SDST,Michael Gilpin Inside shot...Score!,Score,15,22,39,146
OHIO,Kevin Roberts Inside shot...Score!,Score,15,24,40,146
SDST,Donnie Morrison 3-point attempt...Missed!       Rebounded by SDST Michael Gilpin.,Missed,15,24,41,146
SDST,Delbert Caldwell 2-point jumper...Missed!       Rebounded by OHIO Matthew Harker.,Missed,15,24,42,146
OHIO,Matthew Harker 3-point attempt...Missed!Rebounded by SDST Brian Johnson.,Score,15,24,43,146
SDST,SDST Brian Johnson lost the ball out of bounds.,Out of Bounds,15,24,44,146
OHIO,Gordon Johnson 2-point jumper...Missed!       Rebounded by OHIO Richard Eberle.,Score,15,24,45,146
OHIO,Benjamin Lam 2-point jumper...Missed!       Rebounded by SDST Brian Johnson.,Score,15,24,46,146
SDST,Rubin Cavazos 2-point jumper...Score!,Score,17,24,47,146
OHIO,Matthew Harker Inside shot... Missed but with a foul on the play.,Fouled,17,24,48,146
OHIO,Free throw coming up... good!,FreeThrow,17,25,48,146
OHIO,Free throw coming up... good!,FreeThrow,17,26,48,146
SDST,Brian Johnson Inside shot...Score!       Assisted by: Rubin Cavazos,Score,19,26,49,146
OHIO,Gordon Johnson Inside shot...BLOCKED by Gregory Evans.       Rebounded by SDST Brian Johnson.,Turnover,19,26,50,146
SDST,Michael Gilpin 3-point attempt...Missed!       Rebounded by OHIO Gordon Johnson.,Miss,19,26,51,146
OHIO,Kristopher Weatherspoon 2-point jumper...Score!       Assisted by: Matthew Harker,Score,19,28,52,146
SDST,Rubin Cavazos 3-point attempt...Score!       Assisted by: Delbert Caldwell,Score,22,28,53,146
OHIO,Gordon Johnson 3-point attempt...Missed!       Rebounded by OHIO Philip Layman.,Score,22,28,54,146
OHIO,Danny Chan 2-point jumper...Score! Foul on the play and we go to a free throw!,Score,22,30,55,146
OHIO,Free throw coming up... good!,FreeThrow,22,31,55,146
OHIO,Danny Chan steals the ball for OHIO!,Turnover,22,31,56,146
OHIO,OHIO Gordon Johnson lost the ball out of bounds.,Turnover,22,31,57,146
OHIO,Philip Layman steals the ball for OHIO!,Turnover,22,31,58,146
OHIO,OHIO: Offensive foul on OHIO Mark Richart.,Turnover,22,31,59,146
SDST,Michael Gilpin Inside shot...Score!,Score,24,31,60,146
OHIO,OHIO Richard Eberle lost the ball out of bounds.,Turnover,24,31,61,146
SDST,Rubin Cavazos 2-point jumper...BLOCKED by OHIO Kevin Roberts.       Rebounded by OHIO Gordon Johnson.,Turnover,24,31,62,146
OHIO,Mark Richart 2-point jumper...Missed!       Rebounded by SDST Brian Johnson.,Score,24,31,63,146
SDST,Michael Gilpin Inside shot...Score!       Assisted by: Rubin Cavazos,Score,26,31,64,146
OHIO,Kristopher Weatherspoon 2-point jumper...Missed!       Rebounded by SDST Michael Gilpin.,Score,26,31,65,146
SDST,Rubin Cavazos 3-point attempt...Score!,Score,29,31,66,146
OHIO,Philip Layman 2-point jumper...Score!,Score,29,33,67,146
SDST,Gregory Evans Inside shot...Score!       Assisted by: Donnie Morrison,Score,31,33,68,146
OHIO,Richard Eberle 2-point jumper...Missed!       Rebounded by SDST Brian Johnson.,Score,31,33,69,146
SDST,Tyler Clarke Inside shot...Score!       Assisted by: Brian Johnson,Score,33,33,71,146
OHIO,Matthew Harker 2-point jumper...Score!,Score,33,35,72,146
