HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
USF,UMBC,61,58,144
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
USF,USF wins the tipoff!,Tipoff,0,0,0,144
USF,Brian Horvath 2-point jumper...BLOCKED by UMBC Paul Martinez.       Rebounded by UMBC Jack Long.,Turnover,0,0,1,144
UMBC,Derek Ignacio Inside shot...Missed!       Rebounded by USF Jesse Powell.,Score,0,0,2,144
USF,USF Minh Zhu lost the ball out of bounds.,Out of Bounds,0,0,3,144
UMBC,Derek Ignacio 2-point jumper...Score!       Assisted by: Blair Stiles,Score,0,2,4,144
USF,John Carey 2-point jumper...Score!,Score,2,2,5,144
UMBC,UMBC Paul Martinez lost the ball out of bounds.,Turnover,2,2,6,144
USF,Philip Onuska 2-point jumper...Missed!       Rebounded by UMBC Chang Berger.,Missed,2,2,7,144
USF,Jesse Powell steals the ball for USF!,Turnover,2,2,8,144
USF,USF Minh Zhu lost the ball out of bounds.,Out of Bounds,2,2,9,144
UMBC,Paul Martinez Inside shot...Score!       Assisted by: Blair Stiles,Score,2,4,10,144
USF,John Lacaze 2-point jumper...Score! Foul on the play and one!,Score,4,4,11,144
USF,Free throw coming up... good!,FreeThrow,5,4,11,144
UMBC,Paul Martinez Inside shot...Score!,Score,5,6,12,144
USF,James Taber Inside shot... Missed with a foul on the play.,Fouled,5,6,13,144
USF,Free throw coming up... good!,FreeThrow,6,6,13,144
USF,Free throw coming up... good!,FreeThrow,7,6,13,144
UMBC,Leonardo Fredrickson Inside shot...Score!       Assisted by: Robert Lampe,Score,7,8,14,144
UMBC,Humberto Martinez steals the ball for UMBC!,Turnover,7,8,15,144
UMBC,Chang Berger 2-point jumper...Score!,Score,7,10,16,144
USF,Charles Eisner 2-point jumper...Score!,Score,9,10,17,144
UMBC,Derek Ignacio 2-point jumper...Score! Foul on the play and we go to a free throw!,Score,9,12,18,144
UMBC,Free throw coming up... good!,FreeThrow,9,13,18,144
USF,John Lacaze Inside shot...Score!,Score,11,13,19,144
UMBC,Caleb Burton 2-point jumper...Score!,Score,11,15,20,144
USF,Charles Eisner Inside shot...BLOCKED by UMBC Humberto Martinez.       Rebounded by UMBC Jack Long.,Turnover,11,15,21,144
UMBC,UMBC Caleb Burton lost the ball out of bounds.,Turnover,11,15,22,144
USF,Alexander Stefanich Inside shot...Score!,Score,13,15,23,144
UMBC,Jack Long 2-point jumper...Missed!       Rebounded by USF Jesse Powell.,Score,13,15,24,144
USF,Charles Eisner 3-point attempt...Score!       Assisted by: Philip Onuska,Score,16,15,25,144
UMBC,Jack Long 2-point jumper...Score!       Assisted by: Paul Martinez,Score,16,17,26,144
