HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
USM,JMU,75,65,150
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
USM,USM wins the tipoff!,Tipoff,0,0,0,150
USM,Morris Bryant 3-point attempt...Missed!       Rebounded by JMU Devon Fenoglio.,Miss,0,0,1,150
JMU,David Egan 2-point jumper...Missed!       Rebounded by USM John Glover.,Score,0,0,2,150
USM,Paul Branch 3-point attempt...Missed!       Rebounded by USM Paul Branch.,Missed,0,0,3,150
USM,USM: Offensive foul on USM Thomas Coleman.,Foul,0,0,4,150
JMU,Patrick Xie 2-point jumper...Missed!       Rebounded by USM Trong Syed.,Score,0,0,5,150
USM,Mark Culwell 2-point jumper... Missed with a foul on the play.,Turnover,0,0,6,150
USM,Mark Culwell 2-point jumper... Missed with a foul on the play.,FreeThrow,1,0,6,150
JMU,Alan Habben Inside shot... Missed but with a foul on the play.,Fouled,1,0,7,150
JMU,Free throw coming up... good!,FreeThrow,1,1,7,150
JMU,Free throw coming up... good!,FreeThrow,1,2,7,150
USM,USM: Offensive foul on USM Mathew White.,Foul,1,2,8,150
JMU,Patrick Xie 2-point jumper...Missed!       Rebounded by USM Robert Jenkins.,Score,1,2,9,150
USM,Henry Scott 2-point jumper...Missed!       Rebounded by USM Henry Scott.,Missed,1,2,10,150
USM,Robert Jenkins 3-point attempt...Score!       Assisted by: Mark Culwell,Score,4,2,11,150
JMU,Devon Fenoglio 2-point jumper...Score!,Score,4,4,12,150
USM,John Glover 2-point jumper...Score!,Score,6,4,13,150
JMU,Larry Kim 2-point jumper...Missed!       Rebounded by USM Trong Syed.,Score,6,4,14,150
USM,USM: Shot clock violation on USM Donald Gwinn.,Shot Clock Violation,6,4,15,150
JMU,Alan Habben Inside shot...Score! Fouled and we have a free throw folks!       Assisted by: Patrick Xie,Score,6,6,16,150
JMU,Free throw coming up... good!,FreeThrow,6,7,16,150
USM,Morris Bryant 3-point attempt...Missed!       Rebounded by JMU David Egan.,Miss,6,7,17,150
JMU,David Egan 2-point jumper...Missed!       Rebounded by USM Trong Syed.,Score,6,7,18,150
USM,John Glover 3-point attempt...Missed!       Rebounded by JMU Kenneth Allen.,Miss,6,7,19,150
JMU,Kenneth Allen Inside shot...Score!,Score,6,9,20,150
USM,Thomas Coleman Inside shot...Score!       Assisted by: John Glover,Score,8,9,21,150
JMU,Patrick Xie 2-point jumper...Missed!       Rebounded by USM Mathew White.,Score,8,9,22,150
USM,Robert Jenkins 3-point attempt...Score!       Assisted by: Trong Syed,Score,11,9,23,150
USM,Mark Culwell steals the ball for USM!,Turnover,11,9,24,150
USM,Robert Jenkins 2-point jumper...Missed!       Rebounded by USM John Glover.,Missed,11,9,25,150
USM,John Glover 3-point attempt...Score!,Score,14,9,26,150
JMU,JMU: Offensive foul on JMU Matthew Douek.,Turnover,14,9,27,150
USM,USM Trong Syed lost the ball out of bounds.,Out of Bounds,14,9,28,150
JMU,Matthew Douek Inside shot...BLOCKED by Henry Scott.       Rebounded by USM Henry Scott.,Turnover,14,9,29,150
USM,Paul Branch 3-point attempt...Missed!       Rebounded by JMU Daniel Guzman.,Miss,14,9,31,150
USM,Mark Culwell steals the ball for USM!,Turnover,14,9,32,150
USM,Kevin Calkins 3-point attempt...Missed!       Rebounded by JMU Kenneth Allen.,Miss,14,9,33,150
JMU,Larry Kim 2-point jumper...Score!,Score,14,11,34,150
