HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
STAN,UTAH,75,49,146
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
UTAH,UTAH wins the tipoff!,Tipoff,0,0,0,146
UTAH,Hipolito Lerma 2-point jumper...Score!,Score,0,2,1,146
UTAH,Howard Wen steals the ball for UTAH!,Turnover,0,2,2,146
UTAH,Hipolito Lerma Inside shot...Score!,Score,0,4,3,146
STAN,Robert Akter Inside shot...Missed!       Rebounded by UTAH Martin Cintron.,Score,0,4,4,146
UTAH,Hipolito Lerma Inside shot...Score!,Score,0,6,5,146
STAN,Scott Larimer Inside shot...Score!,Score,2,6,6,146
UTAH,UTAH Kevin Hurst lost the ball out of bounds.,Turnover,2,6,7,146
UTAH,Shawn Fuller steals the ball for UTAH!,Turnover,2,6,8,146
UTAH,Martin Cintron 2-point jumper...Missed!       Rebounded by STAN Jeffrey Lawson.,Score,2,6,9,146
STAN,Darian Constant 2-point jumper...Missed!       Rebounded by UTAH Shawn Fuller.,Missed,2,6,10,146
UTAH,Hipolito Lerma 3-point attempt...Missed!       Rebounded by UTAH Howard Wen.,Score,2,6,11,146
UTAH,Timothy Plungis 2-point jumper...Score!       Assisted by: Brian Portnoy,Score,2,8,12,146
STAN,Scott Larimer 3-point attempt...Missed!       Rebounded by UTAH Shawn Fuller.,Miss,2,8,13,146
UTAH,Brian Portnoy 2-point jumper...Missed!       Rebounded by STAN Scott Larimer.,Score,2,8,14,146
STAN,Darryl Herd 2-point jumper...Missed!       Rebounded by UTAH Martin Cintron.,Missed,2,8,15,146
UTAH,UTAH Kenneth Brittain lost the ball out of bounds.,Turnover,2,8,16,146
STAN,John Anderson 2-point jumper...Score!,Score,4,8,17,146
UTAH,UTAH: Offensive foul on UTAH Timothy Plungis.,Turnover,4,8,18,146
STAN,John Anderson 3-point attempt...Score!       Assisted by: Darryl Herd,Score,7,8,20,146
UTAH,William Butman Inside shot... Missed but with a foul on the play.,Fouled,7,8,21,146
UTAH,Free throw coming up... rattled out.,FreeThrow,7,8,21,146
UTAH,Free throw coming up... good!,FreeThrow,7,9,21,146
STAN,Manuel Villegas 2-point jumper...Score!,Score,9,9,22,146
UTAH,Kenneth Brittain 3-point attempt...Missed!Rebounded by STAN Nigel Hall.,Score,9,9,23,146
STAN,Nigel Hall 2-point jumper...Score!,Score,11,9,24,146
UTAH,Martin Cintron 2-point jumper...Missed!       Rebounded by UTAH Martin Cintron.,Score,11,9,25,146
UTAH,Hipolito Lerma 2-point jumper...Missed!       Rebounded by STAN Robert Akter.,Score,11,9,26,146
STAN,Manuel Villegas Inside shot...Score!       Assisted by: Darryl Herd,Score,13,9,27,146
UTAH,Hipolito Lerma Inside shot...Score!,Score,13,11,28,146
STAN,Manuel Villegas 3-point attempt...Score!,Score,16,11,29,146
UTAH,James Nyman Inside shot...Missed!       Rebounded by UTAH Kenneth Brittain.,Score,16,11,30,146
UTAH,Damon Collins 3-point attempt...Missed!Rebounded by STAN George Gilliam.,Score,16,11,31,146
STAN,Jeffrey Lawson Inside shot...Score!       Assisted by: Manuel Villegas,Score,18,11,32,146
UTAH,Martin Cintron Inside shot...Score!       Assisted by: William Butman,Score,18,13,33,146
STAN,Scott Larimer 2-point jumper...Score!,Score,20,13,34,146
UTAH,Shawn Fuller 2-point jumper...BLOCKED by Manuel Villegas.       Rebounded by STAN Darryl Herd.,Turnover,20,13,35,146
STAN,Robert Akter Inside shot...Score!       Assisted by: Nigel Hall,Score,22,13,36,146
UTAH,Damon Collins 2-point jumper...Score!       Assisted by: Martin Cintron,Score,22,15,37,146
STAN,George Gilliam Inside shot...Score!,Score,24,15,38,146
UTAH,Damon Collins Inside shot...Score!       Assisted by: Martin Cintron,Score,24,17,39,146
STAN,STAN Scott Larimer lost the ball out of bounds.,Out of Bounds,24,17,40,146
UTAH,Brian Portnoy 3-point attempt...Missed!Rebounded by STAN Manuel Villegas.,Score,24,17,41,146
STAN,Scott Larimer 2-point jumper...Missed!       Rebounded by UTAH James Nyman.,Missed,24,17,42,146
UTAH,Martin Cintron 2-point jumper...Missed!       Rebounded by STAN Manuel Villegas.,Score,24,17,43,146
STAN,Robert Akter 2-point jumper...Missed!       Rebounded by STAN Darryl Herd.,Missed,24,17,44,146
STAN,Robert Akter Inside shot...Score!,Score,26,17,45,146
UTAH,Hipolito Lerma Inside shot...Score!       Assisted by: Kevin Hurst,Score,26,19,46,146
STAN,Robert Akter Inside shot...Score!       Assisted by: Jeffrey Lawson,Score,28,19,47,146
UTAH,Howard Wen Inside shot...Score!       Assisted by: Hipolito Lerma,Score,28,21,48,146
STAN,Darian Constant 2-point jumper...Score!       Assisted by: Manuel Villegas,Score,30,21,49,146
