HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
TCU,KANS,78,82,152
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
KANS,KANS wins the tipoff!,Tipoff,0,0,0,152
KANS,Jimmie Coleman 3-point attempt...Score!       Assisted by: Joseph Wingard,Score,0,3,1,152
TCU,James Melton Inside shot...Score!       Assisted by: Sean Anderson,Score,2,3,2,152
KANS,KANS Jimmie Coleman lost the ball out of bounds.,Turnover,2,3,3,152
TCU,TCU Edward Furr lost the ball out of bounds.,Out of Bounds,2,3,4,152
KANS,Jimmie Coleman Inside shot...Score!,Score,2,5,5,152
KANS,Ramon Duncan steals the ball for KANS!,Turnover,2,5,6,152
KANS,Ramon Duncan Inside shot...Score!       Assisted by: Donald Perez,Score,2,7,7,152
TCU,Lawrence Munoz Inside shot... Missed with a foul on the play.,Fouled,2,7,8,152
TCU,Free throw coming up... rattled out.       Rebounded by KANS Kevin Lukacs.,FreeThrow,2,7,8,152
KANS,Kevin Lukacs Inside shot...Score!,Score,2,9,9,152
TCU,Edward Furr Inside shot...Score!       Assisted by: Sean Anderson,Score,4,9,10,152
KANS,Joseph Wingard Inside shot...Missed!       Rebounded by TCU Sean Anderson.,Score,4,9,11,152
TCU,Edward Furr 3-point attempt...Missed!       Rebounded by KANS Louis Carter.,Miss,4,9,12,152
KANS,Ramon Duncan 2-point jumper...Missed!       Rebounded by TCU Ba Daniel.,Score,4,9,13,152
TCU,Edward Furr 3-point attempt...Missed!       Rebounded by KANS Louis Carter.,Miss,4,9,14,152
KANS,KANS Donald Perez lost the ball out of bounds.,Turnover,4,9,15,152
TCU,Lawrence Munoz 3-point attempt...Missed!       Rebounded by TCU Man Lee.,Missed,4,9,16,152
TCU,Edward Furr 3-point attempt...Score!       Assisted by: Man Lee,Score,7,9,17,152
TCU,Edward Furr steals the ball for TCU!,Turnover,7,9,18,152
TCU,Rob Oconnor Inside shot...Score!,Score,9,9,19,152
KANS,Jimmie Coleman 2-point jumper...Missed!       Rebounded by TCU Man Lee.,Score,9,9,20,152
TCU,TCU Rob Oconnor lost the ball out of bounds.,Out of Bounds,9,9,21,152
KANS,Ramon Duncan Inside shot...Score!,Score,9,11,22,152
TCU,Sean Anderson Inside shot...Score!,Score,11,11,23,152
KANS,Ramon Duncan 2-point jumper...Missed!       Rebounded by TCU James Melton.,Score,11,11,24,152
