HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
TEMP,NAVY,75,54,154
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
NAVY,NAVY wins the tipoff!,Tipoff,0,0,0,154
NAVY,Clint Springer Inside shot...Score!       Assisted by: Richard Arthur,Score,0,2,1,154
NAVY,Igor Mower steals the ball for NAVY!,Turnover,0,2,2,154
NAVY,NAVY: Offensive foul on NAVY Richard Hill.,Turnover,0,2,3,154
TEMP,Lee Diaz Inside shot...Missed!       Rebounded by TEMP Lee Diaz.,Score,0,2,4,154
TEMP,Srinivasan Kane 3-point attempt...Missed!       Rebounded by NAVY Igor Mower.,Miss,0,2,5,154
NAVY,Clint Springer 3-point attempt...Score!       Assisted by: Richard Arthur,Score,0,5,6,154
TEMP,Jing Kahawai 3-point attempt...Score!       Assisted by: Gerald Buxton,Score,3,5,7,154
NAVY,NAVY Nicholas Stafford lost the ball out of bounds.,Turnover,3,5,8,154
TEMP,TEMP: Offensive foul on TEMP Craig Johnson.,Foul,3,5,9,154
NAVY,Michael Jenkins Inside shot...Score!,Score,3,7,11,154
TEMP,Craig Johnson Inside shot...Score!,Score,5,7,12,154
NAVY,Richard Arthur Inside shot... Missed but with a foul on the play.,Fouled,5,7,13,154
NAVY,Free throw coming up... good!,FreeThrow,5,8,13,154
NAVY,Free throw coming up... good!,FreeThrow,5,9,13,154
TEMP,Gerald Cary Inside shot...Score!,Score,7,9,14,154
NAVY,NAVY Jeff Lien lost the ball out of bounds.,Turnover,7,9,15,154
TEMP,Maxwell Stewart Inside shot...Score!,Score,9,9,16,154
NAVY,NAVY: Offensive foul on NAVY Jeff Lien.,Turnover,9,9,17,154
NAVY,Richard Arthur steals the ball for NAVY!,Turnover,9,9,18,154
NAVY,William Klee Inside shot... Missed but with a foul on the play.,Fouled,9,9,19,154
NAVY,Free throw coming up... good!,FreeThrow,9,10,19,154
NAVY,Free throw coming up... rattled out.       Rebounded by TEMP Srinivasan Kane.,FreeThrow,9,10,19,154
TEMP,Gerald Buxton 3-point attempt...Missed!       Rebounded by NAVY Joseph Hall.,Miss,9,10,20,154
NAVY,Richard Arthur 2-point jumper...Score!       Assisted by: Robert Redd,Score,9,12,21,154
TEMP,Jing Kahawai Inside shot...Score! Foul on the play and one!       Assisted by: Maxwell Stewart,Score,11,12,22,154
TEMP,Free throw coming up... good!,FreeThrow,12,12,22,154
TEMP,Srinivasan Kane steals the ball for TEMP!,Turnover,12,12,23,154
TEMP,Maxwell Stewart Inside shot...Score!,Score,14,12,24,154
NAVY,Jeff Lien Inside shot...Score!,Score,14,14,25,154
TEMP,Jing Kahawai 3-point attempt...Score!       Assisted by: Gerald Buxton,Score,17,14,26,154
NAVY,NAVY: Offensive foul on NAVY Michael Jenkins.,Turnover,17,14,27,154
TEMP,Lee Diaz Inside shot...Score!,Score,19,14,28,154
NAVY,NAVY Clint Springer lost the ball out of bounds.,Turnover,19,14,29,154
TEMP,TEMP Maxwell Stewart lost the ball out of bounds.,Out of Bounds,19,14,30,154
